dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_16,-26.0,45,ordinary_fft,101,105,0.9619047619047619,1,59
0_0_0_10_14_16,-26.0,45,savaux,43,105,0.4095238095238095,0,0
0_0_0_10_14_16,-26.0,45,branch_gls,43,105,0.4095238095238095,0,0
0_0_0_10_14_16,-26.0,45,savaux_dual,42,105,0.4,1,0
0_0_0_10_14_16,-26.0,45,proposed,42,105,0.4,1,0
