dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-22.0,42,ordinary_fft,166,245,0.6775510204081633,0,134
0_0_0_10_14_32,-22.0,42,savaux,32,245,0.1306122448979592,0,0
0_0_0_10_14_32,-22.0,42,branch_gls,32,245,0.1306122448979592,0,0
0_0_0_10_14_32,-22.0,42,savaux_dual,32,245,0.1306122448979592,0,0
0_0_0_10_14_32,-22.0,42,proposed,32,245,0.1306122448979592,0,0
0_0_0_10_14_32,-22.0,42,unichirp,42,245,0.17142857142857143,0,0
0_0_0_10_14_32,-22.0,42,symfec,51,245,0.20816326530612245,0,0
0_0_0_10_14_32,-22.0,42,loratrimmer,31,245,0.12653061224489795,0,0
0_0_0_10_14_32,-22.0,43,ordinary_fft,167,245,0.6816326530612244,0,138
0_0_0_10_14_32,-22.0,43,savaux,29,245,0.11836734693877551,0,0
0_0_0_10_14_32,-22.0,43,branch_gls,29,245,0.11836734693877551,0,0
0_0_0_10_14_32,-22.0,43,savaux_dual,29,245,0.11836734693877551,0,0
0_0_0_10_14_32,-22.0,43,proposed,29,245,0.11836734693877551,0,0
0_0_0_10_14_32,-22.0,43,unichirp,55,245,0.22448979591836735,0,0
0_0_0_10_14_32,-22.0,43,symfec,60,245,0.24489795918367346,0,0
0_0_0_10_14_32,-22.0,43,loratrimmer,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-22.0,44,ordinary_fft,172,245,0.7020408163265306,1,141
0_0_0_10_14_32,-22.0,44,savaux,32,245,0.1306122448979592,0,0
0_0_0_10_14_32,-22.0,44,branch_gls,32,245,0.1306122448979592,0,0
0_0_0_10_14_32,-22.0,44,savaux_dual,32,245,0.1306122448979592,0,0
0_0_0_10_14_32,-22.0,44,proposed,32,245,0.1306122448979592,0,0
0_0_0_10_14_32,-22.0,44,unichirp,61,245,0.24897959183673468,0,0
0_0_0_10_14_32,-22.0,44,symfec,48,245,0.19591836734693877,0,0
0_0_0_10_14_32,-22.0,44,loratrimmer,34,245,0.13877551020408163,0,0
0_0_0_10_14_32,-23.0,42,ordinary_fft,190,245,0.7755102040816326,0,155
0_0_0_10_14_32,-23.0,42,savaux,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-23.0,42,branch_gls,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-23.0,42,savaux_dual,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-23.0,42,proposed,35,245,0.14285714285714285,0,0
0_0_0_10_14_32,-23.0,42,unichirp,39,245,0.15918367346938775,0,0
0_0_0_10_14_32,-23.0,42,symfec,79,245,0.3224489795918367,0,0
0_0_0_10_14_32,-23.0,42,loratrimmer,42,245,0.17142857142857143,0,0
0_0_0_10_14_32,-23.0,43,ordinary_fft,190,245,0.7755102040816326,0,151
0_0_0_10_14_32,-23.0,43,savaux,39,245,0.15918367346938775,0,0
0_0_0_10_14_32,-23.0,43,branch_gls,39,245,0.15918367346938775,0,0
0_0_0_10_14_32,-23.0,43,savaux_dual,39,245,0.15918367346938775,0,0
0_0_0_10_14_32,-23.0,43,proposed,39,245,0.15918367346938775,0,0
0_0_0_10_14_32,-23.0,43,unichirp,66,245,0.2693877551020408,0,0
0_0_0_10_14_32,-23.0,43,symfec,91,245,0.37142857142857144,0,0
0_0_0_10_14_32,-23.0,43,loratrimmer,49,245,0.2,0,0
0_0_0_10_14_32,-23.0,44,ordinary_fft,202,245,0.8244897959183674,0,165
