dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_bin,selected_bin,gt_symbol,selected_symbol,selected_local_score,gt_local_score,selected_minus_gt_local_score,selected_energy,gt_energy,selected_energy_score,gt_energy_score,selected_minus_gt_energy_db,selected_tau_hat,gt_tau_hat,selected_minus_gt_tau_hat,expected_tau,selected_tau_residual,gt_tau_residual,selected_minus_gt_abs_tau_residual,selected_tau_gain_db,gt_tau_gain_db,selected_minus_gt_tau_gain_db,selected_corrected_coherence,gt_corrected_coherence,selected_minus_gt_corrected_coherence,selected_tau_local_step_abs_mean,gt_tau_local_step_abs_mean,selected_minus_gt_tau_local_step_abs_mean,selected_tau_local_second_abs,gt_tau_local_second_abs,selected_minus_gt_tau_local_second_abs,selected_rank,gt_rank,top1_bin,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,candidate_count,hard_anchor,high_confidence
0_0_0_10_14_16,-26.0,42,1,0,222,664,221,663,0.823669378005259,0.6449359924482618,0.17873338555699714,0.952209326964212,0.6094769915905687,0.9858412265600865,0.6310036332718889,1.9377511592560017,-0.03125,-0.1875,0.15625,-0.09225872194980422,0.06100872194980422,-0.09524127805019578,-0.034232556100391553,0.08129724835027563,0.7808676699379568,-0.6995704215876811,0.969012384152276,0.911561918556706,0.05745046559556999,0.09375,0.25,-0.15625,nan,nan,nan,2,9,265,0.06193024187809329,10.578477320510192,0.9047491074471619,16,0,0
0_0_0_10_14_16,-26.0,42,1,7,713,998,712,997,0.8964021110794013,0.7470812356903727,0.1493208753890286,0.889460611486502,0.6240383505787719,1.0,0.7015918889717377,1.5391544044472232,-0.09375,0.21875,-0.3125,0.11391204841022062,-0.20766204841022062,0.10483795158977938,0.10282409682044125,0.06338707726636202,0.8042048766398859,-0.7408177993735239,0.9384719737308058,0.9168776775795021,0.021594296151303705,0.09375,0.28125,-0.1875,0.125,0.4375,-0.3125,1,4,998,0.6776835822408694,10.543631018388185,0.9346314024664689,16,0,0
0_0_0_10_14_16,-26.0,42,1,12,597,157,596,156,0.9254791732206608,0.7281504010564045,0.19732877216425626,0.800492339714598,0.5402259848360735,1.0,0.674867151169344,1.7078171041703767,0.15625,0.15625,0.0,0.08260545581023837,0.07364454418976163,0.07364454418976163,0.0,0.38196770049674167,0.8744896275461524,-0.4925219270494108,0.9088937321293206,0.925525125734583,-0.016631393605262446,0.296875,0.296875,0.0,0.34375,0.34375,0.0,1,7,157,0.5552800127729646,9.875676479293563,0.8365484335634785,16,0,0
0_0_0_10_14_16,-26.0,42,1,20,860,173,859,172,0.8160002749270897,0.8002264011135896,0.01577387381350015,0.7860344368686043,0.6737074646089383,1.0,0.8570966270801658,0.6697021396696119,-0.15625,0.125,-0.28125,0.03251490765026688,-0.18876490765026688,0.09248509234973312,0.09627981530053376,0.6737403079524606,0.5461172504297012,0.1276230575227595,0.8593480550824448,0.8293952083351382,0.029952846747306583,0.09375,0.140625,-0.046875,0.1875,0.03125,0.15625,1,2,173,0.6697021396696119,10.065140572648641,0.8458740544812967,16,0,0
0_0_0_10_14_16,-26.0,42,1,21,553,940,552,939,0.8742564202628532,0.7927112451324504,0.08154517513040282,0.6646726672323808,0.5800555593612025,0.9126289475744312,0.7964454095559094,0.5913822651107794,-0.09375,0.0,-0.09375,0.026253589130270427,-0.12000358913027043,-0.026253589130270427,0.09375,0.22444345466070545,0.0,0.22444345466070545,0.9196999876871247,0.925173011174242,-0.005473023487117312,0.03125,0.109375,-0.078125,0.0625,0.03125,0.03125,3,10,843,0.1281563598327239,9.126445229323227,0.9017296817508139,16,0,0
0_0_0_10_14_16,-26.0,42,1,24,874,744,873,743,0.8626541221728936,0.7168599338816971,0.1457941882911965,1.22465231198845,0.8513069624905825,1.0,0.6951417591400516,1.5792662140354128,0.09375,0.1875,-0.09375,0.007469633570281076,0.08628036642971892,0.18003036642971892,-0.09375,0.45295725868403824,0.8470008352678539,-0.3940435765838156,0.9179755328364787,0.9111722720060761,0.006803260830402613,0.234375,0.234375,0.0,0.46875,0.46875,0.0,1,2,744,1.5792662140354128,11.597371037901967,0.9104922091791362,4,0,1
0_0_0_10_14_16,-26.0,42,1,26,314,194,313,193,0.8622693793254395,0.8004931803337875,0.06177619899165199,0.6190496864285855,0.5666239171241081,0.8946638127422687,0.8188969725674757,0.38430605860393907,0.0625,0.0625,0.0,-0.005053003469711825,0.06755300346971183,0.06755300346971183,0.0,0.06564038740525205,0.2211730916056161,-0.15553270420036405,0.9607863347077706,0.824755045617829,0.13603128908994166,0.09375,0.09375,0.0,0.1875,0.1875,0.0,3,7,712,0.20897943626151444,9.136148136074238,0.9704478608146441,16,0,0
0_0_0_10_14_16,-26.0,42,1,33,584,808,583,807,0.9211372440914618,0.7225648875716829,0.1985723565197789,0.7902345225426224,0.688332844783929,1.0,0.871048815444282,0.5995750551585268,-0.0625,-0.15625,0.09375,-0.04888223310968698,-0.013617766890313021,-0.10736776689031302,-0.09375,0.19000302590731505,0.9178625872599506,-0.7278595613526355,0.922053868180646,0.9260064952328843,-0.0039526270522382,0.125,0.25,-0.125,0.25,0.25,0.0,1,3,808,0.13241604833177273,10.249172035312546,0.9210355632283487,16,0,0
0_0_0_10_14_16,-26.0,42,1,34,934,52,933,51,0.8327058153906023,0.6770089954431976,0.1556968199474047,0.6379443108528449,0.5544243638131299,0.8997490134903658,0.7819534807497575,0.6094046196838867,-0.3125,0.46875,0.21875,-0.055143551629683374,-0.2573564483703166,-0.47610644837031657,-0.21874999999999994,0.33460108259892896,0.9148392524394018,-0.5802381698404728,0.8906642953169394,0.9244789277710467,-0.03381463245410732,0.25,0.375,-0.125,nan,nan,nan,6,12,473,0.17218693070316782,9.620565339872364,0.9433127336039527,16,0,0
0_0_0_10_14_16,-26.0,42,2,0,803,830,802,829,0.8538046989717558,0.7558625283224905,0.09794217064926536,1.1818256102692573,0.8432881958111729,1.0,0.713547065221446,1.465773757492825,-0.3125,-0.0625,-0.25,-0.026864074998563303,-0.2856359250014367,-0.0356359250014367,0.25,0.7139538355813403,0.12518571583625057,0.5887681197450897,0.9314574469408763,0.9481146296684657,-0.016657182727589426,0.3125,0.0625,0.25,nan,nan,nan,1,3,830,0.3785695392290137,11.687214045016459,0.8426569078544611,16,0,0
