dataset,target_snr_db,e1_count,selected_energy_higher_rate,mean_selected_minus_gt_energy_db,gt_tau_residual_smaller_rate,mean_selected_abs_tau_residual,mean_gt_abs_tau_residual,gt_tau_gain_higher_rate,mean_selected_minus_gt_tau_gain_db,gt_corrected_coherence_higher_rate,mean_selected_minus_gt_corrected_coherence,gt_tau_local_step_smoother_rate,mean_selected_tau_local_step_abs,mean_gt_tau_local_step_abs,mean_selected_minus_gt_tau_local_step_abs,gt_tau_local_second_smoother_rate,mean_selected_tau_local_second_abs,mean_gt_tau_local_second_abs,mean_selected_minus_gt_tau_local_second_abs
0_0_0_10_14_16,-26.0,266,0.9022556390977443,1.0381273385258187,0.43609022556390975,0.11446094103305779,0.117240409077556,0.6165413533834586,-0.15629227630200906,0.3609022556390977,0.030016800588645805,0.40977443609022557,0.14185855263157895,0.15108082706766918,-0.009222274436090225,0.41353383458646614,0.21582825203252032,0.21671747967479674,-0.0008892276422764227
0_0_0_10_14_16,-25.5,212,0.8867924528301887,0.9873417393051542,0.47641509433962265,0.12290165985983921,0.11344483772276448,0.5990566037735849,-0.16739917271127974,0.39622641509433965,0.026506594001628785,0.4339622641509434,0.14541568396226415,0.14519457547169812,0.00022110849056603774,0.41037735849056606,0.22017045454545456,0.21717171717171718,0.0029987373737373735
0_0_0_10_14_16,-25.0,145,0.9103448275862069,1.0067508429213612,0.5172413793103449,0.11628148609021167,0.11540671766544693,0.6068965517241379,-0.21727766412436753,0.4206896551724138,0.024418514011064818,0.4482758620689655,0.1404094827586207,0.14170258620689655,-0.001293103448275862,0.42758620689655175,0.2175839552238806,0.20825559701492538,0.009328358208955223
0_0_0_10_14_16,-24.5,116,0.9051724137931034,1.014445628965959,0.47413793103448276,0.10638524870280791,0.12034894593097947,0.603448275862069,-0.23588690450105204,0.3275862068965517,0.029163732090975135,0.47413793103448276,0.1414331896551724,0.1414331896551724,0.0,0.47413793103448276,0.22613636363636364,0.21306818181818182,0.013068181818181817
0_0_0_10_14_16,-24.0,80,0.9375,0.9603193591218815,0.5375,0.11671894535286316,0.10848130608713195,0.5875,-0.20489563089572504,0.2625,0.03738074967353785,0.5125,0.1412109375,0.1388671875,0.00234375,0.4625,0.22988013698630136,0.2153253424657534,0.014554794520547944
