dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,selected,center,SER<=10%,-21.308823529411764,-17.732142857142858,3.576680672268907,ok
0_0_0_10_14_16,selected,center,accuracy>=90%,-21.308823529411764,-17.732142857142858,3.576680672268907,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=90%,-18.03333333333333,-15.1,2.933333333333332,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=80%,-18.4,-16.05,2.349999999999998,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=50%,-19.75,-16.875,2.875,ok
0_0_0_10_14_16,multi,center,SER<=10%,-21.273809523809526,-17.732142857142858,3.541666666666668,ok
0_0_0_10_14_16,multi,center,accuracy>=90%,-21.273809523809526,-17.732142857142858,3.541666666666668,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=90%,-19.03333333333333,-15.1,3.933333333333332,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=80%,-19.4,-16.05,3.349999999999998,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=50%,-20.375,-16.875,3.5,ok
0_0_0_10_14_16,selected,multi,SER<=10%,-21.308823529411764,-21.273809523809526,0.035014005602238996,ok
0_0_0_10_14_16,selected,multi,accuracy>=90%,-21.308823529411764,-21.273809523809526,0.035014005602238996,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=90%,-18.03333333333333,-19.03333333333333,-1.0,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=80%,-18.4,-19.4,-1.0,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=50%,-19.75,-20.375,-0.625,ok
0_0_0_10_14_32,selected,center,SER<=10%,-16.833333333333332,-13.916666666666666,2.916666666666666,ok
0_0_0_10_14_32,selected,center,accuracy>=90%,-16.833333333333332,-13.916666666666666,2.916666666666666,ok
0_0_0_10_14_32,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=50%,-19.25,-17.125,2.125,ok
0_0_0_10_14_32,multi,center,SER<=10%,-17.3,-13.916666666666666,3.3833333333333346,ok
0_0_0_10_14_32,multi,center,accuracy>=90%,-17.300000000000004,-13.916666666666666,3.383333333333338,ok
0_0_0_10_14_32,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=80%,-19.4,-16.2,3.1999999999999993,ok
0_0_0_10_14_32,multi,center,CRC/PRR>=50%,-20.75,-17.125,3.625,ok
0_0_0_10_14_32,selected,multi,SER<=10%,-16.833333333333332,-17.3,-0.46666666666666856,ok
0_0_0_10_14_32,selected,multi,accuracy>=90%,-16.833333333333332,-17.300000000000004,-0.4666666666666721,ok
0_0_0_10_14_32,selected,multi,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,CRC/PRR>=50%,-19.25,-20.75,-1.5,ok
0_0_0_10_14_8,selected,center,SER<=10%,-20.653846153846153,-17.565217391304348,3.0886287625418056,ok
0_0_0_10_14_8,selected,center,accuracy>=90%,-20.653846153846153,-17.565217391304348,3.0886287625418056,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=90%,-13.0,-15.333333333333334,-2.333333333333334,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=80%,-14.0,-15.666666666666666,-1.666666666666666,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=50%,-19.5,-17.5,2.0,ok
0_0_0_10_14_8,multi,center,SER<=10%,-20.633333333333333,-17.565217391304348,3.068115942028985,ok
0_0_0_10_14_8,multi,center,accuracy>=90%,-20.633333333333333,-17.565217391304348,3.068115942028985,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=90%,-18.0,-15.333333333333334,2.666666666666666,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=80%,-19.0,-15.666666666666666,3.333333333333334,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=50%,-21.0,-17.5,3.5,ok
0_0_0_10_14_8,selected,multi,SER<=10%,-20.653846153846153,-20.633333333333333,0.02051282051282044,ok
0_0_0_10_14_8,selected,multi,accuracy>=90%,-20.653846153846153,-20.633333333333333,0.02051282051282044,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=90%,-13.0,-18.0,-5.0,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=80%,-14.0,-19.0,-5.0,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=50%,-19.5,-21.0,-1.5,ok
mean_of_datasets,selected,center,SER<=10%,-20.43091621754042,-17.23010193016699,3.2008142873734293,ok
mean_of_datasets,selected,center,accuracy>=90%,-20.43091621754042,-17.23010193016699,3.2008142873734293,ok
mean_of_datasets,selected,center,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,selected,center,CRC/PRR>=80%,-14.116883116883116,-15.93687707641196,-1.8199939595288441,ok
mean_of_datasets,selected,center,CRC/PRR>=50%,-19.461089494163424,-17.110983981693362,2.350105512470062,ok
mean_of_datasets,multi,center,SER<=10%,-20.612085308056873,-17.23010193016699,3.381983377889881,ok
mean_of_datasets,multi,center,accuracy>=90%,-20.612085308056873,-17.23010193016699,3.381983377889881,ok
mean_of_datasets,multi,center,CRC/PRR>=90%,-17.82312925170068,-15.169435215946844,2.653694035753837,ok
mean_of_datasets,multi,center,CRC/PRR>=80%,-19.270042194092827,-15.93687707641196,3.333165117680867,ok
mean_of_datasets,multi,center,CRC/PRR>=50%,-20.601386481802425,-17.110983981693362,3.490402500109063,ok
mean_of_datasets,selected,multi,SER<=10%,-20.43091621754042,-20.612085308056873,-0.1811690905164518,ok
mean_of_datasets,selected,multi,accuracy>=90%,-20.43091621754042,-20.612085308056873,-0.1811690905164518,ok
mean_of_datasets,selected,multi,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,selected,multi,CRC/PRR>=80%,-14.116883116883116,-19.270042194092827,-5.153159077209711,ok
mean_of_datasets,selected,multi,CRC/PRR>=50%,-19.461089494163424,-20.601386481802425,-1.140296987639001,ok
