method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight
savaux,0,70,25,0.35714285714285715,0,0,0.5084749999768974,7.263928571098534,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,100.0,100.0
hamming_12,12,70,23,0.32857142857142857,4,2,1.4253828000073554,20.362611428676505,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,100.0,100.0
information_12,12,70,21,0.3,4,0,1.405628999997134,20.080414285673346,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,100.0,100.0
lora_information_12,12,70,22,0.3142857142857143,4,1,1.387099900017347,19.815712857390672,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,100.0,100.0
savaux,0,70,21,0.3,0,0,0.1907379999938712,2.724828571341017,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,100.0,100.0
hamming_12,12,70,18,0.2571428571428571,3,0,1.3734236000054807,19.620337142935437,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,100.0,100.0
information_12,12,70,15,0.21428571428571427,6,0,1.33211270000902,19.030181428700285,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,100.0,100.0
lora_information_12,12,70,21,0.3,1,1,1.4034189999874798,20.048842856963997,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,100.0,100.0
savaux,0,70,23,0.32857142857142857,0,0,0.19918060001873528,2.84543714312479,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,100.0,100.0
hamming_12,12,70,19,0.2714285714285714,4,0,1.3242251000265242,18.917501428950345,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,100.0,100.0
information_12,12,70,17,0.24285714285714285,6,0,1.3960225000009814,19.94317857144259,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,100.0,100.0
lora_information_12,12,70,21,0.3,3,1,1.3778269000104046,19.683241428720066,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,100.0,100.0
