frame_index,packet_index,event_index,stage,frame_symbol_index,stage_symbol_index,start_sample,sf,bw,os_factor,cfo_int,cfo_frac,cfo_correction_mode,cfo_common_phase_rad,cfo_common_phase_pi,sto_frac,sfo_hat,sfo_cum_before,sfo_sample_adjust_after,raw_fft_bin,signed_fft_bin,symbol_value,peak_real,peak_imag,peak_amp,peak_power,peak_phase,peak_margin_db,total_power,header_valid,payload_len,payload_cr,payload_has_crc,payload_ldro
0,0,0,header,0,0,1260421,12,125000.0,4,6,-0.16724412143230438,continuous,0.0,0.0,-0.27151080002098993,0.001494965111381919,-0.02151080002098993,0,2349,-1747,587,-5.627692222595215,4.7556233406066895,7.3679626159462694,54.2868766784668,2.4399853578798085,14.550964560588026,287.0173865189263,1,33,1,1,1
0,0,0,header,1,1,1276805,12,125000.0,4,6,-0.16724412143230438,continuous,36.6482860365819,11.66551175713539,-0.27151080002098993,0.001494965111381919,-0.02001583490960801,0,2701,-1395,675,2.1192502975463867,7.314507484436035,7.615329379844395,57.99324035644531,1.288785701467609,11.274652182882418,301.01821513470895,1,33,1,1,1
0,0,0,header,2,2,1293189,12,125000.0,4,6,-0.16724412143230438,continuous,73.2965720731638,23.33102351427078,-0.27151080002098993,0.001494965111381919,-0.01852086979822609,0,961,961,240,7.2676310539245605,0.18433815240859985,7.269968479326581,52.85244369506836,0.02535883222638393,12.798256523646996,291.26763670203036,1,33,1,1,1
0,0,0,header,3,3,1309573,12,125000.0,4,6,-0.16724412143230438,continuous,109.9448581097457,34.99653527140617,-0.27151080002098993,0.001494965111381919,-0.017025904686844173,0,337,337,84,1.9315593242645264,-6.912113666534424,7.17692390667793,51.508235931396484,-1.2983018498716106,12.412139191660458,295.76790385446293,1,33,1,1,1
0,0,0,header,4,4,1325957,12,125000.0,4,6,-0.16724412143230438,continuous,146.5931441463276,46.66204702854156,-0.27151080002098993,0.001494965111381919,-0.015530939575462255,0,3377,-719,844,-6.209957599639893,-3.1815710067749023,6.97753304975877,48.68596649169922,-2.668126781789088,9.877530480413165,282.0170633050011,1,33,1,1,1
0,0,0,header,5,5,1342341,12,125000.0,4,6,-0.16724412143230438,continuous,183.2414301829095,58.327558785676956,-0.27151080002098993,0.001494965111381919,-0.014035974464080336,0,3205,-891,801,-3.826179265975952,6.154522895812988,7.24691657537677,52.51779556274414,2.1270088202559947,8.823038241189128,296.76797370135387,1,33,1,1,1
0,0,0,header,6,6,1358725,12,125000.0,4,6,-0.16724412143230438,continuous,219.8897162194914,69.99307054281233,-0.27151080002098993,0.001494965111381919,-0.012541009352698418,0,2905,-1191,726,6.160894393920898,3.115910291671753,6.904021775660322,47.6655158996582,0.4682419264587231,8.863748948208048,287.01738965774257,1,33,1,1,1
0,0,0,header,7,7,1375109,12,125000.0,4,6,-0.16724412143230438,continuous,256.5380022560733,81.65858229994772,-0.27151080002098993,0.001494965111381919,-0.0110460442413165,0,1381,1381,345,2.2803714275360107,-6.483376502990723,6.872718874437891,47.2342643737793,-1.2325847865830137,8.405673366501107,289.26752325926395,1,33,1,1,1
0,0,0,payload,8,0,1391493,12,125000.0,4,6,-0.16724412143230438,continuous,293.1862882926552,93.32409405708312,-0.27151080002098993,0.001494965111381919,-0.009551079129934581,0,2849,-1247,712,-6.671067714691162,-1.1132879257202148,6.763324216651837,45.7425537109375,-2.9762334777826114,6.770651814478449,292.01770440941993,1,33,1,1,1
0,0,0,payload,9,1,1407877,12,125000.0,4,6,-0.16724412143230438,continuous,329.8345743292371,104.98960581421852,-0.27151080002098993,0.001494965111381919,-0.008056114018552663,0,197,197,49,0.41495221853256226,6.273259162902832,6.286967939206421,39.525962829589844,1.5047463504158167,7.548678694472986,274.26661217615765,1,33,1,1,1
0,0,0,payload,10,2,1424261,12,125000.0,4,6,-0.16724412143230438,continuous,366.482860365819,116.65511757135391,-0.27151080002098993,0.001494965111381919,-0.006561148907170743,0,1177,1177,294,5.458970069885254,-2.9213855266571045,6.191514162082214,38.3348503112793,-0.4913731387262029,6.623692657411839,280.2669702767025,1,33,1,1,1
0,0,0,payload,11,3,1440645,12,125000.0,4,6,-0.16724412143230438,continuous,403.13114640240093,128.3206293284893,-0.27151080002098993,0.001494965111381919,-0.005066183795788824,0,2893,-1203,723,-5.31685733795166,-3.595585823059082,6.418505228097417,41.197208404541016,-2.546976868060381,6.167258139633514,287.01736835833526,1,33,1,1,1
