dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux
0_0_0_10_14_16,-24.0,1,1,35,1.0,1.0285714285714285,0.02857142857142857,0.4857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02857142857142857,0,16,17,0,4,5,0,4,5,0,4,5,0,0,0
0_0_0_10_14_16,-25.0,1,1,35,1.0,1.2,0.14285714285714285,0.6285714285714286,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0,17,22,0,5,7,0,5,7,0,5,7,0,0,0
0_0_0_10_14_16,-26.0,1,1,35,1.0,2.3714285714285714,0.37142857142857144,0.6857142857142857,0.34285714285714286,0.37142857142857144,0.34285714285714286,0.34285714285714286,0,11,23,3,2,10,3,3,11,4,3,12,1,0,1
0_0_0_10_14_16,-24.0,2,1,35,1.0,1.3714285714285714,0.14285714285714285,0.7142857142857143,0.17142857142857143,0.14285714285714285,0.17142857142857143,0.14285714285714285,0,20,24,0,1,4,0,0,3,0,1,4,0,0,0
0_0_0_10_14_16,-25.0,2,1,35,0.9428571428571428,2.6,0.2571428571428571,0.7714285714285715,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.2857142857142857,0,18,25,1,5,10,1,5,11,1,5,11,0,1,3
0_0_0_10_14_16,-26.0,2,1,35,0.9142857142857143,6.685714285714286,0.45714285714285713,0.8571428571428571,0.5428571428571428,0.5714285714285714,0.6,0.5142857142857142,1,15,28,1,4,13,0,4,16,0,5,16,0,2,7
0_0_0_10_14_16,-24.0,3,1,35,1.0,1.2285714285714286,0.17142857142857143,0.45714285714285713,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.14285714285714285,0,10,15,1,1,4,1,1,4,1,1,4,1,0,1
0_0_0_10_14_16,-25.0,3,1,35,1.0,2.3714285714285714,0.2857142857142857,0.6,0.2857142857142857,0.3142857142857143,0.3142857142857143,0.2857142857142857,0,11,19,1,1,7,1,2,5,1,2,6,1,1,2
0_0_0_10_14_16,-26.0,3,1,35,0.8857142857142857,6.0285714285714285,0.34285714285714286,0.6857142857142857,0.42857142857142855,0.45714285714285713,0.4857142857142857,0.37142857142857144,0,12,22,1,4,12,0,4,9,0,5,11,0,1,2
0_0_0_10_14_16,-24.0,42,1,35,1.0,1.2571428571428571,0.11428571428571428,0.45714285714285713,0.2571428571428571,0.2,0.2,0.11428571428571428,0,12,16,0,5,7,0,3,5,0,3,5,0,0,1
0_0_0_10_14_16,-25.0,42,1,35,0.9428571428571428,3.5428571428571427,0.2857142857142857,0.5142857142857142,0.2857142857142857,0.3142857142857143,0.3142857142857143,0.2857142857142857,2,10,20,1,1,8,1,2,9,1,2,9,0,0,2
0_0_0_10_14_16,-26.0,42,1,35,0.8857142857142857,10.057142857142857,0.4857142857142857,0.6285714285714286,0.4,0.4,0.42857142857142855,0.42857142857142855,3,8,25,3,0,12,4,1,14,4,2,15,2,0,5
