packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,dataset,snr_db,seed
1,0,1,35,1.0,1.0285714285714285,32,random_only,random_007,0.18000658060422475,0.06098608638789868,0.22310179660407792,0.8186553188965107,1,0.02857142857142857,17,0.4857142857142857,17,0,16,5,0.14285714285714285,5,0,4,5,0.14285714285714285,5,0,4,5,0.14285714285714285,5,0,4,1,0.02857142857142857,0,0,0,0_0_0_10_14_16,-24.0,1
1,0,1,35,1.0,1.2,32,random_only,random_007,0.19791846735705582,0.0626778574591948,0.22907576364420135,0.7899865566624059,5,0.14285714285714285,22,0.6285714285714286,22,0,17,10,0.2857142857142857,7,0,5,10,0.2857142857142857,7,0,5,10,0.2857142857142857,7,0,5,5,0.14285714285714285,0,0,0,0_0_0_10_14_16,-25.0,1
1,0,1,35,1.0,2.3714285714285714,32,random_only,random_016,0.21395287953611603,0.0617592810965871,0.2248998962055412,0.7641794810257807,13,0.37142857142857144,24,0.6857142857142857,23,0,11,12,0.34285714285714286,10,3,2,13,0.37142857142857144,11,3,3,12,0.34285714285714286,12,4,3,12,0.34285714285714286,1,1,0,0_0_0_10_14_16,-26.0,1
1,0,1,35,1.0,1.3714285714285714,32,random_only,random_020,0.20329061638693297,0.06358604896378607,0.23262955718566022,0.7961336255576804,5,0.14285714285714285,25,0.7142857142857143,24,0,20,6,0.17142857142857143,4,0,1,5,0.14285714285714285,3,0,0,6,0.17142857142857143,4,0,1,5,0.14285714285714285,0,0,0,0_0_0_10_14_16,-24.0,2
1,0,1,35,0.9428571428571428,2.6,32,random_only,random_020,0.22401447495492527,0.06303978793278955,0.23047343211201826,0.7610489782100999,9,0.2571428571428571,27,0.7714285714285715,25,0,18,13,0.37142857142857144,10,1,5,13,0.37142857142857144,11,1,5,13,0.37142857142857144,11,1,5,10,0.2857142857142857,3,0,1,0_0_0_10_14_16,-25.0,2
1,0,1,35,0.9142857142857143,6.685714285714286,32,random_only,random_030,0.23704183292422165,0.06227815651519753,0.22757163706527206,0.7369070176002226,16,0.45714285714285713,30,0.8571428571428571,28,1,15,19,0.5428571428571428,13,1,4,20,0.5714285714285714,16,0,4,21,0.6,16,0,5,18,0.5142857142857142,7,0,2,0_0_0_10_14_16,-26.0,2
1,0,1,35,1.0,1.2285714285714286,32,random_only,random_001,0.2003617563870195,0.06250355709574645,0.2289925764506082,0.8113431507193329,6,0.17142857142857143,16,0.45714285714285713,15,0,10,6,0.17142857142857143,4,1,1,6,0.17142857142857143,4,1,1,6,0.17142857142857143,4,1,1,5,0.14285714285714285,1,1,0,0_0_0_10_14_16,-24.0,3
1,0,1,35,1.0,2.3714285714285714,32,random_only,random_010,0.21569351025004724,0.06252312507318696,0.22906725458491978,0.7849705548550503,10,0.2857142857142857,21,0.6,19,0,11,10,0.2857142857142857,7,1,1,11,0.3142857142857143,5,1,2,11,0.3142857142857143,6,1,2,10,0.2857142857142857,2,1,1,0_0_0_10_14_16,-25.0,3
1,0,1,35,0.8857142857142857,6.0285714285714285,32,random_only,random_001,0.23152654853469512,0.06209998681221751,0.2274675792166909,0.7628466850553669,12,0.34285714285714286,24,0.6857142857142857,22,0,12,15,0.42857142857142855,12,1,4,16,0.45714285714285713,9,0,4,17,0.4857142857142857,11,0,5,13,0.37142857142857144,2,0,1,0_0_0_10_14_16,-26.0,3
1,0,1,35,1.0,1.2571428571428571,32,random_only,random_021,0.22108840712048533,0.06653017867583957,0.24387245285421288,0.8010573284121211,4,0.11428571428571428,16,0.45714285714285713,16,0,12,9,0.2571428571428571,7,0,5,7,0.2,5,0,3,7,0.2,5,0,3,4,0.11428571428571428,1,0,0,0_0_0_10_14_16,-24.0,42
1,0,1,35,0.9428571428571428,3.5428571428571427,32,random_only,random_021,0.23063336113541522,0.06726853916686727,0.24630485524849652,0.7750059433974282,10,0.2857142857142857,18,0.5142857142857142,20,2,10,10,0.2857142857142857,8,1,1,11,0.3142857142857143,9,1,2,11,0.3142857142857143,9,1,2,10,0.2857142857142857,2,0,0,0_0_0_10_14_16,-25.0,42
1,0,1,35,0.8857142857142857,10.057142857142857,32,random_only,random_010,0.2444246626845635,0.06559147727820475,0.2405072374709258,0.7460374290663072,17,0.4857142857142857,22,0.6285714285714286,25,3,8,14,0.4,12,3,0,14,0.4,14,4,1,15,0.42857142857142855,15,4,2,15,0.42857142857142855,5,2,0,0_0_0_10_14_16,-26.0,42
