scenario,target_tx_dbm,interferer_tx_dbm,trial,symbol_count,target_power_w,interference_power_w,noise_power_w,theoretical_noise_power_w,target_snr_db,target_sinr_db,mean_savaux_margin_db,mean_branch_color_mismatch,conditional_screen_rate,conditional_backend_rate,branch0_errors,branch0_ser,branch0_fixes_vs_savaux,branch0_breaks_vs_savaux,savaux_errors,savaux_ser,savaux_fixes_vs_savaux,savaux_breaks_vs_savaux,equal8_errors,equal8_ser,equal8_fixes_vs_savaux,equal8_breaks_vs_savaux,gls8_direct_errors,gls8_direct_ser,gls8_direct_fixes_vs_savaux,gls8_direct_breaks_vs_savaux,gls8_cg_errors,gls8_cg_ser,gls8_cg_fixes_vs_savaux,gls8_cg_breaks_vs_savaux,gls8_cg_wrap_errors,gls8_cg_wrap_ser,gls8_cg_wrap_fixes_vs_savaux,gls8_cg_wrap_breaks_vs_savaux,conditional_gls_errors,conditional_gls_ser,conditional_gls_fixes_vs_savaux,conditional_gls_breaks_vs_savaux
thermal_only,-58.0,-74.0,0,200,5.868489704563022e-17,0.0,1.99332636772654e-15,1.9924677175759936e-15,-15.310520646340587,-15.310520646340587,6.011433648923505,1.2806596362296083,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
thermal_only,-58.0,-74.0,1,200,5.868489715725048e-17,0.0,1.9927785028400948e-15,1.9924677175759936e-15,-15.309326817514819,-15.309326817514819,6.19243732536499,1.2806048937529086,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
thermal_only,-58.0,-74.0,2,200,5.868489707872818e-17,0.0,1.99236806507717e-15,1.9924677175759936e-15,-15.308432247163084,-15.308432247163084,6.192268033310704,1.281632840998143,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
thermal_only,-60.0,-74.0,0,200,3.702766680100436e-17,0.0,1.99332636772654e-15,1.9924677175759936e-15,-17.31052064634059,-17.31052064634059,4.012741070351035,1.2808283182194882,0.015,0.015,1,0.005,0,0,1,0.005,0,0,2,0.01,0,1,1,0.005,0,0,1,0.005,0,0,1,0.005,0,0,1,0.005,0,0
thermal_only,-60.0,-74.0,1,200,3.7027666871431984e-17,0.0,1.9927785028400948e-15,1.9924677175759936e-15,-17.309326817514822,-17.309326817514822,4.229102981574533,1.2807246329028203,0.01,0.01,1,0.005,0,0,1,0.005,0,0,2,0.01,0,1,2,0.01,0,1,2,0.01,0,1,2,0.01,0,1,2,0.01,0,1
thermal_only,-60.0,-74.0,2,200,3.702766682188774e-17,0.0,1.99236806507717e-15,1.9924677175759936e-15,-17.30843224716309,-17.30843224716309,4.220094908318186,1.2816639062822655,0.015,0.015,2,0.01,0,0,2,0.01,0,0,1,0.005,1,0,2,0.01,0,0,2,0.01,0,0,2,0.01,0,0,2,0.01,0,0
thermal_only,-62.0,-74.0,0,200,2.3362878317059113e-17,0.0,1.99332636772654e-15,1.9924677175759936e-15,-19.31052064634059,-19.31052064634059,2.2055846377033186,1.2808793025608995,0.13,0.13,25,0.125,2,0,27,0.135,0,0,27,0.135,4,4,29,0.145,1,3,29,0.145,1,3,31,0.155,1,5,31,0.155,1,5
thermal_only,-62.0,-74.0,1,200,2.3362878361495943e-17,0.0,1.9927785028400948e-15,1.9924677175759936e-15,-19.309326817514822,-19.309326817514822,2.4347263313256473,1.2807397860046197,0.13,0.13,24,0.12,2,5,21,0.105,0,0,27,0.135,1,7,29,0.145,0,8,29,0.145,0,8,26,0.13,2,7,25,0.125,2,6
thermal_only,-62.0,-74.0,2,200,2.3362878330235635e-17,0.0,1.99236806507717e-15,1.9924677175759936e-15,-19.308432247163093,-19.308432247163093,2.4439318240332453,1.2818633220948359,0.095,0.095,25,0.125,0,1,24,0.12,0,0,24,0.12,1,1,25,0.125,2,3,25,0.125,2,3,26,0.13,3,5,24,0.12,3,3
one_interferer,-58.0,-74.0,0,200,5.868489704563022e-17,1.1093025772935486e-16,1.9933146287122118e-15,1.9924677175759936e-15,-15.31049506997617,-15.54569933452396,2.234258742125748,1.2801302880660237,0.13,0.13,24,0.12,1,5,20,0.1,0,0,19,0.095,3,2,25,0.125,0,5,24,0.12,0,4,14,0.07,7,1,15,0.075,5,0
one_interferer,-58.0,-74.0,1,200,5.868489715725048e-17,1.1092989444458955e-16,1.99263162911176e-15,1.9924677175759936e-15,-15.30900671771244,-15.544288706554006,2.2627845400202737,1.2793176089353537,0.12,0.12,29,0.145,1,3,27,0.135,0,0,28,0.14,2,3,31,0.155,1,5,31,0.155,1,5,21,0.105,9,3,22,0.11,7,2
one_interferer,-58.0,-74.0,2,200,5.868489707872818e-17,1.1093000183185002e-16,1.9923471906592588e-15,1.9924677175759936e-15,-15.308386745068557,-15.54370165200358,1.8750286720739349,1.2809356402415641,0.145,0.145,38,0.19,1,6,33,0.165,0,0,33,0.165,1,1,34,0.17,3,4,33,0.165,3,3,23,0.115,11,1,26,0.13,8,1
one_interferer,-60.0,-74.0,0,200,3.702766680100436e-17,1.1093025772935486e-16,1.9933146287122118e-15,1.9924677175759936e-15,-17.310495069976174,-17.54569933452396,1.3094307162231178,1.2803104961851322,0.225,0.225,95,0.475,1,5,91,0.455,0,0,94,0.47,1,4,94,0.47,3,6,93,0.465,3,5,77,0.385,16,2,81,0.405,12,2
