scenario,target_tx_dbm,trials,symbol_count,mean_target_snr_db,mean_target_sinr_db,mean_branch_color_mismatch,conditional_backend_rate,branch0_errors,branch0_ser,branch0_fixes_vs_savaux,branch0_breaks_vs_savaux,savaux_errors,savaux_ser,savaux_fixes_vs_savaux,savaux_breaks_vs_savaux,equal8_errors,equal8_ser,equal8_fixes_vs_savaux,equal8_breaks_vs_savaux,gls8_direct_errors,gls8_direct_ser,gls8_direct_fixes_vs_savaux,gls8_direct_breaks_vs_savaux,gls8_cg_errors,gls8_cg_ser,gls8_cg_fixes_vs_savaux,gls8_cg_breaks_vs_savaux,gls8_cg_wrap_errors,gls8_cg_wrap_ser,gls8_cg_wrap_fixes_vs_savaux,gls8_cg_wrap_breaks_vs_savaux,conditional_gls_errors,conditional_gls_ser,conditional_gls_fixes_vs_savaux,conditional_gls_breaks_vs_savaux
one_interferer,-62.0,3,600,-19.309296177585725,-19.544563231027187,1.2803351060716563,0.27666666666666667,507,0.845,3,10,500,0.8333333333333334,0,0,498,0.83,12,10,498,0.83,9,7,498,0.83,9,7,461,0.7683333333333333,44,5,473,0.7883333333333333,32,5
one_interferer,-60.0,3,600,-17.309296177585725,-17.544563231027187,1.2802884850017198,0.25666666666666665,312,0.52,4,15,301,0.5016666666666667,0,0,302,0.5033333333333333,9,10,301,0.5016666666666667,12,12,299,0.49833333333333335,13,11,256,0.4266666666666667,51,6,264,0.44,43,6
one_interferer,-58.0,3,600,-15.309296177585722,-15.544563231027183,1.2801278457476473,0.13166666666666668,91,0.15166666666666667,3,14,80,0.13333333333333333,0,0,80,0.13333333333333333,6,6,90,0.15,4,14,88,0.14666666666666667,4,12,58,0.09666666666666666,27,5,63,0.105,20,3
thermal_only,-62.0,3,600,-19.3094265703395,-19.3094265703395,1.2811608035534519,0.11833333333333333,74,0.12333333333333334,4,6,72,0.12,0,0,78,0.13,6,12,83,0.13833333333333334,3,14,83,0.13833333333333334,3,14,83,0.13833333333333334,6,17,80,0.13333333333333333,6,14
thermal_only,-60.0,3,600,-17.3094265703395,-17.3094265703395,1.2810722858015247,0.013333333333333334,4,0.006666666666666667,0,0,4,0.006666666666666667,0,0,5,0.008333333333333333,1,2,5,0.008333333333333333,0,1,5,0.008333333333333333,0,1,5,0.008333333333333333,0,1,5,0.008333333333333333,0,1
thermal_only,-58.0,3,600,-15.309426570339497,-15.309426570339497,1.2809657903268867,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
two_interferers,-62.0,3,600,-19.309318353658217,-19.58403749418198,1.2799200556087214,0.2783333333333333,526,0.8766666666666667,3,20,509,0.8483333333333334,0,0,513,0.855,8,12,509,0.8483333333333334,10,10,508,0.8466666666666667,10,9,478,0.7966666666666666,34,3,483,0.805,29,3
two_interferers,-60.0,3,600,-17.309318353658217,-17.58403749418198,1.279851514201764,0.295,315,0.525,7,20,302,0.5033333333333333,0,0,310,0.5166666666666667,13,21,302,0.5033333333333333,17,17,301,0.5016666666666667,18,17,249,0.415,56,3,263,0.43833333333333335,42,3
two_interferers,-58.0,3,600,-15.309318353658213,-15.584037494181977,1.2797536315811366,0.11166666666666668,87,0.145,0,8,79,0.13166666666666665,0,0,85,0.14166666666666666,1,7,83,0.13833333333333334,3,7,83,0.13833333333333334,3,7,56,0.09333333333333334,24,1,59,0.09833333333333333,21,1
