trial_id,esn0_db,seed,clean_symbol_index,packet_id,reference_id,payload_index,gt_symbol,signal_power,added_noise_power,timing_error_samples_1m,cfo_error_bins,cfo_error_hz,decision,correct,true_margin_db,true_power
7:0,14.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,-16.384,-500.0,3309,0,-17.22277111919464,0.00015842857541512392
7:0,14.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,0.0,0.0,3293,1,3.6433477148666196,0.010360909036365662
7:0,14.0,7,0,exp0_000000_rxg20_0_fulltrim,0,0,3293,5.4620857083541596e-08,8.906733513414943e-06,0.0,16.384,500.0,1207,0,-10.153981219252266,0.0005681700750321955
7:1,14.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,-16.384,-500.0,329,0,-11.89038581801812,0.0006266668921155218
7:1,14.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,0.0,0.0,313,1,1.6644318581090853,0.006827513906488614
7:1,14.0,7,1,exp0_000000_rxg20_0_fulltrim,0,1,313,5.5153568635856477e-08,8.993599961312844e-06,0.0,16.384,500.0,296,0,-9.482601940125372,0.0009303062643273435
7:2,14.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,-16.384,-500.0,1449,0,-12.579270888639133,0.0005260422182068597
7:2,14.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,0.0,0.0,1433,1,4.466454355052352,0.0141679242206314
7:2,14.0,7,2,exp0_000000_rxg20_0_fulltrim,0,2,1433,5.490364174448007e-08,8.952845708483724e-06,0.0,16.384,500.0,1417,0,-14.018652114504643,0.0003019999524485374
7:3,14.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,-16.384,-500.0,2881,0,-22.819888447166964,4.8594409200083434e-05
7:3,14.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,0.0,0.0,2865,1,3.619517420081384,0.01298730395901121
7:3,14.0,7,3,exp0_000000_rxg20_0_fulltrim,0,3,2865,5.705077613554365e-08,9.302967527506851e-06,0.0,16.384,500.0,2849,0,-7.2941510394236335,0.0014565191193263716
