window_index,start_sample,end_sample,peak_bin,peak_signed_bin,peak_power,second_power,total_power,confidence_db,peak_share,valid
0,0,32768,32,32,6.103886698838323e-05,6.103886698838323e-05,0.5000302720582113,0.0,0.00012207034333568782,1
1,16384,49152,216,216,0.00012207773397676647,0.00012207773397676647,1.0000605485984124,0.0,0.0001220703427886029,1
2,32768,65536,114,114,0.00012207773397676647,0.00012207773397676647,1.0000605803797953,0.0,0.0001220703389092736,1
3,49152,81920,1135,1135,0.00036623311461880803,0.00036623311461880803,2.000121140294956,0.0,0.00018310546658428898,1
4,65536,98304,1135,1135,0.00036623311461880803,0.00036623311461880803,2.0001210915169363,0.0,0.00018310547104977964,1
5,81920,114688,7704,-488,0.01216967118671164,0.011894021125044674,13.000787167063905,0.09950138635276676,0.0009360718724434003,1
6,98304,131072,7704,-488,0.01216967118671164,0.011894021125044674,13.000787214619564,0.09950138635276676,0.0009360718690193373,1
7,114688,147456,38,38,0.00012207773397676647,0.00012207773397676647,1.0000605880632065,0.0,0.00012207033797141382,1
8,131072,163840,9,9,6.103886698838323e-05,6.103886698838323e-05,0.5000302854459733,0.0,0.00012207034006738837,1
9,147456,180224,14,14,6.103886698838323e-05,6.103886698838323e-05,0.500030271243304,0.0,0.00012207034353462778,1
10,163840,196608,7677,-515,0.0014742290077265352,0.0014741380873601884,3.000181651976561,0.0002678514047679827,0.0004913799158645253,1
11,180224,212992,7677,-515,0.0014131901552900672,0.0014130992349237204,2.500151380733257,0.000279420879881231,0.0005652418354266211,1
12,196608,229376,0,0,6.103886698838323e-05,6.103886698838323e-05,0.5000303229317069,0.0,0.00012207033091615085,1
13,212992,245760,18,18,0.0001831166009651497,0.0001831166009651497,1.5000909441150725,0.0,0.00012207033292449686,1
14,229376,262144,38,38,0.0001831166009651497,0.0001831166009651497,1.500090912450105,0.0,0.00012207033550124276,1
15,245760,278528,24,24,0.00012207773397676647,0.00012207773397676647,1.000060586608015,0.0,0.00012207033814903877,1
16,262144,294912,3234,3234,0.00030519421852659434,0.00030519421852659434,1.5000908366602594,0.0,0.00020345049184225818,1
17,278528,311296,2814,2814,0.00048803338722791523,0.00048803338722791523,2.000121131968294,0.0,0.00024400191539781778,1
18,294912,327680,6002,-2190,0.0005492534255608916,0.0005492519121617079,2.500151426154715,1.1966458274986576e-05,0.00021968806361687254,1
19,311296,344064,540,540,0.00036623307096306235,0.00036623307096306235,2.000121124909499,0.0,0.00018310544616623336,1
20,327680,360448,6,6,6.103886698838323e-05,6.103886698838323e-05,0.5000302894040942,0.0,0.00012207033910110855,1
21,344064,376832,74,74,0.0024600247852504253,0.0024592061527073383,3.500211953124854,0.0014454600889246593,0.0007028216628579336,1
22,360448,393216,74,74,0.0024600247852504253,0.0024592061527073383,3.500211953124854,0.0014454600889246593,0.0007028216628579336,1
23,376832,409600,167,167,0.00012207771942485124,0.00012207771942485124,1.0000605022069067,0.0,0.00012207033390025245,1
24,393216,425984,167,167,0.00012207771942485124,0.00012207771942485124,1.0000605022069067,0.0,0.00012207033390025245,1
25,409600,442368,0,0,6.103886698838323e-05,6.103886698838323e-05,0.5000303093693219,0.0,0.0001220703342270798,1
26,425984,458752,4,4,0.00012207773397676647,0.00012207773397676647,1.0000606118701398,0.0,0.00012207033506546954,1
27,442368,475136,1264,1264,0.00030519421852659434,0.00030519421852659434,1.5000908449060375,0.0,0.00020345049072392082,1
28,458752,491520,1263,1263,0.0002441553515382111,0.0002441553515382111,1.0000605424052196,0.0,0.0002441405706808504,1
29,475136,507904,1301,1301,0.0010121399827767164,0.0010121399827767164,2.500151354419076,0.0,0.00040483148389705895,1
30,491520,524288,3784,3784,0.0012302524701226503,0.0012302524701226503,4.000242203141825,0.0,0.0003075444954698991,1
31,507904,540672,1501,1501,0.0006098660574025416,0.0006098660574025416,3.000181688233579,0.0,0.0002032763748256904,1
32,524288,557056,6330,-1862,0.002578720959718339,0.002461707787006162,5.500333036001431,0.20167850759724848,0.00046882996772009794,1
33,540672,573440,3397,3397,0.0027897441759705544,0.0026496351056266576,6.000363370006151,0.2237831038610992,0.00046492920577369875,1
34,557056,589824,5125,-3067,0.001371419260976836,0.0013709077175008133,4.500272543262707,0.001620233569597242,0.0003047413790593568,1
35,573440,606208,3419,3419,0.0011736076703527942,0.0011734749132301658,5.00030273707523,0.0004912966101455374,0.00023470732314884982,1
36,589824,622592,68,68,0.0011896703217644244,0.0011895386269316077,3.5002119365578626,0.0004807845000515841,0.0003398852250456457,1
37,606208,638976,85,85,0.0019023273489437997,0.0019015353173017502,4.5002725349669195,0.001808556232369517,0.00042271380992213247,1
38,622592,655360,7364,-828,0.015369222689059825,0.013826102629536763,18.00108985721679,0.45952126983118313,0.0008537940097498138,1
39,638976,671744,7364,-828,0.015385727405373473,0.014610965095926076,20.50124114079999,0.22439130342615562,0.0007504778515459722,1
40,655360,688128,3365,3365,0.0029931104072602466,0.002992396126501262,7.000423848145676,0.0010365311335952794,0.00042756131231297997,1
41,671744,704512,495,495,0.0007924127712612972,0.0007924010715214536,2.5001513947538476,6.41227671878166e-05,0.0003169459149250096,1
42,688128,720896,495,495,0.0008514374785590917,0.0008512524800607935,3.000181617548348,0.0009437282093633613,0.00028379531211675745,1
43,704512,737280,2266,2266,0.0006103429477661848,0.0006103233608882874,3.0001816909461216,0.00013937425697709658,0.00020343532846962687,1
44,720896,753664,7743,-449,0.045817941121640615,0.04513251533899165,37.50227055347236,0.0654603137714687,0.0012217377893509519,1
45,737280,770048,7743,-449,0.04551512002944946,0.04505743458867073,36.002179684146085,0.043892314648235384,0.001264232344506977,1
46,753664,786432,-1,,0.0,0.0,0.0,nan,nan,0
47,770048,802816,-1,,0.0,0.0,0.0,nan,nan,0
48,786432,819200,13,13,6.103886698838323e-05,6.103886698838323e-05,0.5000302765402012,0.0,0.00012207034224151798,1
49,802816,835584,841,841,0.00030519426218234,0.00030519426218234,1.5000908100660206,0.0,0.0002034505245511824,1
50,819200,851968,4591,-3601,0.06522488914197311,0.06383061921223998,66.50402705320836,0.09384292151447152,0.0009807660081965887,1
51,835584,868352,4591,-3601,0.06515140824194532,0.06376008683582768,66.50402704069052,0.0937490752630605,0.000979661099350907,1
52,851968,884736,2902,2902,0.000671416986733675,0.0006712985777994618,2.5001514011582344,0.0007659752851382876,0.00026855053114888583,1
53,868352,901120,4155,-4037,0.0015234169259201735,0.001522445265436545,4.000242320642258,0.002770885707407116,0.00038083116066718224,1
54,884736,917504,4655,-3537,0.0022981878864811733,0.002297955288668163,7.000424012249066,0.0004395683203496457,0.0003282926694811478,1
55,901120,933888,7886,-306,0.0029609750490635633,0.0029609443445224315,7.500454245576529,4.503544171005898e-05,0.0003947727633709424,1
56,917504,950272,6623,-1569,0.0057112310896627605,0.00566610464011319,9.500575288204848,0.03445142389370505,0.0006011458165857984,1
57,933888,966656,7940,-252,0.07412672364910122,0.0701481192081701,65.50396664562595,0.23958773686646953,0.0011316371732130982,1
58,950272,983040,7940,-252,0.07000958424134751,0.06840286408259999,61.50372437749152,0.10083212202083107,0.0011382982892491121,1
59,966656,999424,5828,-2364,0.0030685343663208187,0.003049329505302012,7.500454247932758,0.027266355505727733,0.0004091131370032094,1
60,983040,1015808,2771,2771,0.004407480329973623,0.004331087286118418,8.500514747629964,0.07593446447590221,0.0005184956982990326,1
61,999424,1032192,5862,-2330,0.004387805063743144,0.004279034968931228,10.000605295783963,0.10901489385732474,0.0004387539487827749,1
62,1015808,1048576,7171,-1021,0.024029734333453234,0.023463545410777442,35.5021494927862,0.10355333470115954,0.0006768529420545625,1
63,1032192,1064960,7178,-1014,0.02950793431227794,0.028557945959619246,51.003088257073586,0.14211840559893374,0.0005785519136321222,1
64,1048576,1081344,1627,1627,0.024164898204617202,0.02342091576429084,30.001816673257473,0.135810978969662,0.0008054478323026656,1
65,1064960,1097728,5506,-2686,0.005109003599500284,0.005108472396386787,16.000968964903677,0.0004515764583382193,0.0003192933884633054,1
66,1081344,1114112,6977,-1215,0.004432167072081938,0.004431818037119228,11.500696395631742,0.00034202214129935247,0.00038538249507789706,1
67,1097728,1130496,311,311,0.004825296171475202,0.004726969782495871,11.500696154106926,0.08941148972682604,0.00041956557297203933,1
68,1114112,1146880,311,311,0.004925101253320463,0.004904198693111539,14.000847688722292,0.018471061601536297,0.0003517716471758807,1
69,1130496,1163264,882,882,0.022064798864448676,0.019888748713128734,24.001453495575117,0.45092512266669854,0.0009193109437524907,1
70,1146880,1179648,5651,-2541,0.06967605219688267,0.06887483023456298,79.00478370841624,0.050229944383829536,0.0008819219410059621,1
71,1163264,1196032,5644,-2548,0.06863619125215337,0.06790812387771439,69.00417806437568,0.04631443491954351,0.0009946671807049277,1
72,1179648,1212416,5749,-2443,0.006258398338104598,0.006248975155358494,16.000968848552766,0.006544039074332845,0.0003911262122524943,1
73,1196032,1228800,3512,3512,0.005893575080335722,0.0058004863476526225,15.500938673278359,0.06914411583317108,0.0003802076251353406,1
74,1212416,1245184,2180,2180,0.005305820224748459,0.0052993703066022135,13.500817715337796,0.0052826287217279215,0.0003929999157547847,1
75,1228800,1261568,3328,3328,0.011144346091896296,0.010979833795204286,22.501362453818693,0.06458824677696795,0.0004952742801583108,1
76,1245184,1277952,7995,-197,0.0166303277364932,0.014579041337128729,29.50178630631091,0.5717184066301463,0.0005637057893316686,1
77,1261568,1294336,7997,-195,0.013384601945290342,0.013159393856767565,28.501726247149573,0.07369574482332651,0.00046960671186114286,1
78,1277952,1310720,4913,-3279,0.01205720315920189,0.010960505227558315,24.501484041738202,0.4141600513157343,0.0004921009330970516,1
79,1294336,1327104,852,852,0.008322285051690415,0.007856514654122293,18.501120351597535,0.2501266210181955,0.00044982600477877553,1
80,1310720,1343488,199,199,0.0074003337358590215,0.006911932025104761,15.500938615415613,0.2965184727323818,0.0004774119761044291,1
