file_name,packet_index,event_index,anchor_count,preamble_len,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,netid_valid,payload_cfo_correction_mode,anchor_slope_pi_per_symbol,anchor_intercept_pi,anchor_fit_r2,anchor_fit_rmse_pi,anchor_residual_std_pi,anchor_residual_peak_to_peak_pi,anchor_bin_mode,anchor_bin,anchor_signed_bin,anchor_bin_argmax_rate,anchor_mean_er,anchor_mean_margin_db,payload_symbol_count
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,1,1,16,16.0,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,1,continuous,-0.8134913150485834,0.1968355476245907,0.9897092819269874,0.38238549197369454,0.21124372096623825,0.8394882833271905,modal_argmax,1,1,1.0,0.7915782872408952,20.055665394580636,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,2,2,16,16.0,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,1,continuous,-0.5334432119146528,0.01806083798542163,0.9930659932095418,0.20548055806781568,0.20548055806781568,0.9300837534547601,modal_argmax,1,1,1.0,0.7616769779033479,18.946908290810544,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,3,3,16,16.0,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,1,continuous,-0.42438510324506706,-0.502745268098427,0.9784996381503336,0.28998941640332343,0.252689248455638,1.0916091408977173,modal_argmax,1,1,1.0,0.770316615138824,18.94875501095008,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,5,5,16,16.0,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,1,continuous,-0.49316059315964006,-0.8434994445107433,0.999913133169512,0.0211891573000979,0.0211891573000979,0.0798744021543929,modal_argmax,1,1,1.0,0.8302904334632341,27.34551054071558,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,6,6,16,16.0,10,125000.0,500000.0,-24,-0.2696020429472565,-0.006220422914431837,1,continuous,-0.5221942514651526,0.035661556633639076,0.9964892648896477,0.14288093149773423,0.1428809314977342,0.6565853033859345,modal_argmax,1,1,1.0,0.8222269868199834,20.453862786402716,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,8,8,16,16.0,10,125000.0,500000.0,-24,-0.3483401354552673,-0.006240603889546665,1,continuous,-0.6682712983357132,-1.0174144720612108,0.9930904046030505,0.25695921209713496,0.25695921209713496,1.1669325931551355,modal_argmax,1,1,1.0,0.8245960319774019,22.873790956695252,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,9,9,16,16.0,10,125000.0,500000.0,-24,-0.3905926756700688,-0.006251433431328191,1,continuous,-0.7670399802704907,-0.9233590462450311,0.9989226202221587,0.11612238695092755,0.11612238695092755,0.5421812060504358,modal_argmax,1,1,1.0,0.8373131570162403,26.546730318173296,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,10,16,16.0,10,125000.0,500000.0,-24,-0.439221980632291,-0.006263897370471676,1,continuous,-0.8746748849418458,0.7693889614203644,0.9999666045303532,0.023301139144388087,0.023301139144388087,0.11392710626245742,modal_argmax,1,1,1.0,0.8093902627553653,19.094400788254077,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,11,11,16,16.0,10,125000.0,500000.0,-24,0.12328787264913654,-0.0061197232231266305,1,continuous,0.24643099021361192,-0.2880288556363317,0.9988314943844271,0.038854746280418816,0.038854746280418816,0.179476374065606,modal_argmax,0,0,1.0,0.8759524619788748,25.200580483093773,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,12,12,16,16.0,10,125000.0,500000.0,-24,-0.11851083147497382,-0.006181697465520549,1,continuous,-0.2400576370728604,-0.3608824092657547,0.9984697077793174,0.04332262192429861,0.04332262192429861,0.17035380629725563,modal_argmax,0,0,1.0,0.9021256206441739,30.41865576325342,0
D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,13,13,16,16.0,10,125000.0,500000.0,-25,-0.25404660440359844,-0.006472741081710989,1,continuous,-0.5027273015118197,-0.9740531579141607,0.9997206989917699,0.0387354716014792,0.0387354716014792,0.1858334429615889,modal_argmax,1,1,1.0,0.9021124416481021,29.00755502904095,0
