dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_bin,selected_bin,savaux_top1_bin,gt_amp,gt_amp_db,gt_amp_z,selected_amp,selected_amp_db,savaux_top1_amp,savaux_top1_amp_db,gt_power,selected_power,savaux_top1_power,gt_minus_top1_power_db,gt_minus_selected_power_db,gt_rank,selected_hit_raw
0_0_0_10_14_16,-26.0,42,1,0,222,664,265,0.78069007396698,-2.150426848181397,-0.38738370362497065,0.9758121371269226,-0.21267568892539562,0.9827945232391357,-0.15074544704730197,0.6094769915905687,0.952209326964212,0.9658850749088401,-1.9996814011340949,-1.9377511592560017,9,0
0_0_0_10_14_16,-26.0,42,1,1,826,826,826,1.0733565092086792,0.6148798869664497,0.8503099311934903,1.0733565092086792,0.6148798869664497,1.0733565092086792,0.6148798869664497,1.1520941958606414,1.1520941958606414,1.1520941958606414,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,2,922,922,922,1.0921857357025146,0.7659300042149987,0.9179168141048415,1.0921857357025146,0.7659300042149987,1.0921857357025146,0.7659300042149987,1.1928696812720432,1.1928696812720432,1.1928696812720432,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,3,718,683,474,0.589137613773346,-4.595664972789074,-1.4818213021652078,0.8211637139320374,-1.711404994778585,0.8379078507423401,-1.5360748091280187,0.34708312796255214,0.6743097471883175,0.7020895663356477,-3.0595901636610554,-2.884259347540126,51,0
0_0_0_10_14_16,-26.0,42,1,4,107,624,624,0.7213492393493652,-2.837088436529867,-0.6947191128839355,0.9471872448921204,-0.47128317843379597,0.9471872448921204,-0.47128317843379597,0.5203447251099078,0.8971637897998477,0.8971637897998477,-2.3658058046821377,-2.3658058046821377,15,0
0_0_0_10_14_16,-26.0,42,1,5,468,468,468,1.2143046855926514,1.6865534163228197,1.3299686573047178,1.2143046855926514,1.6865534163228197,1.2143046855926514,1.6865534163228197,1.4745358694522679,1.4745358694522679,1.4745358694522679,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,6,89,89,237,0.9902095794677734,-0.08545753080631331,0.536853505841023,0.9902095794677734,-0.08545753080631331,1.0260634422302246,0.2234842868354407,0.9805150112697447,0.9805150112697447,1.0528061874813375,-0.30894181764175394,0.0,2,1
0_0_0_10_14_16,-26.0,42,1,7,713,998,998,0.7899609804153442,-2.0478871971990977,-0.34148909391524057,0.9431122541427612,-0.5087322438040895,0.9431122541427612,-0.5087322438040895,0.6240383505787719,0.889460611486502,0.889460611486502,-1.5391544044472232,-1.5391544044472232,4,0
0_0_0_10_14_16,-26.0,42,1,8,865,448,448,0.7183606624603271,-2.8731491544365984,-0.7108591383114437,0.9026700854301453,-0.8894189972189576,0.9026700854301453,-0.8894189972189576,0.5160421270057078,0.8148132831304657,0.8148132831304657,-1.9837294365220737,-1.9837294365220737,22,0
0_0_0_10_14_16,-26.0,42,1,9,492,740,740,0.6939054131507874,-3.173994491371854,-0.8455112381515263,1.0460197925567627,0.39079804467597634,1.0460197925567627,0.39079804467597634,0.48150480511993976,1.0941574064204929,1.0941574064204929,-3.564791789952852,-3.564791789952852,20,0
0_0_0_10_14_16,-26.0,42,1,10,765,765,765,0.9017338156700134,-0.8984328732506442,0.1729826940361583,0.9017338156700134,-0.8984328732506442,0.9017338156700134,-0.8984328732506442,0.8131237668277578,0.8131237668277578,0.8131237668277578,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,11,1023,1023,1023,0.9939443469047546,-0.052758640198882156,0.5514888474673395,0.9939443469047546,-0.052758640198882156,0.9939443469047546,-0.052758640198882156,0.9879254832313222,0.9879254832313222,0.9879254832313222,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,12,597,157,157,0.7350006699562073,-2.6742453010874945,-0.6218339209270551,0.8947023749351501,-0.966428196917118,0.8947023749351501,-0.966428196917118,0.5402259848360735,0.800492339714598,0.800492339714598,-1.7078171041703767,-1.7078171041703767,7,0
0_0_0_10_14_16,-26.0,42,1,13,562,562,562,1.0381674766540527,0.3253483866199959,0.7207216687040179,1.0381674766540527,0.3253483866199959,1.0381674766540527,0.3253483866199959,1.0777917095822431,1.0777917095822431,1.0777917095822431,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,14,478,478,478,0.9830543398857117,-0.14844950377947277,0.5086596121935005,0.9830543398857117,-0.14844950377947277,0.9830543398857117,-0.14844950377947277,0.9663959523573453,0.9663959523573453,0.9663959523573453,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,15,267,587,728,0.5287244915962219,-5.535411434465023,-1.9024322236141467,0.8929598927497864,-0.9833609397793195,0.9016571640968323,-0.8991712456980018,0.27954958801368335,0.79737737005971,0.8129855340812355,-4.636239614580508,-4.552050494685703,90,0
0_0_0_10_14_16,-26.0,42,1,16,917,917,917,1.3315544128417969,2.487178364265195,1.6883116900504722,1.3315544128417969,2.487178364265195,1.3315544128417969,2.487178364265195,1.7730371543584624,1.7730371543584624,1.7730371543584624,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,17,656,656,656,1.169516682624817,1.360128424061656,1.1838676371060648,1.169516682624817,1.360128424061656,1.169516682624817,1.360128424061656,1.3677692709377567,1.3677692709377567,1.3677692709377567,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,18,889,889,889,0.917482316493988,-0.7480459512851281,0.24029274456721028,0.917482316493988,-0.7480459512851281,0.917482316493988,-0.7480459512851281,0.8417738010791744,0.8417738010791744,0.8417738010791744,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,19,510,547,641,0.49677470326423645,-6.076810547791672,-2.1447511779434305,0.817348301410675,-1.751856711547145,0.8723752498626709,-1.1859332855381037,0.24678507619319134,0.6680582458189157,0.7610384725777273,-4.890877189874724,-4.324954357325187,149,0
0_0_0_10_14_16,-26.0,42,1,20,860,173,173,0.8207968473434448,-1.7152864068277993,-0.19262391525500197,0.8865858912467957,-1.0455836832109473,0.8865858912467957,-1.0455836832109473,0.6737074646089383,0.7860344368686043,0.7860344368686043,-0.6697021396696125,-0.6697021396696125,2,0
0_0_0_10_14_16,-26.0,42,1,21,553,940,843,0.7616137266159058,-2.3653047446822124,-0.483558569646848,0.8152745962142944,-1.7739217998051313,0.85340815782547,-1.3768641997321098,0.5800555593612025,0.6646726672323808,0.7283054838430623,-0.988439865183801,-0.5913822651107798,10,0
0_0_0_10_14_16,-26.0,42,1,22,629,629,629,1.2858892679214478,2.184071433953298,1.5526473481718344,1.2858892679214478,2.184071433953298,1.2858892679214478,2.184071433953298,1.6535112093555568,1.6535112093555568,1.6535112093555568,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,23,759,725,725,0.4716429114341736,-6.527733768262514,-2.346575009157136,0.8404022455215454,-1.5102559169372816,0.8404022455215454,-1.5102559169372816,0.2224470077939964,0.7062758340939048,0.7062758340939048,-5.017477784134407,-5.017477784134407,142,0
0_0_0_10_14_16,-26.0,42,1,24,874,744,744,0.9226630330085754,-0.6991375856518555,0.2621831092288503,1.106640100479126,0.8801280672692992,1.106640100479126,0.8801280672692992,0.8513069624905825,1.22465231198845,1.22465231198845,-1.5792662140354126,-1.5792662140354126,2,0
0_0_0_10_14_16,-26.0,42,1,25,720,720,720,1.0346276760101318,0.29568182976439183,0.7074435364373644,1.0346276760101318,0.29568182976439183,1.0346276760101318,0.29568182976439183,1.0704544279661263,1.0704544279661263,1.0704544279661263,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,26,314,194,712,0.7527443170547485,-2.4670502913576695,-0.5290977548268259,0.7867971062660217,-2.0827449205296125,0.8318265676498413,-1.5993442569773024,0.5666239171241081,0.6190496864285855,0.6919355378095737,-0.8677073445448192,-0.3843060586039394,7,0
0_0_0_10_14_16,-26.0,42,1,27,602,602,602,0.9072808027267456,-0.8451655663857739,0.19682402990411108,0.9072808027267456,-0.8451655663857739,0.9072808027267456,-0.8451655663857739,0.8231584549964879,0.8231584549964879,0.8231584549964879,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,28,7,7,7,1.2464905977249146,1.9137801394017449,1.4316706006156854,1.2464905977249146,1.9137801394017449,1.2464905977249146,1.9137801394017449,1.5537388102166148,1.5537388102166148,1.5537388102166148,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,29,610,610,610,1.0207338333129883,0.17825020327839322,0.6548835890070376,1.0207338333129883,0.17825020327839322,1.0207338333129883,0.17825020327839322,1.0418973151079314,1.0418973151079314,1.0418973151079314,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,1,30,807,807,342,0.8561447262763977,-1.3490562833169752,-0.028706948291880904,0.8561447262763977,-1.3490562833169752,0.8586943745613098,-1.3232276444358226,0.732983792330888,0.732983792330888,0.737356028903239,-0.025828638881152458,0.0,2,1
0_0_0_10_14_16,-26.0,42,1,31,897,961,114,0.6956521272659302,-3.152157649667669,-0.8357375231280596,0.7948160767555237,-1.9946671398605187,0.8873013854026794,-1.0385768077532822,0.4839318821696139,0.6317326906185059,0.7873037485375143,-2.113580841914387,-1.157491161177149,17,0
0_0_0_10_14_16,-26.0,42,1,32,749,804,749,1.049345850944519,0.41837299364918745,0.7623575431399738,0.9583754539489746,-0.36928636051070163,1.049345850944519,0.41837299364918745,1.1011267148944768,0.9184835107319032,1.1011267148944768,0.0,0.7876593541598892,1,0
0_0_0_10_14_16,-26.0,42,1,33,584,808,808,0.8296583294868469,-1.622014445693851,-0.15087733027937517,0.8889514207839966,-1.0224394321571602,0.8889514207839966,-1.0224394321571602,0.688332844783929,0.7902345225426224,0.7902345225426224,-0.5995750551585263,-0.5995750551585263,3,0
0_0_0_10_14_16,-26.0,42,1,34,934,52,473,0.7445968389511108,-2.5615762366206916,-0.5714055969516112,0.7987141609191895,-1.9521723122384236,0.8420361280441284,-1.4933854889237943,0.5544243638131299,0.6379443108528449,0.7090247405530228,-1.0681908281562686,-0.6094046196838865,12,0
0_0_0_10_14_16,-26.0,42,2,0,803,830,830,0.9183071851730347,-0.740240351800262,-0.0466567712696688,1.0871179103851318,0.7255330170061798,1.0871179103851318,0.7255330170061798,0.8432881958111729,1.1818256102692573,1.1818256102692573,-1.4657737574928245,-1.4657737574928245,3,0
0_0_0_10_14_16,-26.0,42,2,1,826,826,826,1.0744433403015137,0.6236703668945162,0.6674682327667533,1.0744433403015137,0.6236703668945162,1.0744433403015137,0.6236703668945162,1.154428747685543,1.154428747685543,1.154428747685543,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,2,2,922,358,358,0.9000590443611145,-0.9145799934553783,-0.1379386239556066,1.0063085556030273,0.05462330126532139,1.0063085556030273,0.05462330126532139,0.8101063906316455,1.0126569090798512,1.0126569090798512,-0.9692027195147147,-0.9692027195147147,2,0
0_0_0_10_14_16,-26.0,42,2,3,718,718,718,1.0901048183441162,0.7493651852310181,0.7332803210666468,1.0901048183441162,0.7493651852310181,1.0901048183441162,0.7493651852310181,1.1883285149770586,1.1883285149770586,1.1883285149770586,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,2,4,86,86,86,1.049328327178955,0.4182279406482766,0.5599013873263519,1.049328327178955,0.4182279406482766,1.049328327178955,0.4182279406482766,1.1010899382201842,1.1010899382201842,1.1010899382201842,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,2,5,468,468,544,0.9018943309783936,-0.8968868580588971,-0.12867474017403435,0.9018943309783936,-0.8968868580588971,0.9127844572067261,-0.7926352729103829,0.8134133842509641,0.8134133842509641,0.8331755741305678,-0.10425215233537341,0.0,3,1
0_0_0_10_14_16,-26.0,42,2,6,89,89,89,1.2053123712539673,1.6219922831352012,1.19017593840549,1.2053123712539673,1.6219922831352012,1.2053123712539673,1.6219922831352012,1.4527781996667386,1.4527781996667386,1.4527781996667386,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,2,7,713,713,713,0.86894690990448,-1.2201351370764524,-0.2979231194074528,0.86894690990448,-1.2201351370764524,0.86894690990448,-1.2201351370764524,0.7550687322325444,0.7550687322325444,0.7550687322325444,0.0,0.0,1,1
0_0_0_10_14_16,-26.0,42,2,8,865,247,247,0.8690086603164673,-1.219517909256544,-0.297599947360088,1.1302697658538818,1.063642211958293,1.1302697658538818,1.063642211958293,0.7551760517050212,1.2775097436033889,1.2775097436033889,-2.283160121214837,-2.283160121214837,2,0
0_0_0_10_14_16,-26.0,42,2,9,492,430,884,0.7834201455116272,-2.1201052967627203,-0.7691351900433165,0.7815592885017395,-2.140761422825925,0.8512976169586182,-1.3983716465698393,0.6137471243934591,0.6108348282742213,0.7247076326394222,-0.721733650192881,0.020656788481775126,4,0
