dataset,target_snr_db,noise_seed,packet_index,payload_symbols,phase_line_ser,gt_amp_db_mean,gt_amp_db_std,gt_amp_db_mean_abs_diff,gt_amp_db_mean_abs_second_diff,gt_amp_db_linear_r2,gt_amp_z_mean_abs_diff,gt_amp_z_mean_abs_second_diff,gt_rank_mean,gt_rank_le1_rate,gt_rank_le4_rate,gt_rank_le16_rate,plot_path
0_0_0_10_14_16,-26.0,42,1,35,0.5142857142857142,-1.2849180222611827,2.234241703563589,2.778426250884775,4.644893213862308,5.671095158332751e-05,1.2435656565052806,2.078957351145885,16.62857142857143,0.45714285714285713,0.6285714285714286,0.8,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_1_gt_amp.png
0_0_0_10_14_16,-26.0,42,2,35,0.4,-0.6511303639484065,1.9099047239417222,1.8698054538486173,3.4815503982429625,0.0033484709767330756,0.9790045704419612,1.8228921865043637,8.142857142857142,0.5142857142857142,0.8571428571428571,0.8857142857142857,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_2_gt_amp.png
0_0_0_10_14_16,-26.0,42,3,35,0.45714285714285713,-1.2598511625956867,2.627469981264088,2.52998300498893,4.236726375561289,0.025036599936774206,0.9628970161519336,1.6124737507072748,25.542857142857144,0.45714285714285713,0.6857142857142857,0.8,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_3_gt_amp.png
0_0_0_10_14_16,-26.0,42,5,35,0.45714285714285713,-0.817707628598109,2.3758649110498773,2.416925490689588,4.426430669915348,0.023633268400077623,1.0172823713367392,1.8630817978440852,14.114285714285714,0.5142857142857142,0.6571428571428571,0.8285714285714286,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_5_gt_amp.png
0_0_0_10_14_16,-26.0,42,6,35,0.22857142857142856,-0.17304562539798055,2.609041601785322,2.9320440245421864,5.6746624074378875,0.029404218277254368,1.1238011776181396,2.174998820851549,17.085714285714285,0.6285714285714286,0.7714285714285715,0.8857142857142857,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_6_gt_amp.png
0_0_0_10_14_16,-26.0,42,8,35,0.34285714285714286,-0.2895536816577957,2.089602144501626,2.168592521264106,3.675598923465422,0.0015548381427884506,1.037801634617044,1.7589946168151065,6.714285714285714,0.6,0.7428571428571429,0.9142857142857143,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_8_gt_amp.png
0_0_0_10_14_16,-26.0,42,9,35,0.2857142857142857,-0.8103283362805246,3.2050025716232238,3.3894051504210063,6.46871868025892,0.02763290779523997,1.0575358598552798,2.0183193416224676,29.428571428571427,0.6,0.7142857142857143,0.8285714285714286,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_9_gt_amp.png
0_0_0_10_14_16,-26.0,42,10,35,0.3142857142857143,-0.9724055116126865,2.5096760783635133,2.798074099273332,4.842239257814699,0.00048153946267126546,1.1149144399132016,1.9294279845749067,23.17142857142857,0.6285714285714286,0.7142857142857143,0.8285714285714286,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_10_gt_amp.png
0_0_0_10_14_16,-26.0,42,11,35,0.45714285714285713,0.3371649981271448,1.91205474557932,2.262174493487652,3.5333187609868624,0.055555115360164,1.1831117799930297,1.8479171525575113,2.7714285714285714,0.7714285714285715,0.8285714285714286,0.9714285714285714,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_11_gt_amp.png
0_0_0_10_14_16,-26.0,42,12,35,0.2857142857142857,1.1341969888633534,1.8980768256988794,2.3783630903923165,4.398806726583925,0.012094031843138064,1.2530383692532256,2.3175072088886335,2.857142857142857,0.8,0.9142857142857143,0.9714285714285714,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_12_gt_amp.png
0_0_0_10_14_16,-26.0,42,13,35,0.08571428571428572,0.9882033621653606,1.9568220140297767,2.300959304550366,4.189432653768292,0.0076182269940590075,1.1758654021939967,2.140937000774359,3.5142857142857142,0.8571428571428571,0.9142857142857143,0.9428571428571428,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m26_seed_42_packet_13_gt_amp.png
0_0_0_10_14_16,-25.5,42,1,35,0.42857142857142855,-1.268353970840021,2.0967497342077372,2.614627163893799,4.355743986713168,9.022196841534935e-05,1.2469905784347202,2.077379057523487,10.114285714285714,0.5142857142857142,0.7142857142857143,0.8857142857142857,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m25p5_seed_42_packet_1_gt_amp.png
0_0_0_10_14_16,-25.5,42,2,35,0.2571428571428571,-0.6838917567897824,1.808734996788905,1.790100035420449,3.334526395638031,0.0029113092804559093,0.9896972406668034,1.8435682405416272,5.314285714285714,0.6,0.8571428571428571,0.8857142857142857,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m25p5_seed_42_packet_2_gt_amp.png
0_0_0_10_14_16,-25.5,42,3,35,0.4,-1.2456256266446142,2.468443729755862,2.378541900260183,3.9847230646439162,0.025370018669746308,0.9635795507862219,1.6142653027121685,16.97142857142857,0.5428571428571428,0.7428571428571429,0.8285714285714286,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m25p5_seed_42_packet_3_gt_amp.png
0_0_0_10_14_16,-25.5,42,5,35,0.42857142857142855,-0.8032250644688942,2.2411967403001567,2.2850405932743625,4.200880772237812,0.02285687989162266,1.0195626971005294,1.8743917910898473,8.6,0.5714285714285714,0.8,0.8571428571428571,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m25p5_seed_42_packet_5_gt_amp.png
0_0_0_10_14_16,-25.5,42,6,35,0.2,-0.19954505218193125,2.474811262750622,2.7733467110551957,5.363468557775582,0.02930193794365643,1.1206295820601877,2.1672232701140217,12.857142857142858,0.7142857142857143,0.8285714285714286,0.9428571428571428,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_amplitude_paths_all_packets_low_snr\0_0_0_10_14_16_snr_m25p5_seed_42_packet_6_gt_amp.png
