scope,method,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux
thermal_only,branch0,1800,96,0.05333333333333334,3,6
thermal_only,savaux,1800,93,0.051666666666666666,0,0
thermal_only,equal8,1800,102,0.056666666666666664,5,14
thermal_only,equal8_wrap,1800,108,0.06,5,20
thermal_only,gls8_direct,1800,95,0.05277777777777778,4,6
thermal_only,gls8_cg,1800,95,0.05277777777777778,4,6
thermal_only,gls8_cg_wrap,1800,105,0.058333333333333334,6,18
thermal_only,conditional_gls,1800,98,0.05444444444444444,5,10
interference,branch0,3600,1764,0.49,25,60
interference,savaux,3600,1729,0.4802777777777778,0,0
interference,equal8,3600,1741,0.4836111111111111,52,64
interference,equal8_wrap,3600,1511,0.4197222222222222,236,18
interference,gls8_direct,3600,1735,0.48194444444444445,55,61
interference,gls8_cg,3600,1733,0.48138888888888887,56,60
interference,gls8_cg_wrap,3600,1500,0.4166666666666667,248,19
interference,conditional_gls,3600,1554,0.43166666666666664,192,17
all,branch0,5400,1860,0.34444444444444444,28,66
all,savaux,5400,1822,0.33740740740740743,0,0
all,equal8,5400,1843,0.3412962962962963,57,78
all,equal8_wrap,5400,1619,0.2998148148148148,241,38
all,gls8_direct,5400,1830,0.3388888888888889,59,67
all,gls8_cg,5400,1828,0.3385185185185185,60,66
all,gls8_cg_wrap,5400,1605,0.2972222222222222,254,37
all,conditional_gls,5400,1652,0.30592592592592593,197,27
