scenario,target_tx_dbm,interferer_tx_dbm,trial,symbol_count,target_power_w,interference_power_w,noise_power_w,theoretical_noise_power_w,target_snr_db,target_sinr_db,mean_savaux_margin_db,mean_branch_color_mismatch,conditional_screen_rate,conditional_backend_rate,branch0_errors,branch0_ser,branch0_fixes_vs_savaux,branch0_breaks_vs_savaux,savaux_errors,savaux_ser,savaux_fixes_vs_savaux,savaux_breaks_vs_savaux,equal8_errors,equal8_ser,equal8_fixes_vs_savaux,equal8_breaks_vs_savaux,equal8_wrap_errors,equal8_wrap_ser,equal8_wrap_fixes_vs_savaux,equal8_wrap_breaks_vs_savaux,gls8_direct_errors,gls8_direct_ser,gls8_direct_fixes_vs_savaux,gls8_direct_breaks_vs_savaux,gls8_cg_errors,gls8_cg_ser,gls8_cg_fixes_vs_savaux,gls8_cg_breaks_vs_savaux,gls8_cg_wrap_errors,gls8_cg_wrap_ser,gls8_cg_wrap_fixes_vs_savaux,gls8_cg_wrap_breaks_vs_savaux,conditional_gls_errors,conditional_gls_ser,conditional_gls_fixes_vs_savaux,conditional_gls_breaks_vs_savaux
thermal_only,-63.0,-78.5,0,200,5.814156366396326e-17,0.0,1.993161506068315e-15,1.9924677175759936e-15,-15.350557835071667,-15.350557835071667,6.049243074184473,1.279813692596087,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
thermal_only,-63.0,-78.5,1,200,5.813927482030025e-17,0.0,1.990220951768139e-15,1.9924677175759936e-15,-15.34431683451171,-15.34431683451171,5.975645460675386,1.2806012464561605,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
thermal_only,-63.0,-78.5,2,200,5.814003255767711e-17,0.0,1.991021005717147e-15,1.9924677175759936e-15,-15.346005713216964,-15.346005713216964,5.886059391976712,1.2804087330417442,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
thermal_only,-65.0,-78.5,0,200,3.6684846613340324e-17,0.0,1.993161506068315e-15,1.9924677175759936e-15,-17.350557835071672,-17.350557835071672,4.039537140123751,1.2798998557468422,0.005,0.005,2,0.01,0,0,2,0.01,0,0,3,0.015,0,1,3,0.015,0,1,3,0.015,0,1,3,0.015,0,1,3,0.015,0,1,3,0.015,0,1
thermal_only,-65.0,-78.5,1,200,3.668340245062079e-17,0.0,1.990220951768139e-15,1.9924677175759936e-15,-17.344316834511712,-17.344316834511712,3.977032830933017,1.280617022372495,0.015,0.015,4,0.02,0,0,4,0.02,0,0,5,0.025,0,1,4,0.02,1,1,4,0.02,0,0,4,0.02,0,0,3,0.015,1,0,3,0.015,1,0
thermal_only,-65.0,-78.5,2,200,3.6683880550583906e-17,0.0,1.991021005717147e-15,1.9924677175759936e-15,-17.346005713216964,-17.346005713216964,3.867492763452786,1.280477636387689,0.005,0.005,3,0.015,0,0,3,0.015,0,0,3,0.015,0,0,3,0.015,0,0,3,0.015,1,1,3,0.015,1,1,3,0.015,1,1,4,0.02,0,1
thermal_only,-67.0,-78.5,0,200,2.3146573401816418e-17,0.0,1.993161506068315e-15,1.9924677175759936e-15,-19.350557835071672,-19.350557835071672,2.2493504082869076,1.2799340638704988,0.095,0.095,29,0.145,0,2,27,0.135,0,0,29,0.145,1,3,33,0.165,1,7,27,0.135,1,1,27,0.135,1,1,30,0.15,1,4,28,0.14,1,2
thermal_only,-67.0,-78.5,1,200,2.3145662196741905e-17,0.0,1.990220951768139e-15,1.9924677175759936e-15,-19.344316834511712,-19.344316834511712,2.1733341686667123,1.2806533149349217,0.16,0.16,28,0.14,1,1,28,0.14,0,0,29,0.145,2,3,31,0.155,2,5,29,0.145,1,2,29,0.145,1,2,32,0.16,2,6,29,0.145,2,3
thermal_only,-67.0,-78.5,2,200,2.3145963857425035e-17,0.0,1.991021005717147e-15,1.9924677175759936e-15,-19.346005713216964,-19.346005713216964,2.060427113904319,1.2805180414845017,0.16,0.16,30,0.15,2,3,29,0.145,0,0,33,0.165,2,6,34,0.17,1,6,29,0.145,1,1,29,0.145,1,1,34,0.17,1,6,31,0.155,1,3
one_interferer,-63.0,-78.5,0,200,5.814156366396326e-17,1.0629253536359708e-16,1.993042707895712e-15,1.9924677175759936e-15,-15.350298975324058,-15.575950891492278,2.042631099201958,1.2804350670567917,0.13,0.13,28,0.14,2,5,25,0.125,0,0,27,0.135,2,4,18,0.09,10,3,23,0.115,2,0,23,0.115,2,0,15,0.075,10,0,16,0.08,9,0
one_interferer,-63.0,-78.5,1,200,5.813927482030025e-17,1.0626895821299525e-16,1.990079577554535e-15,1.9924677175759936e-15,-15.3440083249385,-15.569938790153262,2.2402887884853033,1.2805460218200853,0.11,0.11,14,0.07,0,3,11,0.055,0,0,12,0.06,0,1,8,0.04,4,1,10,0.05,1,0,10,0.05,1,0,9,0.045,2,0,10,0.05,1,0
one_interferer,-63.0,-78.5,2,200,5.814003255767711e-17,1.0625916215067384e-16,1.9909886260086895e-15,1.9924677175759936e-15,-15.345935083911614,-15.571744744108182,2.1525117182514157,1.2812474146344683,0.125,0.125,30,0.15,2,1,31,0.155,0,0,32,0.16,2,3,24,0.12,7,0,29,0.145,3,1,29,0.145,3,1,25,0.125,6,0,27,0.135,4,0
one_interferer,-65.0,-78.5,0,200,3.6684846613340324e-17,1.0629253536359708e-16,1.993042707895712e-15,1.9924677175759936e-15,-17.350298975324062,-17.575950891492283,1.1751737406223903,1.2804174244255375,0.3,0.3,113,0.565,1,5,109,0.545,0,0,106,0.53,5,2,87,0.435,23,1,107,0.535,6,4,108,0.54,5,4,87,0.435,24,2,92,0.46,18,1
one_interferer,-65.0,-78.5,1,200,3.668340245062079e-17,1.0626895821299525e-16,1.990079577554535e-15,1.9924677175759936e-15,-17.344008324938503,-17.569938790153262,1.314111358867936,1.2806233299232457,0.24,0.24,104,0.52,1,6,99,0.495,0,0,99,0.495,5,5,85,0.425,15,1,102,0.51,4,7,102,0.51,4,7,82,0.41,18,1,92,0.46,8,1
one_interferer,-65.0,-78.5,2,200,3.6683880550583906e-17,1.0625916215067384e-16,1.9909886260086895e-15,1.9924677175759936e-15,-17.345935083911616,-17.571744744108184,1.3206128148567324,1.2812724360375405,0.23,0.23,99,0.495,0,0,99,0.495,0,0,102,0.51,4,7,87,0.435,13,1,101,0.505,2,4,101,0.505,2,4,88,0.44,11,0,90,0.45,9,0
one_interferer,-67.0,-78.5,0,200,2.3146573401816418e-17,1.0629253536359708e-16,1.993042707895712e-15,1.9924677175759936e-15,-19.350298975324066,-19.575950891492283,1.2152783438164951,1.2805111055437592,0.29,0.29,171,0.855,1,2,170,0.85,0,0,167,0.835,3,0,153,0.765,17,0,168,0.84,3,1,168,0.84,3,1,155,0.775,15,0,157,0.785,13,0
one_interferer,-67.0,-78.5,1,200,2.3145662196741905e-17,1.0626895821299525e-16,1.990079577554535e-15,1.9924677175759936e-15,-19.344008324938503,-19.569938790153266,1.3454950190134312,1.2806161579714337,0.22,0.22,164,0.82,1,2,163,0.815,0,0,161,0.805,4,2,150,0.75,13,0,162,0.81,3,2,161,0.805,4,2,151,0.755,13,1,155,0.775,9,1
one_interferer,-67.0,-78.5,2,200,2.3145963857425035e-17,1.0625916215067384e-16,1.9909886260086895e-15,1.9924677175759936e-15,-19.345935083911616,-19.571744744108184,1.2755389673637385,1.2813917373581347,0.275,0.275,168,0.84,1,3,166,0.83,0,0,169,0.845,1,4,148,0.74,19,1,167,0.835,2,3,167,0.835,2,3,147,0.735,20,1,152,0.76,14,0
two_interferers,-63.0,-78.5,0,200,5.814156366396326e-17,1.1460108439928452e-16,1.992999916232339e-15,1.9924677175759936e-15,-15.350205729039324,-15.593016885492556,2.1484351645449276,1.280117178237733,0.085,0.085,20,0.1,0,4,16,0.08,0,0,19,0.095,0,3,15,0.075,1,0,15,0.075,2,1,15,0.075,2,1,13,0.065,3,0,14,0.07,2,0
two_interferers,-63.0,-78.5,1,200,5.813927482030025e-17,1.1476747291769088e-16,1.9900572432533495e-15,1.9924677175759936e-15,-15.343959584585097,-15.587463244161555,2.2050658593566963,1.280346608779367,0.125,0.125,23,0.115,1,1,23,0.115,0,0,22,0.11,3,2,13,0.065,10,0,22,0.11,3,2,22,0.11,3,2,12,0.06,12,1,13,0.065,11,1
two_interferers,-63.0,-78.5,2,200,5.814003255767711e-17,1.1466379886698507e-16,1.9909619367482707e-15,1.9924677175759936e-15,-15.345876866219841,-15.589059094152224,2.1852878743816615,1.281500994970077,0.12,0.12,22,0.11,2,1,23,0.115,0,0,24,0.12,1,2,20,0.1,3,0,23,0.115,2,2,23,0.115,2,2,17,0.085,7,1,18,0.09,6,1
