scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,equal8_wrap_bin,gls8_direct_bin,gls8_cg_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
thermal_only,-63.0,0,0,596,596,596,596,596,596,596,596,596,6.672117753138856,1.2727984767288176,0
thermal_only,-63.0,0,1,975,975,975,975,975,975,975,975,975,7.731747641352057,1.2747185684791675,0
thermal_only,-63.0,0,2,938,938,938,938,938,938,938,938,938,4.124885742923058,1.2807637277540973,0
thermal_only,-63.0,0,3,11,11,11,11,11,11,11,11,11,5.311266656495293,1.2912463447365188,0
thermal_only,-63.0,0,4,664,664,664,664,664,664,664,664,664,7.0857161071514865,1.2631045793428641,0
thermal_only,-63.0,0,5,67,67,67,67,67,67,67,67,67,8.372358311377328,1.2714980127501392,0
thermal_only,-63.0,0,6,336,336,336,336,336,336,336,336,336,6.569150320136177,1.3020355964294628,0
thermal_only,-63.0,0,7,207,207,207,207,207,207,207,207,207,6.8999070984484465,1.2829024166664034,0
thermal_only,-63.0,0,8,261,261,261,261,261,261,261,261,261,5.1545607327209755,1.2846666688239239,0
thermal_only,-63.0,0,9,540,540,540,540,540,540,540,540,540,3.9972048422888045,1.2814728985427835,0
thermal_only,-63.0,0,10,499,499,499,499,499,499,499,499,499,6.006856305256393,1.268184758531772,0
thermal_only,-63.0,0,11,475,475,475,475,475,475,475,475,475,5.479401857715008,1.297050694360423,0
thermal_only,-63.0,0,12,596,596,596,596,596,596,596,596,596,5.711636906882939,1.2821565869340918,0
thermal_only,-63.0,0,13,229,229,229,229,229,229,229,229,229,7.634681081047843,1.2640624437187873,0
thermal_only,-63.0,0,14,993,993,993,993,993,993,993,993,993,6.1818753547438146,1.291323403405033,0
thermal_only,-63.0,0,15,993,993,993,993,993,993,993,993,993,5.4346617564340525,1.2851591366879362,0
thermal_only,-63.0,0,16,597,597,597,597,597,597,597,597,597,4.934935236745154,1.2814439934243593,0
thermal_only,-63.0,0,17,758,758,758,758,758,758,758,758,758,5.777575142723482,1.286095785470738,0
thermal_only,-63.0,0,18,296,296,296,296,296,296,296,296,296,6.298070798614875,1.283609701631949,0
thermal_only,-63.0,0,19,478,478,478,478,478,478,478,478,478,8.077689069755095,1.2751011329301156,0
thermal_only,-63.0,0,20,79,79,79,79,79,79,79,79,79,6.3535285045728385,1.2805710996767163,0
thermal_only,-63.0,0,21,77,77,77,77,77,77,77,77,77,5.361558031259412,1.2903595293854075,0
thermal_only,-63.0,0,22,8,8,8,8,8,8,8,8,8,5.177883642972332,1.2905760194259976,0
thermal_only,-63.0,0,23,301,301,301,301,301,301,301,301,301,6.170920576578832,1.2738670063027795,0
thermal_only,-63.0,0,24,881,881,881,881,881,881,881,881,881,5.805881855939422,1.280993153942619,0
thermal_only,-63.0,0,25,988,988,988,988,988,988,988,988,988,5.719398407990274,1.2873762765717234,0
thermal_only,-63.0,0,26,178,178,178,178,178,178,178,178,178,6.688989292162666,1.269158993585219,0
thermal_only,-63.0,0,27,929,929,929,929,929,929,929,929,929,6.847165200837342,1.2839552200365019,0
thermal_only,-63.0,0,28,360,360,360,360,360,360,360,360,360,6.887190461532605,1.2628353471442086,0
thermal_only,-63.0,0,29,115,115,115,115,115,115,115,115,115,5.540404487921533,1.2783881280310392,0
thermal_only,-63.0,0,30,919,919,919,919,919,919,919,919,919,6.031881838380981,1.2906742671855522,0
thermal_only,-63.0,0,31,540,540,540,540,540,540,540,540,540,5.909158190847296,1.2770437210386538,0
thermal_only,-63.0,0,32,332,332,332,332,332,332,332,332,332,7.827458232934205,1.271226331102126,0
thermal_only,-63.0,0,33,292,292,292,292,292,292,292,292,292,4.84433764115631,1.2732110517923556,0
thermal_only,-63.0,0,34,193,193,193,193,193,193,193,193,193,5.072261400631108,1.284136294709869,0
thermal_only,-63.0,0,35,635,635,635,635,635,635,635,635,635,6.034341648519658,1.2828086583214633,0
thermal_only,-63.0,0,36,286,286,286,286,286,286,286,286,286,8.084327896778811,1.2724146615274696,0
thermal_only,-63.0,0,37,446,446,446,446,446,446,446,446,446,7.205416746687981,1.274033588011892,0
thermal_only,-63.0,0,38,562,562,562,562,562,562,562,562,562,6.710135992667868,1.278780201328479,0
thermal_only,-63.0,0,39,23,23,23,23,23,23,23,23,23,7.50266073903553,1.283280142355025,0
