dataset,target_snr_db,packet_count,traditional_fft_symbol_ser,traditional_fft_symbol_accuracy,traditional_fft_crc_valid_rate,multi_offset_argmax_symbol_ser,multi_offset_argmax_symbol_accuracy,multi_offset_argmax_crc_valid_rate,current_selected_symbol_ser,current_selected_symbol_accuracy,current_selected_crc_valid_rate,savaux_paper_symbol_ser,savaux_paper_symbol_accuracy,savaux_paper_crc_valid_rate,savaux_codec_symbol_ser,savaux_codec_symbol_accuracy,savaux_codec_crc_valid_rate,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,savaux_codec_crc_gain_vs_current,savaux_codec_crc_gain_vs_savaux,savaux_codec_success_rate,savaux_codec_argmax_fallback_rate,savaux_codec_mean_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_mean_symbol_change_count,savaux_codec_mean_symbol_fix_count,savaux_codec_mean_symbol_break_count
0_0_0_10_14_8,-12.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-13.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-14.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-15.0,10,0.002857142857142857,0.9971428571428571,0.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-16.0,10,0.014285714285714285,0.9857142857142858,0.8,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-17.0,10,0.037142857142857144,0.9628571428571429,0.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-18.0,10,0.10285714285714287,0.8971428571428571,0.3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-19.0,10,0.20857142857142855,0.7914285714285715,0.2,0.005714285714285714,0.9942857142857143,0.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-20.0,10,0.33714285714285713,0.6628571428571428,0.0,0.04285714285714286,0.9571428571428572,0.6,0.005714285714285714,0.9942857142857143,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.005714285714285714,0.005714285714285714,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0_0_0_10_14_8,-21.0,10,0.5085714285714286,0.49142857142857144,0.0,0.10571428571428572,0.8942857142857142,0.5,0.037142857142857144,0.9628571428571429,0.5,0.002857142857142857,0.9971428571428571,0.9,0.0,1.0,1.0,0.03428571428571429,0.037142857142857144,0.002857142857142857,0.5,0.09999999999999998,1.0,0.9,0.1,0.10285714285714284,0.1,0.1,0.0
