packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,mean_hybrid_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,hybrid_mean_pattern_err,hybrid_mean_pattern_ser,hybrid_mean_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,gated_mean_pattern_err,gated_mean_pattern_ser,gated_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_stable_pattern_err,gated_stable_pattern_ser,gated_stable_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_consensus_pattern_err,gated_consensus_pattern_ser,gated_consensus_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_hybrid_pattern_err,gated_hybrid_pattern_ser,gated_hybrid_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,dataset,snr_db,seed
0,0,0,35,1.0,1.5142857142857142,32,random_only,random_017,0.18608419034744325,0.06203543700102836,0.22728890649954872,0.8189279548914775,0.1447129919364028,5,0.14285714285714285,15,0.42857142857142855,16,1,11,5,0.14285714285714285,1,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,0_0_0_10_14_8,-24.0,1
1,1,1,35,1.0,1.2857142857142858,32,random_only,random_018,0.17675993046376812,0.061204825172394756,0.22410878023920378,0.8332023385626591,0.1410973706578605,4,0.11428571428571428,9,0.2571428571428571,12,3,8,3,0.08571428571428572,6,3,2,2,0.05714285714285714,5,3,1,3,0.08571428571428572,6,3,2,2,0.05714285714285714,2,2,0,1,0.02857142857142857,4,3,0,1,0.02857142857142857,4,3,0,3,0.08571428571428572,1,1,0,3,0.08571428571428572,1,1,0,1,0.02857142857142857,4,3,0,0_0_0_10_14_8,-24.0,1
2,2,2,35,1.0,1.3142857142857143,32,random_only,random_029,0.19440798433354195,0.06573630319994803,0.24130829834350043,0.8208571469262699,0.15069598426119848,6,0.17142857142857143,14,0.4,12,0,8,7,0.2,4,1,2,6,0.17142857142857143,4,1,1,6,0.17142857142857143,3,1,1,5,0.14285714285714285,2,1,0,7,0.2,2,0,1,7,0.2,1,0,1,6,0.17142857142857143,0,0,0,6,0.17142857142857143,0,0,0,6,0.17142857142857143,0,0,0,0_0_0_10_14_8,-24.0,1
0,0,0,35,0.9142857142857143,3.6857142857142855,32,random_only,random_017,0.2045264119933485,0.06117141195055194,0.22393020399043836,0.788496460656013,0.14740173486548605,8,0.22857142857142856,20,0.5714285714285714,18,0,12,8,0.22857142857142856,4,1,1,9,0.2571428571428571,4,1,2,8,0.22857142857142856,5,2,2,9,0.2571428571428571,1,0,1,8,0.22857142857142856,2,1,1,7,0.2,2,1,0,8,0.22857142857142856,0,0,0,8,0.22857142857142856,0,0,0,8,0.22857142857142856,0,0,0,0_0_0_10_14_8,-25.0,1
1,1,1,35,0.9714285714285714,2.4,32,random_only,random_015,0.1888610644712104,0.06140712405314085,0.2246849413356954,0.8087934865110257,0.14470176210075741,6,0.17142857142857143,16,0.45714285714285713,19,3,13,5,0.14285714285714285,6,2,1,6,0.17142857142857143,7,2,2,7,0.2,7,1,2,7,0.2,1,0,1,6,0.17142857142857143,4,1,1,6,0.17142857142857143,5,1,1,6,0.17142857142857143,0,0,0,6,0.17142857142857143,0,0,0,6,0.17142857142857143,1,0,0,0_0_0_10_14_8,-25.0,1
2,2,2,35,0.9714285714285714,2.6285714285714286,32,random_only,random_029,0.21077738576011198,0.06532226793867456,0.23962611038677092,0.7910042554945786,0.1541578176505411,11,0.3142857142857143,19,0.5428571428571428,17,1,9,13,0.37142857142857144,11,2,4,12,0.34285714285714286,9,2,3,12,0.34285714285714286,9,2,3,10,0.2857142857142857,4,1,0,11,0.3142857142857143,8,2,2,9,0.2571428571428571,3,2,0,11,0.3142857142857143,1,0,0,11,0.3142857142857143,0,0,0,10,0.2857142857142857,1,1,0,0_0_0_10_14_8,-25.0,1
0,0,0,35,0.8571428571428571,11.028571428571428,32,random_only,random_017,0.21096067967400658,0.059909570843348726,0.21999540811884666,0.7634262423827423,0.14852066851903756,13,0.37142857142857144,26,0.7428571428571429,23,1,14,16,0.45714285714285713,11,1,4,15,0.42857142857142855,8,1,3,15,0.42857142857142855,8,1,3,12,0.34285714285714286,2,1,0,14,0.4,6,2,3,15,0.42857142857142855,6,1,3,13,0.37142857142857144,1,0,0,13,0.37142857142857144,0,0,0,12,0.34285714285714286,1,1,0,0_0_0_10_14_8,-26.0,1
1,1,1,35,0.9142857142857143,5.485714285714286,32,random_only,random_015,0.2002237551057227,0.061343954018637625,0.22454263950020723,0.7858659019578167,0.14769976551827269,8,0.22857142857142856,22,0.6285714285714286,22,1,15,13,0.37142857142857144,11,0,5,13,0.37142857142857144,11,0,5,11,0.3142857142857143,9,0,3,9,0.2571428571428571,2,0,1,9,0.2571428571428571,5,0,1,8,0.22857142857142856,5,0,0,9,0.2571428571428571,1,0,1,8,0.22857142857142856,0,0,0,8,0.22857142857142856,2,0,0,0_0_0_10_14_8,-26.0,1
2,2,2,35,0.8857142857142857,7.114285714285714,32,random_only,random_029,0.22968666535281435,0.06748580631364154,0.2479644636619566,0.7742771362133282,0.16040687259864783,17,0.4857142857142857,25,0.7142857142857143,21,1,9,17,0.4857142857142857,7,1,1,18,0.5142857142857142,6,0,1,18,0.5142857142857142,6,0,1,17,0.4857142857142857,3,0,0,17,0.4857142857142857,6,1,1,18,0.5142857142857142,2,0,1,17,0.4857142857142857,1,0,0,17,0.4857142857142857,0,0,0,17,0.4857142857142857,0,0,0,0_0_0_10_14_8,-26.0,1
0,0,0,35,1.0,1.457142857142857,32,random_only,random_024,0.20881009498902006,0.0651890295162141,0.23879875222426464,0.8065820032154867,0.15182489536588034,4,0.11428571428571428,16,0.45714285714285713,15,0,12,5,0.14285714285714285,2,0,1,4,0.11428571428571428,2,0,0,4,0.11428571428571428,2,0,0,4,0.11428571428571428,1,0,0,4,0.11428571428571428,1,0,0,4,0.11428571428571428,1,0,0,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,4,0.11428571428571428,1,0,0,0_0_0_10_14_8,-24.0,2
