branch_dimension,branch_covariance_count,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,offpacket_windows,branch_gls_active,min_branch_correlation
4,1,4096,0.0039660621720381106,0.005476149983714162,0.010337713040273106,2,4096,0.0029309414528585495,0.010961787315627396,0.010961787315627396,0_0_0_10_14_32,-22.0,42,256,0,0.05
4,1,4096,0.0028774508932723243,0.009712419679968979,0.019250922495138868,2,4096,0.020197493391933517,0.015135882472067324,0.015135882472067324,0_0_0_10_14_32,-22.0,43,256,0,0.05
4,1,4096,0.008772348294839213,0.00793754394594686,0.013295911017378688,2,4096,0.0074829869649967115,0.01251119048072698,0.01251119048072698,0_0_0_10_14_32,-22.0,44,256,0,0.05
4,1,4096,0.003941951539687288,0.005435393212140268,0.010418091024299442,2,4096,0.0030858924744331423,0.010724682254188283,0.010724682254188283,0_0_0_10_14_32,-23.0,42,256,0,0.05
4,1,4096,0.0029695307916020766,0.009664664949135355,0.01914181915554774,2,4096,0.019784436694651096,0.014932499095873294,0.014932499095873294,0_0_0_10_14_32,-23.0,43,256,0,0.05
4,1,4096,0.008701574638551559,0.00804247441071816,0.013622809656892443,2,4096,0.007347896013857682,0.012177080082896872,0.012177080082896872,0_0_0_10_14_32,-23.0,44,256,0,0.05
4,1,4096,0.003920409476077265,0.0054086595593351066,0.010477176694446049,2,4096,0.00321004514365606,0.01054599810134036,0.01054599810134036,0_0_0_10_14_32,-24.0,42,256,0,0.05
4,1,4096,0.00305278641730755,0.009645387249837193,0.01906023211274783,2,4096,0.019455195883931683,0.014773269558009571,0.014773269558009571,0_0_0_10_14_32,-24.0,43,256,0,0.05
4,1,4096,0.00863875735357599,0.008133447272727645,0.013875222806228391,2,4096,0.007235852817901736,0.011906566449164647,0.011906566449164647,0_0_0_10_14_32,-24.0,44,256,0,0.05
4,1,4096,0.0039011938277661493,0.005390918583947049,0.010519262849250696,2,4096,0.003309562729233079,0.010412670776686322,0.010412670776686322,0_0_0_10_14_32,-25.0,42,256,0,0.05
4,1,4096,0.0031278794063494615,0.009652959739117138,0.018999616350518146,2,4096,0.019192851993558326,0.014647683352781013,0.014647683352781013,0_0_0_10_14_32,-25.0,43,256,0,0.05
4,1,4096,0.00858298251264385,0.008211177073957649,0.014069079934048021,2,4096,0.007142684765540138,0.011687305147405503,0.011687305147405503,0_0_0_10_14_32,-25.0,44,256,0,0.05
4,1,4096,0.0038840485506050717,0.005378925487782015,0.01054800690116951,2,4096,0.0033893823031299524,0.010314417527950148,0.010314417527950148,0_0_0_10_14_32,-26.0,42,256,0,0.05
4,1,4096,0.0031954538764678376,0.009670006313544968,0.018955021251467634,2,4096,0.018983861075456486,0.014547968829542466,0.014547968829542466,0_0_0_10_14_32,-26.0,43,256,0,0.05
4,1,4096,0.00853346935631649,0.008276892312226782,0.014217091961513169,2,4096,0.007065002251314576,0.011509351107201577,0.011509351107201577,0_0_0_10_14_32,-26.0,44,256,0,0.05
