method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,training_dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,25,0.35714285714285715,0,0,0.23737490001076367,3.391070000153767,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,22,0.3142857142857143,3,0,0.10458789998665452,1.4941128569522075,14,0.2,15,0.21428571428571427,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,25,0.35714285714285715,0,0,0.10453680001228349,1.4933828573183356,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,23,0.32857142857142857,3,1,0.1377899999897636,1.968428571282337,17,0.24285714285714285,18,0.2571428571428571,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,29,0.4142857142857143,0,0,0.13091900000654277,1.8702714286648967,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,25,0.35714285714285715,4,0,0.18019459999050014,2.5742085712928593,18,0.2571428571428571,19,0.2714285714285714,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,17,0.24285714285714285,0,0,0.0889060999834328,1.2700871426204685,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,2,0,0.11440639999273117,1.6343771427533025,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,21,0.3,0,0,0.10815329999968526,1.5450471428526467,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,16,0.22857142857142856,5,0,0.146315499991033,2.0902214284433285,18,0.2571428571428571,18,0.2571428571428571,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,22,0.3142857142857143,0,0,0.09446570001819055,1.349510000259865,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,21,0.3,3,2,0.14151899999342277,2.0216999999060397,20,0.2857142857142857,20,0.2857142857142857,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,21,0.3,0,0,0.09531729999434901,1.361675714204986,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,18,0.2571428571428571,3,0,0.11948910000864998,1.706987142980714,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,23,0.32857142857142857,0,0,0.09967470000265166,1.4239242857521666,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,3,0,0.11188780000884435,1.5983971429834907,14,0.2,14,0.2,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,24,0.34285714285714286,0,0,0.10059690000707633,1.4370985715296618,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,4,0,0.13254779999988386,1.8935399999983409,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
