method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,25,0.35714285714285715,0,0,0.3392031000003044,4.84575857143292,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,23,0.32857142857142857,4,2,0.9552314999928058,13.64616428561151,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,22,0.3142857142857143,4,1,0.9574770999970497,13.678244285672138,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,22,0.3142857142857143,5,2,0.9804771000090113,14.006815714414447,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,21,0.3,0,0,0.15852820001600776,2.2646885716572536,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,18,0.2571428571428571,3,0,0.9354193000108353,13.363132857297646,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,15,0.21428571428571427,6,0,0.9419544999982463,13.456492857117805,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,15,0.21428571428571427,6,0,0.9621930999928736,13.74561571418391,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,23,0.32857142857142857,0,0,0.15198820001023705,2.1712600001462437,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,19,0.2714285714285714,4,0,0.8531083000088984,12.187261428698548,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,19,0.2714285714285714,4,0,0.8608186999845202,12.29740999977886,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,19,0.2714285714285714,4,0,0.8800722999767459,12.572461428239226,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
