sf,n_bins,symbol,os_factor,sample_rate_hz,pair_separation_bins,expected_separation_bins,primary_amplitude,expected_primary_amplitude,secondary_amplitude,expected_secondary_amplitude,primary_amplitude_error,secondary_amplitude_error,wrap_ratio_error
10,1024,0,8,1000000.0,1024,1024,90.5096664428711,90.50966799187808,7.53241025108764e-08,0.0,1.549006981349521e-06,7.53241025108764e-08,8.322215139244804e-10
10,1024,0,4,500000.0,1024,1024,64.0,64.0,1.0264172800589222e-07,0.0,0.0,1.0264172800589222e-07,1.6037771111143684e-09
10,1024,0,2,250000.0,1024,1024,45.25483322143555,45.25483399593904,1.4515731550091004e-07,0.0,7.745034906747605e-07,1.4515731550091004e-07,3.2075538891618294e-09
10,1024,0,1,125000.0,0,0,32.0,32.0,32.0,32.0,0.0,0.0,0.0
10,1024,1,8,1000000.0,1024,1024,90.42127990722656,90.42127964422976,0.08838827162981033,0.08838834764831843,2.6299680655483826e-07,7.601850809946242e-08,8.419112074165014e-10
10,1024,1,4,500000.0,1024,1024,63.9375,63.9375,0.062499918043613434,0.0625,0.0,8.195638656616211e-08,1.2793179848813452e-09
10,1024,1,2,250000.0,1024,1024,45.21063995361328,45.21063982211488,0.0441940501332283,0.044194173824159216,1.3149840327741913e-07,1.2369093091435523e-07,2.7333777463667275e-09
10,1024,1,1,125000.0,0,0,32.0,32.0,32.0,32.0,0.0,0.0,0.0
10,1024,128,8,1000000.0,1024,1024,79.19596099853516,79.19595949289332,11.313708305358887,11.31370849898476,1.5056418334324917e-06,1.9362587266869014e-07,3.951266869250958e-09
10,1024,128,4,500000.0,1024,1024,56.0,56.0,8.0,8.0,0.0,0.0,0.0
10,1024,128,2,250000.0,1024,1024,39.59798049926758,39.59797974644666,5.656854152679443,5.65685424949238,7.528209167162458e-07,9.681293633434507e-08,3.951266869250958e-09
10,1024,128,1,125000.0,0,0,32.0,32.0,32.0,32.0,0.0,0.0,0.0
10,1024,512,8,1000000.0,1024,1024,45.25483322143555,45.25483399593904,45.25483322143555,45.25483399593904,7.745034906747605e-07,7.745034906747605e-07,0.0
10,1024,512,4,500000.0,1024,1024,32.0,32.0,32.0,32.0,0.0,0.0,0.0
10,1024,512,2,250000.0,1024,1024,22.627416610717773,22.62741699796952,22.627416610717773,22.62741699796952,3.8725174533738027e-07,3.8725174533738027e-07,0.0
10,1024,512,1,125000.0,0,0,32.0,32.0,32.0,32.0,0.0,0.0,0.0
10,1024,1023,8,1000000.0,1024,1024,0.08838827162981033,0.08838834764831843,90.42127990722656,90.42127964422976,7.601850809946242e-08,2.6299680655483826e-07,8.419112082838631e-10
10,1024,1023,4,500000.0,1024,1024,0.062499918043613434,0.0625,63.9375,63.9375,8.195638656616211e-08,0.0,1.2793179865076484e-09
10,1024,1023,2,250000.0,1024,1024,0.0441940501332283,0.044194173824159216,45.21063995361328,45.21063982211488,1.2369093091435523e-07,1.3149840327741913e-07,2.7333777290194927e-09
10,1024,1023,1,125000.0,0,0,32.0,32.0,32.0,32.0,0.0,0.0,0.0
