dataset,snr_db,seed,bank_kind,pattern_count,symbol_count,savaux_ser,savaux_mean_gt_rank,savaux_mean_gt_margin_db,savaux_mean_gt_floor_db,plain_coherent_ser,plain_coherent_mean_gt_rank,plain_coherent_mean_gt_margin_db,plain_coherent_mean_gt_floor_db,plain_coherent_fix_vs_savaux,plain_coherent_break_vs_savaux,plain_coherent_changes_vs_savaux,lora_coherent_ser,lora_coherent_mean_gt_rank,lora_coherent_mean_gt_margin_db,lora_coherent_mean_gt_floor_db,lora_coherent_fix_vs_savaux,lora_coherent_break_vs_savaux,lora_coherent_changes_vs_savaux,lora_mean_power_ser,lora_mean_power_mean_gt_rank,lora_mean_power_mean_gt_margin_db,lora_mean_power_mean_gt_floor_db,lora_mean_power_fix_vs_savaux,lora_mean_power_break_vs_savaux,lora_mean_power_changes_vs_savaux,lora_best_power_ser,lora_best_power_mean_gt_rank,lora_best_power_mean_gt_margin_db,lora_best_power_mean_gt_floor_db,lora_best_power_fix_vs_savaux,lora_best_power_break_vs_savaux,lora_best_power_changes_vs_savaux,lora_stable_power_ser,lora_stable_power_mean_gt_rank,lora_stable_power_mean_gt_margin_db,lora_stable_power_mean_gt_floor_db,lora_stable_power_fix_vs_savaux,lora_stable_power_break_vs_savaux,lora_stable_power_changes_vs_savaux,lora_adaptive_gls_ser,lora_adaptive_gls_mean_gt_rank,lora_adaptive_gls_mean_gt_margin_db,lora_adaptive_gls_mean_gt_floor_db,lora_adaptive_gls_fix_vs_savaux,lora_adaptive_gls_break_vs_savaux,lora_adaptive_gls_changes_vs_savaux
0_0_0_10_14_16,-23.0,42,balanced_random_only_diverse16,16,70,0.014285714285714285,1.0142857142857142,3.2321200334281763,13.477897922551183,0.6285714285714286,117.52857142857142,-2.71301429544017,7.618727199659627,0,43,43,0.07142857142857142,1.1,2.5360898196967097,12.793562236996394,1,5,6,0.05714285714285714,1.0714285714285714,1.907078626899218,6.843947687446242,1,4,5,0.5571428571428572,4.957142857142857,-0.11680447996541231,5.155110630187381,0,38,39,0.014285714285714285,1.0142857142857142,3.8619427957101573,19.50647817378728,0,0,0,0.08571428571428572,1.1142857142857143,2.494370829821587,12.855055456426749,1,6,7
0_0_0_10_14_16,-24.0,42,balanced_random_only_diverse16,16,70,0.11428571428571428,1.2142857142857142,2.242647102908447,12.490597466897784,0.7142857142857143,133.34285714285716,-3.3886231458184684,6.927004020086407,0,42,49,0.15714285714285714,1.7142857142857142,1.543141718855482,11.802416426516197,0,3,9,0.21428571428571427,1.6857142857142857,1.092935168625408,6.030052944113212,0,7,13,0.7,12.314285714285715,-0.7012274467175402,4.571298299112157,1,42,49,0.11428571428571428,1.2714285714285714,2.6960898962448105,18.333417901982006,0,0,3,0.18571428571428572,1.8285714285714285,1.4997462027516364,11.862876466152187,0,5,11
0_0_0_10_14_16,-25.0,42,balanced_random_only_diverse16,16,70,0.22857142857142856,2.6857142857142855,1.2552634065281538,11.503273165115502,0.8,152.4142857142857,-4.07257702060345,6.227321724437886,2,42,57,0.37142857142857144,4.242857142857143,0.5512051296579784,10.81020422377181,2,12,22,0.42857142857142855,4.914285714285715,0.3191492501372575,5.257056576056312,2,16,27,0.8285714285714286,26.6,-1.2549902060382092,4.01911516331339,0,42,57,0.24285714285714285,2.8,1.4927352620001224,17.125719530898298,2,3,9,0.38571428571428573,4.828571428571428,0.4998309184726389,10.860527153974079,1,12,23
