packet_index,payload_symbol_index,gt_bin,bank_kind,pattern_count,savaux_selected_bin,savaux_ok,savaux_gt_rank,savaux_gt_power,savaux_gt_margin_db,savaux_gt_floor_db,plain_coherent_selected_bin,plain_coherent_ok,plain_coherent_gt_rank,plain_coherent_gt_power,plain_coherent_gt_margin_db,plain_coherent_gt_floor_db,lora_coherent_selected_bin,lora_coherent_ok,lora_coherent_gt_rank,lora_coherent_gt_power,lora_coherent_gt_margin_db,lora_coherent_gt_floor_db,lora_mean_power_selected_bin,lora_mean_power_ok,lora_mean_power_gt_rank,lora_mean_power_gt_power,lora_mean_power_gt_margin_db,lora_mean_power_gt_floor_db,lora_best_power_selected_bin,lora_best_power_ok,lora_best_power_gt_rank,lora_best_power_gt_power,lora_best_power_gt_margin_db,lora_best_power_gt_floor_db,lora_stable_power_selected_bin,lora_stable_power_ok,lora_stable_power_gt_rank,lora_stable_power_gt_power,lora_stable_power_gt_margin_db,lora_stable_power_gt_floor_db,lora_adaptive_gls_selected_bin,lora_adaptive_gls_ok,lora_adaptive_gls_gt_rank,lora_adaptive_gls_gt_power,lora_adaptive_gls_gt_margin_db,lora_adaptive_gls_gt_floor_db,dataset,snr_db,seed
1,0,222,balanced_random_only_diverse16,16,222,True,1,0.5722934310218228,1.2924155971619369,11.892079147395865,222,True,1,0.046663665600908545,2.501828452785586,12.674527711363341,222,True,1,0.04630103798840181,2.1386528049930846,12.217661874341466,222,True,1,0.051433623233935986,1.2421776585982152,6.291406019040899,71,False,7,0.1019421859644541,-0.9086327693616059,4.16338051477782,222,True,1,0.5151840026850558,2.1531017523975207,18.01374125717112,222,True,1,12.735808991913615,1.9166041016778594,12.502244910896078,0_0_0_10_14_16,-23.0,42
1,1,826,balanced_random_only_diverse16,16,826,True,1,0.9753559354834671,4.254797700107293,14.24853722212015,673,False,2,0.028999740428634437,-0.07712933127139052,10.385602847151873,826,True,1,0.05734717815268076,3.2631646997880663,13.36420980926577,826,True,1,0.06483547004960466,2.681359092814976,7.188973396715142,606,False,2,0.13978421309044659,-0.19496975909071293,5.486246375965733,826,True,1,0.8627054072662816,5.79208568701538,20.284965962161863,826,True,1,15.270724191171457,3.3051980252622966,13.544963431794205,0_0_0_10_14_16,-23.0,42
1,2,922,balanced_random_only_diverse16,16,922,True,1,1.0583016723308134,4.948179297791164,14.894987994044573,922,True,1,0.0787543540160929,4.4942412374468805,14.533095151240442,922,True,1,0.06916570007766246,4.903482047491077,14.273912621221491,922,True,1,0.07624074161088557,3.559017103148805,8.0037175688793,922,True,1,0.16016346666846146,0.7188948109091666,6.207919850426855,922,True,1,0.9600926553640776,6.228549435150644,21.59809940168133,922,True,1,19.391029698205912,5.002183143799765,14.552302377276995,0_0_0_10_14_16,-23.0,42
1,3,718,balanced_random_only_diverse16,16,718,True,1,0.4787228262404284,1.8189102849722767,11.12289510249215,748,False,166,0.006578473186627168,-5.908854047406454,4.187406555538977,718,True,1,0.03833929263612494,2.380625451296618,11.771932407380557,718,True,1,0.045790726438884564,0.9604816737887885,5.732204698991406,67,False,4,0.11337639570015638,-1.9402351235989599,4.61910283370511,718,True,1,0.40082121324982556,2.59168646775844,17.286652238900263,718,True,1,10.5410271325408,2.0633734972044744,11.811090275550741,0_0_0_10_14_16,-23.0,42
1,4,107,balanced_random_only_diverse16,16,107,True,1,0.6068017874939393,1.8753892245949682,12.451020061118726,107,True,1,0.027762189049570306,0.4652485745488865,10.30719339169341,107,True,1,0.031410250928272154,1.3458101463135617,11.150319005174866,107,True,1,0.041975833984310845,0.8724786805466777,5.490062298294691,1013,False,13,0.0879766509587662,-1.3920388995308066,3.6104990717207186,107,True,1,0.4540659374637469,2.223847809478668,18.01474271750172,107,True,1,9.508390562379509,1.3359691677953112,11.303201295523426,0_0_0_10_14_16,-23.0,42
1,5,468,balanced_random_only_diverse16,16,468,True,1,1.2275166875554078,5.320076930316775,15.569230182193632,971,False,23,0.014293855671671431,-3.2803980011831673,7.481501569152364,468,True,1,0.10215677939445647,5.599628467369612,16.15598533870504,468,True,1,0.10668288737975393,4.948266100930113,9.506212386246032,468,True,1,0.18801018243583353,1.7350883990449466,6.934860867973292,468,True,1,1.1754382969335506,5.971439296756276,22.249656513573566,468,True,1,29.11744264320638,5.372175844196537,16.221753569132197,0_0_0_10_14_16,-23.0,42
1,6,89,balanced_random_only_diverse16,16,89,True,1,0.909449909710375,2.9273038608813398,13.486355627937414,89,True,1,0.04446423074349612,2.082470754504417,12.262374813214814,89,True,1,0.05489411122681241,2.140217041154793,12.933971712533177,89,True,1,0.06370027437899696,2.0352128192770067,7.053571740083272,382,False,4,0.12550404959468378,-0.27374816004595826,4.97018623508494,89,True,1,0.7837241673689936,2.9675992495412133,19.362137363271835,89,True,1,14.827622532713814,2.365384718446931,13.308420313830338,0_0_0_10_14_16,-23.0,42
1,7,713,balanced_random_only_diverse16,16,713,True,1,0.6790354310871329,2.366318948175466,12.892643751379788,998,False,3,0.027592623948128246,-0.9160482285808697,10.286397821233063,713,True,1,0.06056422436206819,2.2390269601864765,13.807235924521663,713,True,1,0.06956570717252081,1.6227977679690733,7.631694846226784,713,True,1,0.13830252634960685,0.9774171226640144,5.578741713459059,713,True,1,0.5911713668944018,2.982548140392869,19.083287853593095,713,True,1,16.65907032107713,1.5016699274941119,13.708437485443595,0_0_0_10_14_16,-23.0,42
1,8,865,balanced_random_only_diverse16,16,865,True,1,0.5745089962638907,2.071357288798265,12.269821146889157,265,False,4,0.01911849398384353,-0.9186112767065624,8.764459121646887,865,True,1,0.04043597410553788,2.019244554349298,12.056645556272956,865,True,1,0.0451294651770016,0.821325195224873,5.736369358082415,967,False,8,0.09435184483051721,-0.5978649418230236,3.8513113231218306,865,True,1,0.514759720843399,3.3727486338068435,18.689684693549097,865,True,1,11.170069203362397,2.0402395703209404,12.100461352654923,0_0_0_10_14_16,-23.0,42
1,9,492,balanced_random_only_diverse16,16,492,True,1,0.5786349994089655,0.7731553538151738,12.243054031646487,167,False,523,0.002452221277906241,-10.112671729779215,-0.11949688999696582,740,False,3,0.02718476548676628,-0.9633281234606761,10.580098634494302,740,False,3,0.037668195132669766,-0.9740469395702187,4.961558035954788,492,True,1,0.1424504480105283,0.8945608528844438,5.655150747319371,492,True,1,0.41759518092028614,0.7838741699247166,17.86921794046486,740,False,2,7.8796581691188,-1.1257508392038318,10.617760511374048,0_0_0_10_14_16,-23.0,42
