dataset,snr_db,seed,packet_count,symbol_count,bank_kind,pattern_count,covariance_source,noise_mode,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas,offpacket_windows,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_16,-23.0,42,2,70,balanced_random_only_diverse16,16,offpacket,offpacket_bootstrap,3.436469045328458,3.7568159487499226,3.8345445119868575,128,0.8857142857142857,10.342857142857142,0.35714285714285715,0.4,0.3142857142857143,0.35714285714285715,0.34285714285714286,0.34285714285714286,0.32857142857142857,0.3142857142857143,0.34285714285714286,0.34285714285714286,0.34285714285714286,3,6,23,4,1,15,1,1,12,2,1,15,1,0,5,3,1,13,4,1,15,1,0,5,1,0,2,2,1,10
0_0_0_10_14_16,-24.0,42,2,70,balanced_random_only_diverse16,16,offpacket,offpacket_bootstrap,3.436469045328458,3.756576622757892,3.8344961629692333,128,0.8285714285714286,18.02857142857143,0.35714285714285715,0.4142857142857143,0.38571428571428573,0.35714285714285715,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.38571428571428573,0.37142857142857144,0.35714285714285715,0.37142857142857144,2,6,23,0,2,14,1,1,12,1,2,16,0,1,5,0,1,10,0,2,14,0,1,5,0,0,2,0,1,8
0_0_0_10_14_16,-25.0,42,2,70,balanced_random_only_diverse16,16,offpacket,offpacket_bootstrap,3.436469045328458,3.7563695047281667,3.8344701767263842,128,0.7428571428571429,29.857142857142854,0.4142857142857143,0.4714285714285714,0.4,0.4142857142857143,0.4142857142857143,0.4142857142857143,0.4142857142857143,0.4,0.4142857142857143,0.4142857142857143,0.4142857142857143,0,4,24,1,0,16,0,0,13,0,0,15,0,0,4,0,0,12,1,0,16,0,0,4,0,0,2,0,0,9
