packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,selected_raw_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,trajectory_score,line_score,mean_phase_score,mean_amp_score,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,beam_final_size,error,payload_hex,crc_valid,crc_computed,crc_received,decoded_payload_len,decode_error
0,0,0,33,1,1,0,35,35,0.17142857142857143,0.17142857142857143,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9953478025225037,0.7896908831791669,0.9767390126125182,1.0,-0.05381734773187145,0.9126235892014216,0.1457745956907253,26,1,,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x1364,0x1364,33,
1,1,1,33,1,1,0,35,35,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9978431991675348,0.8444009174902233,0.9892159958376738,1.0,-0.04055578074832228,0.8929513975534726,0.1233754792512738,26,1,,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xdb49,0xdb49,33,
2,2,2,33,1,1,0,35,35,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9790846168587419,0.7900410083996604,0.8954230842937091,1.0,-0.043984790666630316,0.8867743039575656,0.1456376953097961,26,1,,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x9efd,0x9efd,33,
3,3,3,33,1,1,0,35,35,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,33,2,0.9428571428571428,0,33,0.0,2,2,1.0,0.9957465400906589,0.8047466953850738,0.9787327004532942,1.0,-0.04541031409280968,0.8913367384944865,0.13982308238583935,26,1,,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x5021,0x5021,33,
4,4,4,33,1,1,0,35,35,0.22857142857142856,0.22857142857142856,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9403304685575626,0.8550719144019464,0.701652342787813,1.0,-0.042913227875282504,0.9093177359081388,0.11870666908549969,26,1,,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x1595,0x1595,33,
5,5,5,33,1,1,0,35,35,0.6857142857142857,0.6857142857142857,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.4285714285714286,0.0,12,23,0.34285714285714286,0,12,0.0,20,23,0.8695652173913043,0.8920203040399655,0.014898680555035942,0.4922144957535105,0.9919717561115791,0.07979248223788188,0.666988993191491,0.615291342452873,26,12,,4044198ab12a8888c8a031733310331017181938393c3d3e3f4041424269463412,0,0x9044,0xd0d2,33,
6,6,6,33,1,1,0,35,35,0.6571428571428571,0.6571428571428571,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.6,0.0,13,22,0.37142857142857144,0,13,0.0,21,22,0.9545454545454546,0.910334998371561,0.1509523749197078,0.5516749918578047,1.0,-0.08474752912529393,0.8011456261723445,0.41251809667195005,26,1,,4044332211001900583031323bbc37bc3738393a3b3c3d3e3f4041424378563412,0,0x6bf9,0x95ee,33,
7,7,7,33,1,1,0,35,35,0.5714285714285714,0.5714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.5428571428571428,0.0,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.9264292154127785,0.03579873274951725,0.632146077063892,1.0,-0.020991211822359364,0.13929675407500774,0.5474357045200986,26,1,,4044332211001a0058303132333435363738393a3b3c3d3e3f406142417a563612,0,0x5984,0x5b32,33,
8,8,8,33,1,1,0,35,35,0.5428571428571428,0.5428571428571428,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.4571428571428571,0.0,21,14,0.6,0,21,0.0,14,14,1.0,0.9192471402804279,0.2490272294867256,0.6093422106386674,0.9967233726908679,-0.13788559168551992,0.9369923413575499,0.35371934210827716,26,2,,4044332211000b1048203032333435363738393a3b3c3d3e3f406160437a763612,0,0x8f45,0x1e86,33,
9,9,9,33,1,1,0,35,35,0.45714285714285713,0.45714285714285713,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.42857142857142855,0.0,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.8975430257572915,0.012156981028762327,0.48771512878645723,1.0,-0.10164474614607565,0.7015149189705285,0.6299894073344753,26,1,,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xd6ab,0xd6ab,33,
