packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,selected_raw_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,trajectory_score,line_score,mean_phase_score,mean_amp_score,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,beam_final_size,error,payload_hex,crc_valid,crc_computed,crc_received,decoded_payload_len,decode_error
0,0,0,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.2,0.2,0.17142857142857143,0.17142857142857143,0.45714285714285713,0.02857142857142858,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.9424121656733562,0.5224029407925498,0.7521634540035625,0.9899743435908045,-0.1409939593968792,0.9741827266112554,0.24174045265171057,26,12,,400477665500130058303162777470773330b13ab33435beb7c841424378563412,0,0x022a,0x1364,33,
1,1,1,33,1,1,0,35,35,0.7142857142857143,0.7142857142857143,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.6,0.0,15,20,0.42857142857142855,0,15,0.0,20,20,1.0,0.9468681518061057,0.6468502370678558,0.7343407590305283,1.0,0.019370654536017218,0.5071982845788372,0.1980092007231426,26,1,,404433221100140158303132777471763738393a3b3c3d3e3f4041424378563412,0,0x291a,0xdb49,33,
2,2,2,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.5428571428571428,0.0,20,15,0.5714285714285714,0,20,0.0,15,15,1.0,0.961488583035227,0.7580804374972727,0.8273624172551902,0.9950201244802361,-0.05102794058425647,0.891303249797692,0.15788261551217347,26,4,,406431201302050049302132333435363738393a3b7c797a7f4045424378563412,0,0xabd9,0x9efd,33,
3,3,3,33,1,1,0,35,35,0.6571428571428571,0.6571428571428571,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.5714285714285714,0.0,22,13,0.6285714285714286,1,22,0.045454545454545456,12,13,0.9230769230769231,0.972969730482463,0.7474402164435227,0.8648486524123148,1.0,-0.04780076062787538,0.8756862647613662,0.1618613170049949,26,1,,40443322110016007830313233343536b7383132333c3d3e3f4041424378563412,0,0xd6a3,0x5021,33,
4,4,4,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6857142857142857,0.0,12,23,0.34285714285714286,0,12,0.0,22,23,0.9565217391304348,0.9656628434263647,0.8404227056788698,0.8759110539468833,0.9881007907962349,-0.04553610835144311,0.9216115321356276,0.12508607572570912,26,24,,40442262404453603c701130333435363738393a3b1c1d3c3f6041424378563412,0,0xa293,0x1595,33,
5,5,5,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.1428571428571428,0.0,1,34,0.02857142857142857,0,1,0.0,18,34,0.5294117647058824,0.8852477703216967,0.0005688402798131316,0.42623885160848324,1.0,0.11481939301844754,0.6393786130334369,0.8200438878439827,26,1,,401419cab46becaa8ec433e53a983b091e18193839b49fbc3fca438f9b3ccfbd1c,0,0x42fb,0xb613,33,
6,6,6,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.4,0.0,4,31,0.11428571428571428,0,4,0.0,20,31,0.6451612903225806,0.9005900852470752,0.038996028722259254,0.5029504262353759,1.0,-0.13732124464667755,0.8658921893144331,0.5403578369103652,26,1,,4054622605401988d830396a3efd37bd3638292b3abcb5afb7d86046015c347087,0,0x3c75,0xcdf3,33,
7,7,7,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.42857142857142855,0.0,7,28,0.2,0,7,0.0,20,28,0.7142857142857143,0.9058933770436486,0.1788132921439847,0.5294668852182429,1.0,0.07968229386616792,0.8180650749696774,0.39360789757577996,26,1,,4064312231228a0048b0213333343536573b1b5a7b3e3e2f0e413102812b077752,0,0x4987,0x1b32,33,
8,8,8,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.4285714285714286,0.0,2,33,0.05714285714285714,0,2,0.0,22,33,0.6666666666666666,0.906249867290822,0.021672781308186992,0.53124933645411,1.0,-0.06486380485256764,0.5701889562147205,0.5872417143741565,26,1,,40c43ba833020b51c8b43cfb7730f9323738393a3b1c2d1e3e4161e043faf6b612,0,0x3025,0x1e26,33,
9,9,9,33,1,1,0,35,35,0.8,0.8,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3714285714285715,0.0,4,31,0.11428571428571428,0,4,0.0,25,31,0.8064516129032258,0.8973150082218041,0.01643236800435829,0.48657504110902017,1.0,-0.2231637393272383,0.9298578882643669,0.6080832185983888,26,1,,4044336615441810c838b97322203126321a1b18192e3c2f0f5263c04bdafe3430,0,0xed9a,0xc6b9,33,
