dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux
0_0_0_10_14_8,-25.0,1,1,35,0.9714285714285714,2.6285714285714286,0.2,0.6285714285714286,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.22857142857142856,0.2,0.2,0.2,1,16,22,1,3,5,1,3,4,1,3,4,0,1,1,1,1,2,0,0,0,0,0,0
0_0_0_10_14_8,-26.0,1,1,35,0.9142857142857143,7.942857142857143,0.3142857142857143,0.7428571428571429,0.37142857142857144,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.3142857142857143,0.34285714285714286,0.34285714285714286,0,15,24,2,4,9,1,2,5,1,2,5,0,1,2,1,1,4,0,1,1,0,1,1
0_0_0_10_14_8,-25.0,2,1,35,0.9714285714285714,2.342857142857143,0.22857142857142856,0.7714285714285715,0.3142857142857143,0.2857142857142857,0.34285714285714286,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571,0,19,24,1,4,8,1,3,7,1,5,9,0,1,2,1,2,5,0,1,1,0,1,1
0_0_0_10_14_8,-26.0,2,1,35,0.9428571428571428,6.4,0.4,0.8,0.45714285714285713,0.4857142857142857,0.45714285714285713,0.4857142857142857,0.4,0.4,0.4,0,14,22,2,4,11,2,5,13,3,5,13,0,3,5,2,2,7,0,0,1,0,0,0
0_0_0_10_14_8,-25.0,42,1,35,0.9714285714285714,2.142857142857143,0.22857142857142856,0.45714285714285713,0.3142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2571428571428571,0.2571428571428571,0.2571428571428571,0,8,15,1,4,9,1,3,8,1,3,8,0,2,2,1,2,6,0,1,1,0,1,1
0_0_0_10_14_8,-26.0,42,1,35,0.8857142857142857,6.171428571428572,0.4,0.5714285714285714,0.45714285714285713,0.4,0.4,0.37142857142857144,0.34285714285714286,0.37142857142857144,0.37142857142857144,1,7,20,3,5,14,3,3,12,3,3,11,1,0,1,2,0,7,1,0,1,1,0,1
0_0_0_10_14_16,-25.0,1,1,35,1.0,1.2,0.14285714285714285,0.6285714285714286,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.14285714285714285,0.17142857142857143,0.14285714285714285,0.14285714285714285,0,17,21,1,4,8,1,4,6,1,4,6,1,1,2,1,2,4,0,0,0,0,0,0
0_0_0_10_14_16,-26.0,1,1,35,1.0,2.3714285714285714,0.37142857142857144,0.7428571428571429,0.37142857142857144,0.2857142857142857,0.3142857142857143,0.34285714285714286,0.34285714285714286,0.37142857142857144,0.37142857142857144,0,13,24,2,2,9,3,0,6,3,1,8,1,0,3,1,0,4,0,0,0,0,0,0
0_0_0_10_14_16,-25.0,2,1,35,0.9428571428571428,2.6,0.2571428571428571,0.5714285714285714,0.4,0.37142857142857144,0.34285714285714286,0.2857142857142857,0.34285714285714286,0.2571428571428571,0.2571428571428571,0,11,19,0,5,9,0,4,7,1,4,8,0,1,3,0,3,5,0,0,0,0,0,0
0_0_0_10_14_16,-26.0,2,1,35,0.9142857142857143,6.685714285714286,0.45714285714285713,0.6857142857142857,0.6,0.5714285714285714,0.5428571428571428,0.4857142857142857,0.4857142857142857,0.45714285714285713,0.45714285714285713,2,10,25,1,6,16,0,4,12,0,3,10,0,1,6,0,1,6,0,0,1,0,0,0
0_0_0_10_14_16,-25.0,42,1,35,0.9428571428571428,3.5428571428571427,0.2857142857142857,0.5714285714285714,0.37142857142857144,0.2857142857142857,0.3142857142857143,0.2571428571428571,0.34285714285714286,0.2857142857142857,0.2857142857142857,2,12,20,1,4,8,2,2,6,1,2,6,1,0,4,0,2,5,0,0,0,0,0,0
0_0_0_10_14_16,-26.0,42,1,35,0.8857142857142857,10.057142857142857,0.4857142857142857,0.7428571428571429,0.6,0.5714285714285714,0.5428571428571428,0.45714285714285713,0.5428571428571428,0.4857142857142857,0.4857142857142857,0,9,23,0,4,11,1,4,13,2,4,13,1,0,7,0,2,8,0,0,1,0,0,0
0_0_0_10_14_32,-25.0,1,1,35,0.4857142857142857,70.74285714285715,0.8285714285714286,0.9428571428571428,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8,0.8,0.8285714285714286,0.8285714285714286,1,5,26,1,2,14,1,2,12,1,2,12,1,0,4,1,0,6,0,0,1,0,0,1
0_0_0_10_14_32,-26.0,1,1,35,0.3142857142857143,107.77142857142857,0.8571428571428571,0.9714285714285714,0.8857142857142857,0.8571428571428571,0.8571428571428571,0.8857142857142857,0.8857142857142857,0.8571428571428571,0.8857142857142857,0,4,25,1,2,15,2,2,13,2,2,13,1,2,6,1,2,8,1,1,3,0,1,2
0_0_0_10_14_32,-25.0,2,1,35,0.5714285714285714,35.91428571428571,0.8,0.9714285714285714,0.8571428571428571,0.8285714285714286,0.8,0.7714285714285715,0.8285714285714286,0.8,0.8,0,6,31,0,2,11,1,2,13,2,2,15,1,0,6,0,1,6,0,0,3,0,0,0
0_0_0_10_14_32,-26.0,2,1,35,0.45714285714285713,57.51428571428571,0.8857142857142857,0.9714285714285714,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.8571428571428571,0.8571428571428571,0.8857142857142857,0.8857142857142857,1,4,32,2,2,13,1,2,15,1,2,16,1,0,6,2,1,8,0,0,4,0,0,0
0_0_0_10_14_32,-25.0,42,1,35,0.4,124.71428571428571,0.8,0.9142857142857143,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.8,0.8857142857142857,0.8,0.8,1,5,29,0,4,24,0,3,22,0,3,21,0,0,6,0,3,16,0,0,2,0,0,0
0_0_0_10_14_32,-26.0,42,1,35,0.34285714285714286,170.4,0.8857142857142857,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8571428571428571,0.9142857142857143,0.8857142857142857,0.8857142857142857,1,4,31,0,1,22,0,1,22,0,1,21,2,1,9,0,1,15,1,1,4,0,0,0
