packet_index,event_index,success,total_payload,correct_count,pre_block_correct_count,pre_template_correct_count,block_code_search_enabled,payload_template_known,final_error_rate,initial_slope_pi,final_slope_pi,initial_line_r2,final_line_r2,preamble_anchors,header_anchors,header_method,header_rescue_score,header_rescue_visited,preamble_line_slope_pi,header_line_slope_pi,hough_line_slope_pi,hough_score,preamble_line_r2,header_line_r2,refinement_rounds,round0_acc,round1_acc,round2_acc,payload_len,gt_bins_available,reconstructed_payload_hex,reconstructed_unknown_bytes
1,1,1,35,25,0,0,0,25,0.2857,0.0274,0.0274,0.0753,0.0753,16,8,session_header_prior_forced,,,-0.0023,0.0274,0.0000,0.0000,-0.0335,0.0753,2,0.0000,0.0000,,33,35,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,0
2,2,1,35,25,0,0,0,25,0.2857,-0.0880,-0.0880,0.3625,0.3625,16,8,session_header_prior_forced,,,-0.0068,-0.0880,0.0000,0.0000,0.0619,0.3625,2,0.0000,0.0000,,33,35,404433221100050058303132333435363738393a3b3c3d3e3f4041424378563412,0
3,3,1,35,25,1,1,0,25,0.2857,0.0025,0.0025,0.0053,0.0053,16,8,session_header_prior_forced,,,-0.0073,0.0025,0.0000,0.0000,0.0712,0.0053,2,0.0286,0.0286,,33,35,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0
5,5,1,35,25,0,0,0,25,0.2857,-0.0899,-0.0899,0.4779,0.4779,16,8,session_header_prior_forced,,,-0.0155,-0.0899,0.0000,0.0000,0.0709,0.4779,2,0.0000,0.0000,,33,35,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,0
6,6,1,35,26,1,1,0,25,0.2571,-0.0446,-0.0446,0.1752,0.1752,16,8,session_header_prior_forced,,,-0.0082,-0.0446,0.0000,0.0000,0.0438,0.1752,2,0.0286,0.0286,,33,35,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,0
