dataset,snr_db,packet_count,symbol_count,symfec_crc_valid_count,savaux_oversampled_err,loratrimmer_err,symfec_err,unichirp_err,phaseline_one_order_dp_err,phaseline_island_dp_err,savaux_oversampled_ser,loratrimmer_ser,symfec_ser,unichirp_ser,phaseline_one_order_dp_ser,phaseline_island_dp_ser,symfec_crc_valid_rate
0_0_0_10_14_32,-25.0,35,1225,30,68,78,142,158,67,61,0.05551020408163265,0.0636734693877551,0.11591836734693878,0.12897959183673469,0.054693877551020405,0.04979591836734694,0.8571428571428571
0_0_0_10_14_32,-25.5,35,1225,30,78,93,145,170,78,74,0.0636734693877551,0.07591836734693877,0.11836734693877551,0.13877551020408163,0.0636734693877551,0.060408163265306125,0.8571428571428571
0_0_0_10_14_32,-26.0,35,1225,30,93,99,148,179,93,89,0.07591836734693877,0.08081632653061224,0.12081632653061225,0.14612244897959184,0.07591836734693877,0.07265306122448979,0.8571428571428571
0_0_0_10_14_32,-26.5,35,1225,30,102,108,151,197,99,95,0.08326530612244898,0.08816326530612245,0.12326530612244897,0.16081632653061226,0.08081632653061224,0.07755102040816327,0.8571428571428571
0_0_0_10_14_32,-27.0,35,1225,30,109,122,157,207,106,103,0.08897959183673469,0.09959183673469388,0.12816326530612246,0.1689795918367347,0.08653061224489796,0.08408163265306122,0.8571428571428571
0_0_0_10_14_32,-27.5,35,1225,30,119,127,165,230,113,110,0.09714285714285714,0.1036734693877551,0.1346938775510204,0.18775510204081633,0.09224489795918367,0.08979591836734693,0.8571428571428571
0_0_0_10_14_32,-28.0,35,1225,30,127,138,171,234,127,121,0.1036734693877551,0.1126530612244898,0.13959183673469389,0.1910204081632653,0.1036734693877551,0.09877551020408164,0.8571428571428571
0_0_0_10_14_32,-28.5,35,1225,30,138,148,171,243,134,133,0.1126530612244898,0.12081632653061225,0.13959183673469389,0.1983673469387755,0.10938775510204081,0.10857142857142857,0.8571428571428571
0_0_0_10_14_32,-29.0,35,1225,22,143,156,193,251,141,141,0.11673469387755102,0.1273469387755102,0.15755102040816327,0.20489795918367346,0.11510204081632654,0.11510204081632654,0.6285714285714286
