dataset,snr_db,seed,savaux_oversampled_err,loratrimmer_err,symfec_err,unichirp_err,phaseline_one_order_dp_err,phaseline_island_dp_err,symbol_count,packet_count,symfec_crc_valid_count,savaux_oversampled_ser,loratrimmer_ser,symfec_ser,unichirp_ser,phaseline_one_order_dp_ser,phaseline_island_dp_ser
0_0_0_10_14_32,-25.0,42,15,15,29,23,13,11,245,7,6,0.061224489795918366,0.061224489795918366,0.11836734693877551,0.09387755102040816,0.053061224489795916,0.044897959183673466
0_0_0_10_14_32,-25.5,42,16,18,29,25,14,13,245,7,6,0.0653061224489796,0.07346938775510205,0.11836734693877551,0.10204081632653061,0.05714285714285714,0.053061224489795916
0_0_0_10_14_32,-26.0,42,19,19,29,26,21,18,245,7,6,0.07755102040816327,0.07755102040816327,0.11836734693877551,0.10612244897959183,0.08571428571428572,0.07346938775510205
0_0_0_10_14_32,-26.5,42,22,20,31,28,21,19,245,7,6,0.08979591836734693,0.08163265306122448,0.12653061224489795,0.11428571428571428,0.08571428571428572,0.07755102040816327
0_0_0_10_14_32,-27.0,42,22,23,32,32,22,21,245,7,6,0.08979591836734693,0.09387755102040816,0.1306122448979592,0.1306122448979592,0.08979591836734693,0.08571428571428572
0_0_0_10_14_32,-27.5,42,24,24,34,36,23,22,245,7,6,0.09795918367346938,0.09795918367346938,0.13877551020408163,0.1469387755102041,0.09387755102040816,0.08979591836734693
0_0_0_10_14_32,-28.0,42,26,26,35,37,26,24,245,7,6,0.10612244897959183,0.10612244897959183,0.14285714285714285,0.1510204081632653,0.10612244897959183,0.09795918367346938
0_0_0_10_14_32,-28.5,42,28,26,35,39,28,27,245,7,6,0.11428571428571428,0.10612244897959183,0.14285714285714285,0.15918367346938775,0.11428571428571428,0.11020408163265306
0_0_0_10_14_32,-29.0,42,28,28,38,41,28,28,245,7,5,0.11428571428571428,0.11428571428571428,0.15510204081632653,0.1673469387755102,0.11428571428571428,0.11428571428571428
0_0_0_10_14_32,-25.0,43,12,15,28,34,12,11,245,7,6,0.04897959183673469,0.061224489795918366,0.11428571428571428,0.13877551020408163,0.04897959183673469,0.044897959183673466
0_0_0_10_14_32,-25.5,43,15,18,29,36,16,15,245,7,6,0.061224489795918366,0.07346938775510205,0.11836734693877551,0.1469387755102041,0.0653061224489796,0.061224489795918366
0_0_0_10_14_32,-26.0,43,18,19,32,36,20,19,245,7,6,0.07346938775510205,0.07755102040816327,0.1306122448979592,0.1469387755102041,0.08163265306122448,0.07755102040816327
0_0_0_10_14_32,-26.5,43,20,21,31,39,20,19,245,7,6,0.08163265306122448,0.08571428571428572,0.12653061224489795,0.15918367346938775,0.08163265306122448,0.07755102040816327
