dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,SER<=10%,-21.26388888888889,-18.03846153846154,3.225427350427349,ok
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,accuracy>=90%,-21.26388888888889,-18.038461538461537,3.2254273504273527,ok
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,CRC/PRR>=90%,-19.366666666666667,-15.033333333333333,4.333333333333334,ok
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,CRC/PRR>=80%,-19.733333333333334,-15.4,4.333333333333334,ok
0_0_0_10_14_16,multi_offset_argmax,traditional_fft,CRC/PRR>=50%,-20.625,-16.5,4.125,ok
0_0_0_10_14_16,current_selected,traditional_fft,SER<=10%,-22.544117647058822,-18.03846153846154,4.505656108597282,ok
0_0_0_10_14_16,current_selected,traditional_fft,accuracy>=90%,-22.544117647058822,-18.038461538461537,4.505656108597286,ok
0_0_0_10_14_16,current_selected,traditional_fft,CRC/PRR>=90%,-20.025,-15.033333333333333,4.991666666666665,ok
0_0_0_10_14_16,current_selected,traditional_fft,CRC/PRR>=80%,-20.3,-15.4,4.9,ok
0_0_0_10_14_16,current_selected,traditional_fft,CRC/PRR>=50%,-21.25,-16.5,4.75,ok
0_0_0_10_14_16,savaux_paper,traditional_fft,SER<=10%,-23.704545454545453,-18.03846153846154,5.666083916083913,ok
0_0_0_10_14_16,savaux_paper,traditional_fft,accuracy>=90%,-23.704545454545453,-18.038461538461537,5.666083916083917,ok
0_0_0_10_14_16,savaux_paper,traditional_fft,CRC/PRR>=90%,-21.275,-15.033333333333333,6.241666666666665,ok
0_0_0_10_14_16,savaux_paper,traditional_fft,CRC/PRR>=80%,-21.55,-15.4,6.15,ok
0_0_0_10_14_16,savaux_paper,traditional_fft,CRC/PRR>=50%,-22.3,-16.5,5.800000000000001,ok
0_0_0_10_14_16,savaux_paper,current_selected,SER<=10%,-23.704545454545453,-22.544117647058822,1.1604278074866308,ok
0_0_0_10_14_16,savaux_paper,current_selected,accuracy>=90%,-23.704545454545453,-22.544117647058822,1.1604278074866308,ok
0_0_0_10_14_16,savaux_paper,current_selected,CRC/PRR>=90%,-21.275,-20.025,1.25,ok
0_0_0_10_14_16,savaux_paper,current_selected,CRC/PRR>=80%,-21.55,-20.3,1.25,ok
0_0_0_10_14_16,savaux_paper,current_selected,CRC/PRR>=50%,-22.3,-21.25,1.0500000000000007,ok
0_0_0_10_14_32,multi_offset_argmax,traditional_fft,SER<=10%,-15.9375,-13.25,2.6875,ok
0_0_0_10_14_32,multi_offset_argmax,traditional_fft,accuracy>=90%,-15.9375,-13.25,2.6875,ok
0_0_0_10_14_32,multi_offset_argmax,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,multi_offset_argmax,traditional_fft,CRC/PRR>=80%,-19.2,-14.4,4.799999999999999,ok
0_0_0_10_14_32,multi_offset_argmax,traditional_fft,CRC/PRR>=50%,-20.25,-16.5,3.75,ok
0_0_0_10_14_32,current_selected,traditional_fft,SER<=10%,-17.9,-13.25,4.649999999999999,ok
0_0_0_10_14_32,current_selected,traditional_fft,accuracy>=90%,-17.9,-13.25,4.649999999999999,ok
0_0_0_10_14_32,current_selected,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,current_selected,traditional_fft,CRC/PRR>=80%,-21.1,-14.4,6.700000000000001,ok
0_0_0_10_14_32,current_selected,traditional_fft,CRC/PRR>=50%,-21.625,-16.5,5.125,ok
0_0_0_10_14_32,savaux_paper,traditional_fft,SER<=10%,-18.9375,-13.25,5.6875,ok
0_0_0_10_14_32,savaux_paper,traditional_fft,accuracy>=90%,-18.9375,-13.25,5.6875,ok
0_0_0_10_14_32,savaux_paper,traditional_fft,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,savaux_paper,traditional_fft,CRC/PRR>=80%,-21.4,-14.4,6.999999999999998,ok
0_0_0_10_14_32,savaux_paper,traditional_fft,CRC/PRR>=50%,-22.75,-16.5,6.25,ok
0_0_0_10_14_32,savaux_paper,current_selected,SER<=10%,-18.9375,-17.9,1.0375000000000014,ok
0_0_0_10_14_32,savaux_paper,current_selected,accuracy>=90%,-18.9375,-17.9,1.0375000000000014,ok
0_0_0_10_14_32,savaux_paper,current_selected,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,savaux_paper,current_selected,CRC/PRR>=80%,-21.4,-21.1,0.29999999999999716,ok
0_0_0_10_14_32,savaux_paper,current_selected,CRC/PRR>=50%,-22.75,-21.625,1.125,ok
0_0_0_10_14_8,multi_offset_argmax,traditional_fft,SER<=10%,-20.90909090909091,-17.956521739130434,2.9525691699604764,ok
0_0_0_10_14_8,multi_offset_argmax,traditional_fft,accuracy>=90%,-20.909090909090907,-17.956521739130434,2.952569169960473,ok
0_0_0_10_14_8,multi_offset_argmax,traditional_fft,CRC/PRR>=90%,-19.0,-15.0,4.0,ok
0_0_0_10_14_8,multi_offset_argmax,traditional_fft,CRC/PRR>=80%,-19.333333333333332,-16.0,3.333333333333332,ok
0_0_0_10_14_8,multi_offset_argmax,traditional_fft,CRC/PRR>=50%,-21.0,-17.333333333333332,3.666666666666668,ok
0_0_0_10_14_8,current_selected,traditional_fft,SER<=10%,-22.22222222222222,-17.956521739130434,4.265700483091788,ok
0_0_0_10_14_8,current_selected,traditional_fft,accuracy>=90%,-22.22222222222222,-17.956521739130434,4.265700483091788,ok
0_0_0_10_14_8,current_selected,traditional_fft,CRC/PRR>=90%,-20.2,-15.0,5.199999999999999,ok
0_0_0_10_14_8,current_selected,traditional_fft,CRC/PRR>=80%,-20.4,-16.0,4.399999999999999,ok
0_0_0_10_14_8,current_selected,traditional_fft,CRC/PRR>=50%,-21.0,-17.333333333333332,3.666666666666668,ok
0_0_0_10_14_8,savaux_paper,traditional_fft,SER<=10%,-23.548387096774192,-17.956521739130434,5.5918653576437585,ok
0_0_0_10_14_8,savaux_paper,traditional_fft,accuracy>=90%,-23.548387096774192,-17.956521739130434,5.5918653576437585,ok
0_0_0_10_14_8,savaux_paper,traditional_fft,CRC/PRR>=90%,-21.0,-15.0,6.0,ok
0_0_0_10_14_8,savaux_paper,traditional_fft,CRC/PRR>=80%,-21.333333333333332,-16.0,5.333333333333332,ok
0_0_0_10_14_8,savaux_paper,traditional_fft,CRC/PRR>=50%,-23.0,-17.333333333333332,5.666666666666668,ok
0_0_0_10_14_8,savaux_paper,current_selected,SER<=10%,-23.548387096774192,-22.22222222222222,1.3261648745519707,ok
0_0_0_10_14_8,savaux_paper,current_selected,accuracy>=90%,-23.548387096774192,-22.22222222222222,1.3261648745519707,ok
0_0_0_10_14_8,savaux_paper,current_selected,CRC/PRR>=90%,-21.0,-20.2,0.8000000000000007,ok
0_0_0_10_14_8,savaux_paper,current_selected,CRC/PRR>=80%,-21.333333333333332,-20.4,0.9333333333333336,ok
0_0_0_10_14_8,savaux_paper,current_selected,CRC/PRR>=50%,-23.0,-21.0,2.0,ok
mean_of_datasets,multi_offset_argmax,traditional_fft,SER<=10%,-20.658783783783782,-17.398494471888966,3.260289311894816,ok
mean_of_datasets,multi_offset_argmax,traditional_fft,accuracy>=90%,-20.658783783783782,-17.398494471888966,3.260289311894816,ok
mean_of_datasets,multi_offset_argmax,traditional_fft,CRC/PRR>=90%,-19.06656580937973,-14.470817120622568,4.59574868875716,ok
mean_of_datasets,multi_offset_argmax,traditional_fft,CRC/PRR>=80%,-19.416036308623298,-15.331010452961673,4.085025855661625,ok
mean_of_datasets,multi_offset_argmax,traditional_fft,CRC/PRR>=50%,-20.53206239168111,-16.721902017291065,3.810160374390044,ok
mean_of_datasets,current_selected,traditional_fft,SER<=10%,-21.915295551492992,-17.398494471888966,4.516801079604026,ok
mean_of_datasets,current_selected,traditional_fft,accuracy>=90%,-21.915295551492996,-17.398494471888966,4.516801079604029,ok
mean_of_datasets,current_selected,traditional_fft,CRC/PRR>=90%,-20.076691729323308,-14.470817120622568,5.60587460870074,ok
