packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,mean_hybrid_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,hybrid_mean_pattern_err,hybrid_mean_pattern_ser,hybrid_mean_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,gated_mean_pattern_err,gated_mean_pattern_ser,gated_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_stable_pattern_err,gated_stable_pattern_ser,gated_stable_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_consensus_pattern_err,gated_consensus_pattern_ser,gated_consensus_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_hybrid_pattern_err,gated_hybrid_pattern_ser,gated_hybrid_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,dataset,snr_db,seed,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas,offpacket_windows,covariance_bins
1,0,1,35,1.0,1.0,16,super_search_only_diverse16,linear_s2_b0,0.1595818239419064,0.06250000042179665,19.213275813633757,0.8293281787357326,0.1443824253161862,0,0.0,17,0.4857142857142857,17,0,17,1,0.02857142857142857,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.02857142857142857,1,0,1,1,0.02857142857142857,1,0,1,0,0.0,0,0,0,0,0.0,0,0,0,1,0.02857142857142857,1,0,1,0_0_0_10_14_16,-23.0,42,offpacket,4.0,3.9865007219679423,4.015151773372038,128,0 64 128 192 256 320 384 448 512 576 640 704 768 832 896 960
2,1,2,35,1.0,1.0285714285714285,16,super_search_only_diverse16,linear_s2_b0,0.16419148799848998,0.0624999985483081,19.361788787077487,0.8458027056595571,0.14196687561232393,1,0.02857142857142857,11,0.3142857142857143,11,0,10,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,1,0.02857142857142857,0,0,0,0_0_0_10_14_16,-23.0,42,offpacket,4.0,3.9865007219679423,4.015151773372038,128,0 64 128 192 256 320 384 448 512 576 640 704 768 832 896 960
1,0,1,35,1.0,1.2571428571428571,16,super_search_only_diverse16,linear_s2_b0,0.17917821858501415,0.06250000066678044,15.345279263479876,0.7908154057998013,0.15026773462721077,4,0.11428571428571428,23,0.6571428571428571,23,1,20,7,0.2,5,0,3,4,0.11428571428571428,0,0,0,4,0.11428571428571428,1,0,0,5,0.14285714285714285,3,0,1,4,0.11428571428571428,0,0,0,7,0.2,5,0,3,5,0.14285714285714285,3,0,1,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,0_0_0_10_14_16,-24.0,42,offpacket,4.0,3.9865902396195754,4.015399041729162,128,0 64 128 192 256 320 384 448 512 576 640 704 768 832 896 960
2,1,2,35,1.0,1.1714285714285715,16,super_search_only_diverse16,piece_1_2_32,0.17579552393951495,0.06250000055822898,15.33443115615532,0.8175642316274712,0.14577924163609846,4,0.11428571428571428,21,0.6,21,0,17,5,0.14285714285714285,3,0,1,4,0.11428571428571428,0,0,0,5,0.14285714285714285,2,0,1,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,5,0.14285714285714285,3,0,1,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,0_0_0_10_14_16,-24.0,42,offpacket,4.0,3.9865902396195754,4.015399041729162,128,0 64 128 192 256 320 384 448 512 576 640 704 768 832 896 960
1,0,1,35,0.9714285714285714,3.4285714285714284,16,super_search_only_diverse16,linear_s1_b1,0.19346979987668417,0.06249999991365538,12.18101364721598,0.7681166208478638,0.153597706865288,10,0.2857142857142857,25,0.7142857142857143,22,0,15,11,0.3142857142857143,9,1,2,10,0.2857142857142857,0,0,0,10,0.2857142857142857,3,1,1,12,0.34285714285714286,5,0,2,11,0.3142857142857143,5,1,2,11,0.3142857142857143,9,1,2,12,0.34285714285714286,5,0,2,10,0.2857142857142857,0,0,0,11,0.3142857142857143,4,1,2,0_0_0_10_14_16,-25.0,42,offpacket,4.0,3.98667848765384,4.015637031774456,128,0 64 128 192 256 320 384 448 512 576 640 704 768 832 896 960
2,1,2,35,1.0,1.9428571428571428,16,super_search_only_diverse16,piece_1_2_32,0.18907145270356185,0.06250000105058635,12.19619939648634,0.791282429445322,0.1494692283312327,6,0.17142857142857143,24,0.6857142857142857,23,0,18,10,0.2857142857142857,5,0,4,6,0.17142857142857143,0,0,0,8,0.22857142857142856,3,0,2,7,0.2,1,0,1,9,0.2571428571428571,3,0,3,10,0.2857142857142857,5,0,4,7,0.2,1,0,1,6,0.17142857142857143,0,0,0,9,0.2571428571428571,3,0,3,0_0_0_10_14_16,-25.0,42,offpacket,4.0,3.98667848765384,4.015637031774456,128,0 64 128 192 256 320 384 448 512 576 640 704 768 832 896 960
