dataset,target_snr_db,noise_seed,packet_count,center_symbol_ser,multi_symbol_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid_rate,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_16,-22.0,42,11,0.6181818181818183,0.1766233766233766,0.6025974025974027,0.01558441558441559,-0.425974025974026,0.0,0.9745947610968746,0.8824045175114268,32.0,-0.6319017734939791,0.9910163717719699,0.10807602670863557
0_0_0_10_14_16,-23.0,42,11,0.7506493506493507,0.33246753246753247,0.7896103896103895,-0.03896103896103893,-0.45714285714285713,0.0,0.9714469234711154,0.8783558688681208,32.0,-0.6410788984537734,0.9958493939635151,0.09563390333397324
0_0_0_10_14_16,-24.0,42,11,0.8337662337662337,0.5168831168831168,0.8675324675324675,-0.03376623376623375,-0.3506493506493506,0.0,0.9679704505152261,0.886316534183938,32.0,-0.5851723515379667,0.9095072766986104,0.13385414874965898
0_0_0_10_14_16,-25.0,42,11,0.9012987012987015,0.6753246753246753,0.9194805194805196,-0.018181818181818188,-0.24415584415584413,0.0,0.9706174580455346,0.8843829634243616,32.0,-0.5936082856768088,0.9914849523232014,0.10465099425705904
0_0_0_10_14_16,-26.0,42,11,0.9532467532467532,0.7948051948051947,0.9532467532467532,0.0,-0.15844155844155844,0.0,0.9733469404819111,0.8790731611751496,32.0,-0.618318816884788,0.9384173969569068,0.09885404870590571
0_0_0_10_14_16,-22.0,43,11,0.6883116883116883,0.20519480519480515,0.6493506493506493,0.03896103896103897,-0.4441558441558442,0.0,0.9723127679721315,0.8690371530625876,32.0,-0.7114204195391184,0.9871786078874482,0.10658066142661132
0_0_0_10_14_16,-23.0,43,11,0.7688311688311689,0.33766233766233766,0.8025974025974026,-0.03376623376623377,-0.46493506493506503,0.0,0.9719058439469652,0.8655573058290293,32.0,-0.7250943482528929,0.9905650877189743,0.10644478790759739
0_0_0_10_14_16,-24.0,43,11,0.8493506493506492,0.5142857142857143,0.8883116883116884,-0.038961038961038974,-0.374025974025974,0.0,0.9717516886261769,0.8637377620564628,32.0,-0.7224131573306292,0.993370146615545,0.10186509743098925
0_0_0_10_14_16,-25.0,43,11,0.9090909090909091,0.664935064935065,0.9246753246753248,-0.01558441558441558,-0.2597402597402597,0.0,0.969895344875486,0.8758889405485575,32.0,-0.6507524873073217,0.9936149185627741,0.11033485989479278
0_0_0_10_14_16,-26.0,43,11,0.942857142857143,0.7999999999999999,0.961038961038961,-0.018181818181818188,-0.161038961038961,0.0,0.9690890953165566,0.8768912036426836,32.0,-0.6490631608342636,0.9891632189541945,0.11948771105780455
0_0_0_10_14_16,-22.0,44,11,0.6935064935064935,0.19740259740259739,0.7168831168831169,-0.02337662337662336,-0.5194805194805195,0.0,0.9734794466969062,0.8681005542713737,32.0,-0.7089905311843331,0.9872892929701069,0.10806402009537978
0_0_0_10_14_16,-23.0,44,11,0.7896103896103895,0.35584415584415585,0.8493506493506492,-0.05974025974025972,-0.49350649350649345,0.0,0.9720133302086882,0.8714294592777417,32.0,-0.6832954395613341,0.978142936097726,0.1153265733445329
0_0_0_10_14_16,-24.0,44,11,0.8805194805194805,0.5142857142857143,0.9220779220779222,-0.04155844155844155,-0.4077922077922078,0.0,0.9725712431228435,0.8722858414153617,32.0,-0.6820298894070244,0.9943284893226196,0.11320453118844559
0_0_0_10_14_16,-25.0,44,11,0.916883116883117,0.6987012987012986,0.948051948051948,-0.03116883116883116,-0.24935064935064927,0.0,0.9729369967266969,0.8737490473745537,32.0,-0.6659044090265902,0.9911668995628375,0.12062218182271348
0_0_0_10_14_16,-26.0,44,11,0.9402597402597404,0.8155844155844156,0.961038961038961,-0.020779220779220786,-0.14545454545454545,0.0,0.9725716296038108,0.876411396274305,32.0,-0.6506757404655452,0.9953456938273066,0.11575785215690612
0_0_0_10_14_16,-22.0,45,11,0.6675324675324675,0.20779220779220775,0.6415584415584417,0.025974025974025983,-0.43376623376623374,0.0,0.9695179285444335,0.8780112397589254,32.0,-0.6495789422147261,0.985198449054995,0.13115270959620973
0_0_0_10_14_16,-23.0,45,11,0.7792207792207791,0.38701298701298703,0.8259740259740258,-0.04675324675324673,-0.43896103896103894,0.0,0.9681480159369144,0.8730839376068467,32.0,-0.6645788165960221,0.9906048918968349,0.1259325307526651
