dataset,snr_db,seed,packet_index,block_index,hard_errors,gt_fixed_coherence,hard_fixed_coherence,gt_beats_hard_fixed,gt_best_coherence,hard_best_coherence,gt_beats_hard_own_best,random_trials,gt_beats_random_fixed_fraction,gt_beats_random_own_best_fraction,random_fixed_max,random_own_best_max
0_0_0_10_14_32,-22.0,53,0,0,5,0.9359547517849323,0.09839901503433343,1,0.9359547517849323,0.4391940185966871,1,64,1.0,1.0,0.8160838074039042,0.8163281461159063
0_0_0_10_14_32,-22.0,53,0,1,5,0.9000255954085646,0.037815305035114426,1,0.9000255954085646,0.7200805968667279,1,64,1.0,1.0,0.5444928285363508,0.8646007060518283
0_0_0_10_14_32,-22.0,53,0,2,5,0.8593157827434422,0.15864180824146132,1,0.8593157827434424,0.47900452234745616,1,64,1.0,0.984375,0.7152396970747279,0.8669244026499412
0_0_0_10_14_32,-22.0,53,0,3,4,0.8108362430620959,0.5127829726437745,1,0.810836243062096,0.568324913529001,1,64,1.0,0.96875,0.5462166519058319,0.9356936129871344
0_0_0_10_14_32,-22.0,53,0,4,3,0.8588577116335384,0.7179984372745016,1,0.8588577116335384,0.7800554615935835,1,64,1.0,0.984375,0.656090756222724,0.8597923743787647
0_0_0_10_14_32,-22.0,53,0,5,4,0.9305078045315185,0.2551789758513274,1,0.9305078045315187,0.5191837004440535,1,64,1.0,1.0,0.6488711615307019,0.8553355504780854
0_0_0_10_14_32,-22.0,53,0,6,5,0.499067308829366,0.3899186139598151,1,0.4990673088293659,0.41887619461826964,1,64,0.96875,0.453125,0.6151979584706657,0.7688054502828455
0_0_0_10_14_32,-22.0,53,2,0,0,0.9785748847418787,0.9785748847418787,0,0.9785748847418787,0.9785748847418787,0,64,1.0,1.0,0.6636868065622216,0.9121265266472169
0_0_0_10_14_32,-22.0,53,2,1,0,0.9858004885404855,0.9858004885404855,0,0.9858004885404855,0.9858004885404855,0,64,1.0,1.0,0.5455999143261646,0.8232161136690259
0_0_0_10_14_32,-22.0,53,2,2,0,0.9722036265747267,0.9722036265747267,0,0.9722036265747263,0.9722036265747263,0,64,1.0,1.0,0.708917468210954,0.8609825171592831
0_0_0_10_14_32,-22.0,53,2,3,0,0.9489513530265005,0.9489513530265005,0,0.9489513530265005,0.9489513530265005,0,64,1.0,1.0,0.805925982625187,0.9021947643420832
0_0_0_10_14_32,-22.0,53,2,4,0,0.9675256202965423,0.9675256202965423,0,0.9675256202965427,0.9675256202965427,0,64,1.0,1.0,0.641413121923112,0.9321449637441345
0_0_0_10_14_32,-22.0,53,2,5,0,0.9779388445934911,0.9779388445934911,0,0.9779388445934915,0.9779388445934915,0,64,1.0,1.0,0.8172011448142886,0.8310791653949023
0_0_0_10_14_32,-22.0,53,2,6,0,0.9773203290949773,0.9773203290949773,0,0.9773203290949773,0.9773203290949773,0,64,1.0,1.0,0.5475165409665962,0.8290819913471792
0_0_0_10_14_32,-22.0,53,3,0,0,0.9787751048548784,0.9787751048548784,0,0.9787751048548787,0.9787751048548787,0,64,1.0,1.0,0.9226169674593507,0.9394283269631714
0_0_0_10_14_32,-22.0,53,3,1,0,0.9611624796305315,0.9611624796305315,0,0.9611624796305315,0.9611624796305315,0,64,1.0,1.0,0.5781304902670328,0.8158757583419626
0_0_0_10_14_32,-22.0,53,3,2,0,0.9762362634442933,0.9762362634442933,0,0.9762362634442933,0.9762362634442933,0,64,1.0,1.0,0.5463187920135266,0.8120701812679437
0_0_0_10_14_32,-22.0,53,3,3,0,0.9638296249172496,0.9638296249172496,0,0.96382962491725,0.96382962491725,0,64,1.0,1.0,0.5597582293420766,0.8838810340645676
0_0_0_10_14_32,-22.0,53,3,4,0,0.9700683641463652,0.9700683641463652,0,0.9700683641463648,0.9700683641463648,0,64,1.0,1.0,0.5552103216682986,0.8787063184198701
0_0_0_10_14_32,-22.0,53,3,5,0,0.9846666200539758,0.9846666200539758,0,0.9846666200539761,0.9846666200539761,0,64,1.0,1.0,0.6593577479892437,0.8537524022196235
0_0_0_10_14_32,-22.0,53,3,6,0,0.9797655806772981,0.9797655806772981,0,0.9797655806772981,0.9797655806772981,0,64,1.0,1.0,0.6791694666857525,0.9061976655484664
0_0_0_10_14_32,-22.0,53,4,0,0,0.9712047667428125,0.9712047667428125,0,0.9712047667428123,0.9712047667428123,0,64,1.0,1.0,0.7417202328506285,0.8648789887238743
0_0_0_10_14_32,-22.0,53,4,1,0,0.936205614331842,0.936205614331842,0,0.9362056143318418,0.9362056143318418,0,64,1.0,1.0,0.6801105707545552,0.8771750142214635
0_0_0_10_14_32,-22.0,53,4,2,0,0.9742050972241636,0.9742050972241636,0,0.9742050972241627,0.9742050972241627,0,64,1.0,1.0,0.5685491208136547,0.8319737604269354
0_0_0_10_14_32,-22.0,53,4,3,0,0.9737208258635135,0.9737208258635135,0,0.973720825863513,0.973720825863513,0,64,1.0,1.0,0.6440023422282083,0.8519047423172033
0_0_0_10_14_32,-22.0,53,4,4,0,0.9818358112647732,0.9818358112647732,0,0.9818358112647732,0.9818358112647732,0,64,1.0,1.0,0.7719905500846,0.8292796841058139
0_0_0_10_14_32,-22.0,53,4,5,0,0.9874965091206769,0.9874965091206769,0,0.9874965091206765,0.9874965091206765,0,64,1.0,1.0,0.7188698241716275,0.8812311174297844
0_0_0_10_14_32,-22.0,53,4,6,0,0.945684529902079,0.945684529902079,0,0.945684529902079,0.945684529902079,0,64,1.0,1.0,0.6450453878298688,0.7839294358985249
0_0_0_10_14_32,-22.0,53,5,0,0,0.4059220531540683,0.4059220531540683,0,0.4059220531540683,0.4059220531540683,0,64,0.859375,0.0625,0.6168555453738198,0.8371900198485989
0_0_0_10_14_32,-22.0,53,5,1,0,0.5588523991161786,0.5588523991161786,0,0.5588523991161785,0.5588523991161785,0,64,0.921875,0.5,0.7757711685669078,0.8314185736207367
0_0_0_10_14_32,-22.0,53,5,2,0,0.6868644901222319,0.6868644901222319,0,0.6868644901222319,0.6868644901222319,0,64,0.984375,0.890625,0.7355370774085508,0.7798382584038834
0_0_0_10_14_32,-22.0,53,5,3,0,0.6402304104756373,0.6402304104756373,0,0.6402304104756376,0.6402304104756376,0,64,0.984375,0.84375,0.6897993757871322,0.8536905308903358
0_0_0_10_14_32,-22.0,53,5,4,0,0.5391257186355446,0.5391257186355446,0,0.5391257186355443,0.5391257186355443,0,64,0.9375,0.4375,0.7148736088188058,0.8970069041165938
0_0_0_10_14_32,-22.0,53,5,5,0,0.7951620019876006,0.7951620019876006,0,0.7951620019876002,0.7951620019876002,0,64,1.0,0.984375,0.6701215536334637,0.8244189471927861
0_0_0_10_14_32,-22.0,53,5,6,0,0.38903970205289756,0.38903970205289756,0,0.3890397020528975,0.3890397020528975,0,64,0.890625,0.109375,0.7171571572713076,0.8790382003234505
0_0_0_10_14_32,-22.0,53,6,0,0,0.5885104806550893,0.5885104806550893,0,0.5885104806550893,0.5885104806550893,0,64,0.984375,0.625,0.6405437291942132,0.874050756488303
0_0_0_10_14_32,-22.0,53,6,1,0,0.5645113133646974,0.5645113133646974,0,0.5645113133646972,0.5645113133646972,0,64,0.984375,0.640625,0.5712872803722164,0.8026895156630334
0_0_0_10_14_32,-22.0,53,6,2,0,0.5707058805266169,0.5707058805266169,0,0.570705880526617,0.570705880526617,0,64,0.953125,0.609375,0.6459825955647338,0.8203911147683048
0_0_0_10_14_32,-22.0,53,6,3,0,0.5560569114072735,0.5560569114072735,0,0.5560569114072733,0.5560569114072733,0,64,0.984375,0.609375,0.7098660728895609,0.7997772735229883
0_0_0_10_14_32,-22.0,53,6,4,0,0.5661478117659252,0.5661478117659252,0,0.5661478117659252,0.5661478117659252,0,64,0.953125,0.546875,0.7196384714520103,0.9446988957634936
0_0_0_10_14_32,-22.0,53,6,5,0,0.6992183779054579,0.6992183779054579,0,0.6992183779054579,0.6992183779054579,0,64,1.0,0.84375,0.5999118487609425,0.8673950807024577
0_0_0_10_14_32,-22.0,53,6,6,0,0.5916023980105092,0.5916023980105092,0,0.5916023980105093,0.5916023980105093,0,64,0.984375,0.796875,0.6583058668040741,0.9486920286089696
0_0_0_10_14_32,-22.0,53,7,0,0,0.5608216073460117,0.5608216073460117,0,0.5608216073460118,0.5608216073460118,0,64,0.96875,0.5,0.6634323299384488,0.8596713209494646
0_0_0_10_14_32,-22.0,53,7,1,0,0.5529721160049006,0.5529721160049006,0,0.5529721160049007,0.5529721160049007,0,64,0.953125,0.5,0.6345942018372391,0.8329521045955964
0_0_0_10_14_32,-22.0,53,7,2,0,0.6694013308206868,0.6694013308206868,0,0.669401330820687,0.669401330820687,0,64,1.0,0.890625,0.6138427603838704,0.8411925838280269
