file_name,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_paper_payload_hex,savaux_paper_decode_error,savaux_codec_crc_valid,savaux_codec_payload_hex,savaux_codec_selected_source,savaux_codec_selected_beam_rank,savaux_codec_symbol_change_count,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count
0_0_0_10_14_16.bin,1,0,1,33,35,1,1,1,1,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,2,1,2,33,35,1,1,1,1,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,3,2,3,33,35,1,1,1,1,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,5,3,5,33,35,1,1,1,1,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,6,4,6,33,35,1,1,1,1,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,8,5,8,33,35,1,1,1,1,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,9,6,9,33,35,1,1,1,1,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,10,7,10,33,35,1,1,1,1,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,11,8,11,33,35,1,1,1,1,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,12,9,12,33,35,1,1,1,1,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
0_0_0_10_14_16.bin,13,10,13,33,35,1,1,1,1,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,savaux_hard_crc_preserved,-1,0,0,0,0
