dataset,target_snr_db,packet_count,top_l_candidate_recall,gt_second_abs_pi,random_second_abs_pi_mean,random_second_abs_pi_p10,random_second_abs_pi_p50,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,center_second_abs_pi,center_ser_gain_vs_v3,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,multi_second_abs_pi,multi_ser_gain_vs_v3,v3_symbol_ser,v3_symbol_accuracy,v3_crc_valid_rate,v3_second_abs_pi,v3_ser_gain_vs_v3,phase_line_symbol_ser,phase_line_symbol_accuracy,phase_line_crc_valid_rate,phase_line_second_abs_pi,phase_line_ser_gain_vs_v3,phase_dp_first_symbol_ser,phase_dp_first_symbol_accuracy,phase_dp_first_crc_valid_rate,phase_dp_first_second_abs_pi,phase_dp_first_ser_gain_vs_v3,phase_dp_first_header_symbol_ser,phase_dp_first_header_symbol_accuracy,phase_dp_first_header_crc_valid_rate,phase_dp_first_header_second_abs_pi,phase_dp_first_header_ser_gain_vs_v3,phase_dp_second_symbol_ser,phase_dp_second_symbol_accuracy,phase_dp_second_crc_valid_rate,phase_dp_second_second_abs_pi,phase_dp_second_ser_gain_vs_v3,phase_dp_second_anchor_symbol_ser,phase_dp_second_anchor_symbol_accuracy,phase_dp_second_anchor_crc_valid_rate,phase_dp_second_anchor_second_abs_pi,phase_dp_second_anchor_ser_gain_vs_v3
0_0_0_10_14_16,-22.0,11,0.9688311688311689,0.26438319385941716,0.49967796768332334,0.4375797054406511,0.4968030872015246,0.6025974025974027,0.3974025974025974,0.0,0.4945941571562535,-0.5428571428571428,0.17922077922077922,0.8207792207792209,0.0,0.3684813756893819,-0.11948051948051946,0.05974025974025974,0.9402597402597404,0.36363636363636365,0.2929060341832178,0.0,0.27012987012987016,0.7298701298701299,0.0,0.20660271222559426,-0.21038961038961038,0.07792207792207793,0.9220779220779222,0.09090909090909091,0.24706784077597188,-0.018181818181818184,0.07792207792207793,0.9220779220779222,0.09090909090909091,0.2459593351253183,-0.018181818181818184,0.07532467532467532,0.9246753246753248,0.09090909090909091,0.23787065393990545,-0.015584415584415584,0.07532467532467532,0.9246753246753248,0.09090909090909091,0.23787065393990545,-0.015584415584415584
0_0_0_10_14_16,-24.0,11,0.8545454545454546,0.3096997304481266,0.49981448339286794,0.4372101934525167,0.4977744372944813,0.8337662337662338,0.16623376623376626,0.0,0.5303876802223155,-0.5376623376623376,0.509090909090909,0.49090909090909096,0.0,0.49110687229477373,-0.21298701298701295,0.29610389610389604,0.7038961038961038,0.0,0.41786065156945024,0.0,0.6441558441558441,0.35584415584415585,0.0,0.2875329719467713,-0.34805194805194806,0.2831168831168831,0.7168831168831168,0.0,0.31048708265777897,0.012987012987012976,0.2831168831168831,0.7168831168831168,0.0,0.3075516008248729,0.012987012987012976,0.3064935064935065,0.6935064935064935,0.0,0.23725068008013012,-0.0103896103896104,0.3064935064935065,0.6935064935064935,0.0,0.23725068008013012,-0.0103896103896104
mean_of_datasets,-22.0,11,0.9688311688311689,0.26438319385941716,0.49967796768332334,0.4375797054406511,0.4968030872015246,0.6025974025974027,0.3974025974025974,0.0,0.4945941571562535,-0.5428571428571428,0.17922077922077922,0.8207792207792209,0.0,0.3684813756893819,-0.11948051948051946,0.05974025974025974,0.9402597402597404,0.36363636363636365,0.2929060341832178,0.0,0.27012987012987016,0.7298701298701299,0.0,0.20660271222559426,-0.21038961038961038,0.07792207792207793,0.9220779220779222,0.09090909090909091,0.24706784077597188,-0.018181818181818184,0.07792207792207793,0.9220779220779222,0.09090909090909091,0.2459593351253183,-0.018181818181818184,0.07532467532467532,0.9246753246753248,0.09090909090909091,0.23787065393990545,-0.015584415584415584,0.07532467532467532,0.9246753246753248,0.09090909090909091,0.23787065393990545,-0.015584415584415584
mean_of_datasets,-24.0,11,0.8545454545454546,0.3096997304481266,0.49981448339286794,0.4372101934525167,0.4977744372944813,0.8337662337662338,0.16623376623376626,0.0,0.5303876802223155,-0.5376623376623376,0.509090909090909,0.49090909090909096,0.0,0.49110687229477373,-0.21298701298701295,0.29610389610389604,0.7038961038961038,0.0,0.41786065156945024,0.0,0.6441558441558441,0.35584415584415585,0.0,0.2875329719467713,-0.34805194805194806,0.2831168831168831,0.7168831168831168,0.0,0.31048708265777897,0.012987012987012976,0.2831168831168831,0.7168831168831168,0.0,0.3075516008248729,0.012987012987012976,0.3064935064935065,0.6935064935064935,0.0,0.23725068008013012,-0.0103896103896104,0.3064935064935065,0.6935064935064935,0.0,0.23725068008013012,-0.0103896103896104
