event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,573440,917504,35,52,18,208,208,208,208,4290632.437588635,10.4511123935031,0.8315279718484871,12,125000.0,500000.0,4,16384,4,16384,12,2
1,3112960,3440640,190,206,17,1847,1847,1847,1847,1163201.3738737092,1.7576504326507787,0.29685260276273123,12,125000.0,500000.0,4,16384,4,16384,12,2
2,5570560,5914624,340,357,18,15730,-654,15730,15730,500803.3216445349,12.286557134698828,0.7986077977075976,12,125000.0,500000.0,4,16384,4,16384,12,2
3,8077312,8421376,493,510,18,901,901,901,901,398262.3260992813,6.633125586625653,0.5653389807709462,12,125000.0,500000.0,4,16384,4,16384,12,2
4,10567680,10911744,645,662,18,14730,-1654,14730,14730,259873.58969772566,1.4220850935251816,0.5264041303201109,12,125000.0,500000.0,4,16384,4,16384,12,2
5,13074432,13418496,798,815,18,16313,-71,16313,16313,631329.3141838993,7.61357125195311,0.780246558934223,12,125000.0,500000.0,4,16384,4,16384,12,2
6,15581184,15925248,951,968,18,1523,1523,1523,1524,242215.54535984143,0.3226428564875605,0.2844558087264635,12,125000.0,500000.0,4,16384,4,16384,12,2
7,18071552,18415616,1103,1120,18,15383,-1001,15383,15383,295407.30351351964,1.0158161417480518,0.5728644708200668,12,125000.0,500000.0,4,16384,4,16384,12,2
8,20578304,20938752,1256,1274,19,640,640,640,640,519978.6502651317,8.039361579049482,0.6751703855679156,12,125000.0,500000.0,4,16384,4,16384,12,2
9,23068672,23379968,1408,1423,16,14484,-1900,14484,14484,1059224.85065655,1.6336805705035575,0.4728494141910948,12,125000.0,500000.0,4,16384,4,16384,12,2
10,25575424,25919488,1561,1578,18,15966,-418,15966,15966,554839.931488877,5.223413801592929,0.7676643537518764,12,125000.0,500000.0,4,16384,4,16384,12,2
