trial_id,reference_id,esn0_db,seed,hard_oracle_packet_delivered,soft_oracle_packet_delivered,soft_crc_accept,soft_crc_false_delivery,soft_fix,soft_break,soft_decode_status,soft_header_valid,soft_crc_valid,soft_payload_hex
exp0_000000_rxg20_0_fulltrim:12:20260821,0,12.0,20260821,0,0,0,0,0,0,ok,1,0,4004332211000100580000b9883a2d118aa87066a99f804826e75229af78563452
exp0_000002_rxg20_0_fulltrim:12:20260821,2,12.0,20260821,1,1,1,0,0,0,ok,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412
exp0_000003_rxg20_0_fulltrim:12:20260821,3,12.0,20260821,1,1,1,0,0,0,ok,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412
exp0_000004_rxg20_0_fulltrim:12:20260821,4,12.0,20260821,1,1,1,0,0,0,ok,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412
exp0_000005_rxg20_0_fulltrim:12:20260821,5,12.0,20260821,1,1,1,0,0,0,ok,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412
exp0_000006_rxg20_0_fulltrim:12:20260821,6,12.0,20260821,0,0,0,0,0,0,ok,1,0,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a178566412
exp0_000007_rxg20_0_fulltrim:12:20260821,7,12.0,20260821,0,0,0,0,0,0,ok,1,0,40443322110001005807003d9b8e75346b7dde1ef9483e333e1368b67278563412
exp0_000008_rxg20_0_fulltrim:12:20260821,8,12.0,20260821,1,1,1,0,0,0,ok,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412
exp0_000000_rxg20_0_fulltrim:12:20260822,0,12.0,20260822,0,0,0,0,0,0,ok,1,0,4044332211000100580000b9883a2d118aa87066a99f804806e5722baf78563402
exp0_000002_rxg20_0_fulltrim:12:20260822,2,12.0,20260822,0,1,1,0,1,0,ok,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412
