branch_dimension,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,offpacket_windows,branch_gls_active,min_branch_correlation
4,2048,0.0040353235070984825,0.009067522282141022,0.015288758370603154,2,2048,0.011001582609098748,0.0026098729800147374,0.0026098729800147374,0_0_0_10_14_8,-22.0,45,128,0,0.05
4,2048,0.004035331268316699,0.009067526744440788,0.01528876127813811,2,2048,0.011001583013893127,0.002609872387800036,0.002609872387800036,0_0_0_10_14_8,-23.0,45,128,0,0.05
4,2048,0.004035329923988384,0.00906752872014077,0.015288769347684016,2,2048,0.011001583102398798,0.0026098721538494064,0.0026098721538494064,0_0_0_10_14_8,-24.0,45,128,0,0.05
4,2048,0.004035325718629633,0.009067522899325112,0.01528876489699054,2,2048,0.011001583695508077,0.002609873284761297,0.002609873284761297,0_0_0_10_14_8,-25.0,45,128,0,0.05
4,2048,0.004035325195524827,0.009067528957631783,0.015288768934261695,2,2048,0.011001583206695604,0.0026098730525617978,0.0026098730525617978,0_0_0_10_14_8,-26.0,45,128,0,0.05
4,2048,0.009751103399016773,0.014435187476750757,0.024687971039714318,2,2048,0.010485191873059182,0.026923348730539472,0.026923348730539472,0_0_0_10_14_16,-22.0,45,128,0,0.05
4,2048,0.009753332825143965,0.014437178435001759,0.024706626130634582,2,2048,0.010466649498445751,0.026976192150616213,0.026976192150616213,0_0_0_10_14_16,-23.0,45,128,0,0.05
4,2048,0.009755325983187338,0.014438965096134149,0.024722998435682382,2,2048,0.010451623570042751,0.027023560562264237,0.027023560562264237,0_0_0_10_14_16,-24.0,45,128,0,0.05
4,2048,0.009757117676548731,0.014440575196067165,0.024737396295162476,2,2048,0.010439422329475596,0.02706599340047991,0.02706599340047991,0_0_0_10_14_16,-25.0,45,128,0,0.05
4,2048,0.009758723681617619,0.014442024241763543,0.02475007151170108,2,2048,0.010429494981006478,0.0271039780739565,0.0271039780739565,0_0_0_10_14_16,-26.0,45,128,0,0.05
4,2048,0.013383497486035512,0.016346030301223172,0.02918269586621437,2,2048,0.017750618772523756,0.010826348618148804,0.010826348618148804,0_0_0_10_14_32,-22.0,45,128,0,0.05
4,2048,0.013412643505296168,0.01657905811388242,0.02962119548807612,2,2048,0.018569723702301918,0.010252121916183814,0.010252121916183814,0_0_0_10_14_32,-23.0,45,128,0,0.05
4,2048,0.013439347065022155,0.01677433994596453,0.029974269714736466,2,2048,0.019234504433440804,0.009802238059220529,0.009802238059220529,0_0_0_10_14_32,-24.0,45,128,0,0.05
4,2048,0.013463746136946293,0.01693709527682156,0.03025863502501114,2,2048,0.019774873938351388,0.00945238121787412,0.00945238121787412,0_0_0_10_14_32,-25.0,45,128,0,0.05
4,2048,0.013485968556892935,0.017072291069857543,0.030487777852912012,2,2048,0.020214897440545852,0.009182319198434197,0.009182319198434197,0_0_0_10_14_32,-26.0,45,128,0,0.05
