snr_db,method,trials,errors,ser,fixes_vs_source_fft,breaks_vs_source_fft,net_fixes_vs_source_fft
-24.0,fft_argmax_q8,500,418,0.836,0,0,0
-24.0,fft_argmax_q4,500,466,0.932,14,62,-48
-24.0,fft_argmax_q2,500,485,0.97,8,75,-67
-24.0,fft_argmax_q1,500,478,0.956,17,77,-60
-24.0,pair_energy_q8,500,420,0.84,17,19,-2
-24.0,fold_profile_q8,500,377,0.754,51,10,41
-24.0,multirate_structure,500,386,0.772,46,14,32
-24.0,coherent_ml_q8,500,308,0.616,120,10,110
-22.0,fft_argmax_q8,500,359,0.718,0,0,0
-22.0,fft_argmax_q4,500,448,0.896,8,97,-89
-22.0,fft_argmax_q2,500,482,0.964,7,130,-123
-22.0,fft_argmax_q1,500,482,0.964,7,130,-123
-22.0,pair_energy_q8,500,334,0.668,42,17,25
-22.0,fold_profile_q8,500,290,0.58,79,10,69
-22.0,multirate_structure,500,322,0.644,57,20,37
-22.0,coherent_ml_q8,500,162,0.324,203,6,197
-20.0,fft_argmax_q8,500,213,0.426,0,0,0
-20.0,fft_argmax_q4,500,376,0.752,16,179,-163
-20.0,fft_argmax_q2,500,464,0.928,4,255,-251
-20.0,fft_argmax_q1,500,457,0.914,14,258,-244
-20.0,pair_energy_q8,500,201,0.402,35,23,12
-20.0,fold_profile_q8,500,159,0.318,67,13,54
-20.0,multirate_structure,500,171,0.342,67,25,42
-20.0,coherent_ml_q8,500,57,0.114,161,5,156
-18.0,fft_argmax_q8,500,105,0.21,0,0,0
-18.0,fft_argmax_q4,500,297,0.594,8,200,-192
-18.0,fft_argmax_q2,500,421,0.842,2,318,-316
-18.0,fft_argmax_q1,500,426,0.852,7,328,-321
-18.0,pair_energy_q8,500,90,0.18,31,16,15
-18.0,fold_profile_q8,500,44,0.088,70,9,61
-18.0,multirate_structure,500,65,0.13,64,24,40
-18.0,coherent_ml_q8,500,4,0.008,102,1,101
