method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,lora_guard_margin_db,lora_guard_segments
savaux,0,70,8,0.11428571428571428,0,0,0.25480009998136666,3.6400014283052378,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,8,0.11428571428571428,0,0,0.4052182000159519,5.788831428799313,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,8,0.11428571428571428,0,0,0.4113221000006888,5.87603000000984,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,10,0.14285714285714285,0,2,0.4538485999837576,6.4835514283393945,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,9,0.12857142857142856,0,1,0.04490509999595815,0.6415014285136879,7,0.1,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,9,0.12857142857142856,0,1,0.05117729999983567,0.7311042857119381,7,0.1,3,1,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,8,0.11428571428571428,0,0,0.11724769999636919,1.6749671428052741,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,10,0.14285714285714285,0,2,0.45654379999177763,6.522054285596823,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,7,0.1,1,0,0.4648186999838799,6.640267142626856,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,6,0.08571428571428572,2,0,0.5110241999900609,7.3003457141437265,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,7,0.1,1,0,0.06059030000324128,0.8655757143320183,8,0.11428571428571428,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,7,0.1,1,0,0.06756449999738834,0.9652071428198334,8,0.11428571428571428,1,1,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,5,0.07142857142857142,0,0,0.10345650000090245,1.4779500000128922,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,6,0.08571428571428572,0,1,0.39186549999794806,5.598078571399258,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,8,0.11428571428571428,0,3,0.3886475000108476,5.552107143012108,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,6,0.08571428571428572,2,3,0.4316428999991331,6.166327142844758,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,6,0.08571428571428572,2,3,0.06351789999825996,0.9073985714037137,10,0.14285714285714285,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,7,0.1,1,3,0.07158050000361982,1.022578571480283,10,0.14285714285714285,4,3,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
