packet_index,event_index,success,total_payload,correct_count,pre_block_correct_count,pre_template_correct_count,block_code_search_enabled,payload_template_known,byte_symbol_prior_known,final_error_rate,initial_slope_pi,final_slope_pi,initial_line_r2,final_line_r2,preamble_anchors,header_anchors,header_method,header_rescue_score,header_rescue_visited,preamble_line_slope_pi,header_line_slope_pi,hough_line_slope_pi,hough_score,preamble_profile_quality,preamble_profile_anchors,preamble_line_r2,header_line_r2,refinement_rounds,round0_acc,round1_acc,round2_acc,payload_len,gt_bins_available,reconstructed_payload_hex,reconstructed_unknown_bytes
1,1,1,35,32,8,8,0,30,30,0.0857,0.0166,0.0166,0.2065,0.2065,16,8,session_header_prior_forced,,,-0.0011,0.0166,0.0000,0.0000,0.2403,16,-0.0114,0.2065,2,0.2286,0.2286,,33,35,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0
2,2,1,35,30,2,2,0,30,30,0.1429,-0.0430,-0.0430,0.5593,0.5593,16,8,session_header_prior_forced,,,-0.0039,-0.0430,0.0000,0.0000,0.2471,16,0.0681,0.5593,2,0.0857,0.0571,,33,35,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,0
3,3,1,35,32,12,12,0,30,30,0.0857,-0.0058,-0.0058,0.0527,0.0527,16,8,session_header_prior_forced,,,-0.0053,-0.0058,0.0000,0.0000,0.2438,16,0.1157,0.0527,2,0.3429,0.3429,,33,35,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0
5,5,1,35,30,6,6,0,30,30,0.1429,-0.0727,-0.0727,0.6443,0.6443,16,8,session_header_prior_forced,,,-0.0060,-0.0727,0.0000,0.0000,0.2553,16,0.0510,0.6443,2,0.1429,0.1714,,33,35,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0
6,6,1,35,31,10,10,0,30,30,0.1143,-0.0399,-0.0399,0.2461,0.2461,16,8,session_header_prior_forced,,,-0.0055,-0.0399,0.0000,0.0000,0.2421,16,0.0621,0.2461,2,0.2857,0.2857,,33,35,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0
