dataset,target_snr_db,packet_index,payload_len,payload_symbol_count,hard_crc_valid,gt_crc_valid,selected_crc_valid,selected_source,selected_payload_matches_gt,selected_change_count,observed_crc_valid_count,accepted_crc_valid_count,rank_diverse_state_count,final_state_count,topk_recall,mean_gt_raw_rank,max_gt_raw_rank,row_gt_present_count,row_gt_total,all_rows_present,missing_rows,block_gt_present_count,block_count,all_blocks_present,block_symbol_ranks,block_nibble_ranks,block_gt_value_ranks,missing_block_gt_value_ranks,block_seed_candidate_counts,block_row_candidate_counts,global_symbol_rank,global_nibble_rank,gt_in_final_window,final_window_rank,candidate_payload_rank_after_sort,candidate_symbol_rank_after_sort,candidate_gt_crc_valid,selected_evidence_margin,gt_payload_hex,selected_payload_hex
0_0_0_10_14_8,-23.0,5,33,35,0,1,0,argmax_fallback,0,0,0,0,505,2489,1.0,1.6571428571428573,17,70,70,1,,6,7,0,1 1 3 1 1 -1 1,1 1 3 1 1 -1 1,"1,1,1,1,1;1,1,1,3,1;1,1,3,1,1;1,1,2,1,1;1,1,1,1,1;1,17,1,1,3;1,1,1,1,1","5:1,17,1,1,3",0 0 0 0 0 0 0,512 512 512 512 512 512 512,-1,-1,0,-1,-1,-1,0,0.0,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,4044332211009880d8b8b9723734353277383d7a3f3c3d3e3f4061626158743612
0_0_0_10_14_8,-23.0,6,33,35,0,1,0,argmax_fallback,0,0,0,0,505,2485,1.0,1.4285714285714286,11,70,70,1,,6,7,0,1 1 -1 2 1 1 1,1 1 -1 2 1 1 1,"1,1,1,1,1;1,3,1,1,1;1,1,4,1,1;1,11,1,1,1;1,1,1,1,1;1,1,1,1,1;1,1,1,1,1","2:1,1,4,1,1",0 0 0 0 0 0 0,512 512 512 512 512 512 512,-1,-1,0,-1,-1,-1,0,0.0,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,40443322110039027a323172737075763718393a193e3d3e3f4041424378563412
