method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.30555409998851246,4.365058571264464,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_8,8,70,23,0.32857142857142857,3,1,0.5420536000165157,7.743622857378796,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_8,8,70,23,0.32857142857142857,4,2,0.5367830999894068,7.668329999848668,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,22,0.3142857142857143,4,1,0.7025451000044995,10.036358571492851,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,23,0.32857142857142857,4,2,0.6899119000081555,9.855884285830793,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_16,16,70,20,0.2857142857142857,5,0,0.95852090002154,13.693155714593429,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_16,16,70,21,0.3,6,2,0.9590277000024798,13.700395714321141,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_32,32,70,17,0.24285714285714285,8,0,1.6257220000006782,23.22460000000969,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_32,32,70,19,0.2714285714285714,7,1,1.6162926000070001,23.08989428581429,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,21,0.3,0,0,0.1303774999869347,1.8625357140990673,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_8,8,70,17,0.24285714285714285,5,1,0.5400312000092526,7.714731428703609,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_8,8,70,18,0.2571428571428571,3,0,0.5487378999932844,7.83911285704692,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,16,0.22857142857142856,5,0,0.7045867999913753,10.065525714162504,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,18,0.2571428571428571,3,0,0.6987166999970214,9.98166714281459,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_16,16,70,16,0.22857142857142856,5,0,0.9489844999989145,13.556921428555922,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_16,16,70,19,0.2714285714285714,3,1,0.9603925999872445,13.719894285532064,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_32,32,70,18,0.2571428571428571,4,1,1.5833276999874215,22.61896714267745,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_32,32,70,18,0.2571428571428571,3,0,1.5869614000112051,22.670877143017215,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,23,0.32857142857142857,0,0,0.12035459999242448,1.719351428463207,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_8,8,70,19,0.2714285714285714,4,0,0.5145566999890434,7.350809999843477,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_8,8,70,20,0.2857142857142857,3,0,0.4981967000021541,7.117095714316487,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,19,0.2714285714285714,4,0,0.6658573999884538,9.512248571263626,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,19,0.2714285714285714,4,0,0.6544405999957235,9.349151428510336,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_16,16,70,16,0.22857142857142856,7,0,0.9005496000063431,12.864994285804901,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_16,16,70,17,0.24285714285714285,6,0,0.9084446000088064,12.977780000125806,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_32,32,70,16,0.22857142857142856,7,0,1.4876295999965805,21.251851428522578,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_32,32,70,16,0.22857142857142856,7,0,1.5006184999765537,21.437407142522197,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
