input_file,frame_symbol_index,stage,stage_symbol_index,support_frames,groundtruth_fft_bin,groundtruth_symbol,agreement_count,agreement_ratio,unique_fft_bin_count,unique_fft_bins,min_confidence_db,mean_confidence_db,all_source_labels_reliable,consensus_reliable
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,0,header,0,10,337,84,10,1.0,1,337,17.641498565673828,24.372795867919923,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,1,header,1,10,689,172,10,1.0,1,689,18.56268882751465,23.988018798828126,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,2,header,2,10,57,14,10,1.0,1,57,17.33135414123535,22.70097370147705,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,3,header,3,10,81,20,10,1.0,1,81,16.644136428833008,22.629998779296876,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,4,header,4,10,689,172,10,1.0,1,689,16.097932815551758,22.668347930908205,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,5,header,5,10,57,14,10,1.0,1,57,18.28384780883789,22.894049453735352,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,6,header,6,10,729,182,10,1.0,1,729,17.233001708984375,22.27330322265625,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,7,header,7,10,409,102,10,1.0,1,409,16.997114181518555,22.07697105407715,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,8,payload,0,10,803,802,10,1.0,1,803,17.77086639404297,22.15965633392334,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,9,payload,1,10,711,710,10,1.0,1,711,18.15745735168457,22.03075752258301,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,10,payload,2,10,922,921,10,1.0,1,922,16.075565338134766,22.94182300567627,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,11,payload,3,10,718,717,10,1.0,1,718,16.89250373840332,22.141574478149415,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,12,payload,4,10,756,755,10,1.0,1,756,17.817102432250977,22.251676750183105,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,13,payload,5,10,109,108,10,1.0,1,109,16.120319366455078,23.088118743896484,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,14,payload,6,10,932,931,10,1.0,1,932,15.92624568939209,23.50631151199341,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,15,payload,7,10,468,467,10,1.0,1,468,16.532358169555664,21.1791353225708,1,1
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\USRP_collector\data\branch4_fixed\high_snr\sf10_bw125_fs500_pre32_sw34_r001.bin,16,payload,8,10,89,88,10,1.0,1,89,17.076337814331055,24.06223087310791,1,1
