event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,4112384,4259840,502,518,17,85,85,85,85,657.9889025964144,12.247526407133181,0.3843634656002634,10,125000.0,500000.0,4,4096,4,8192,6,2
1,5611520,5758976,685,701,17,3942,-154,3942,3942,87.70299643278122,3.77940596390593,0.24075719565192616,10,125000.0,500000.0,4,4096,4,8192,6,2
2,7110656,7258112,868,884,17,3635,-461,3635,3635,1224.0269132869537,2.566379179764869,0.41037117082223595,10,125000.0,500000.0,4,4096,4,8192,6,2
3,8617984,8765440,1052,1068,17,256,256,256,256,1936.5435379249702,7.624496391986661,0.45549710174894464,10,125000.0,500000.0,4,4096,4,8192,6,2
4,10117120,10264576,1235,1251,17,4045,-51,4045,4045,2962.081863684251,9.382797704707016,0.7838761234207307,10,125000.0,500000.0,4,4096,4,8192,6,2
5,11616256,11763712,1418,1434,17,3738,-358,3737,3738,1230.3321121193687,0.9127913788455014,0.3221905791839643,10,125000.0,500000.0,4,4096,4,8192,6,2
6,13115392,13271040,1601,1618,18,359,359,358,359,1071.2607044681079,0.7113221226614348,0.2699862712511893,10,125000.0,500000.0,4,4096,4,8192,6,2
7,14614528,14761984,1784,1800,17,51,51,51,51,3060.336428846804,14.797901107649583,0.7371261159051348,10,125000.0,500000.0,4,4096,4,8192,6,2
8,16113664,16261120,1967,1983,17,3840,-256,3840,3840,2019.784995255663,5.927942755490022,0.5536432070122332,10,125000.0,500000.0,4,4096,4,8192,6,2
9,17629184,17768448,2152,2167,16,461,461,461,461,1011.8133809296414,0.937460410649907,0.2303870594348718,10,125000.0,500000.0,4,4096,4,8192,6,2
10,19120128,19267584,2334,2350,17,154,154,154,154,2539.922744966482,11.005075117957515,0.5830430443914887,10,125000.0,500000.0,4,4096,4,8192,6,2
