event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,2326528,2654208,71,79,9,639,639,639,639,0.8524114609430803,4.0165263211721065,0.0035747402118021005,12,125000.0,500000.0,4,16384,4,32768,6,2
1,7340032,7667712,224,232,9,16022,-362,16022,16022,8.937802051840764,6.790804065084681,0.017038596561079148,12,125000.0,500000.0,4,16384,4,32768,6,2
2,9830400,10158080,300,308,9,1197,1197,1197,1197,10.775067049620297,1.7666454421453723,0.01245288185667557,12,125000.0,500000.0,4,16384,4,32768,6,2
3,14843904,15171584,453,461,9,261,261,261,261,13.094257995906649,5.22947015326156,0.017918599310264852,12,125000.0,500000.0,4,16384,4,32768,6,2
