method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,8,0.11428571428571428,0,0,0.5147708000113198,7.353868571590283,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,8,0.11428571428571428,0,0,1.1897537999866472,16.996482856952102,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,8,0.11428571428571428,2,2,1.1544166000021505,16.491665714316436,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
lora_information_12,12,70,15,0.21428571428571427,2,9,1.1811771000066074,16.873958571522962,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,8,0.11428571428571428,0,0,0.18838989999494515,2.6912842856420736,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,10,0.14285714285714285,0,2,1.039847700005339,14.854967142933415,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,8,0.11428571428571428,1,1,1.0752765999786789,15.361094285409697,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
lora_information_12,12,70,12,0.17142857142857143,1,5,1.0730920999922091,15.329887142745845,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,5,0.07142857142857142,0,0,0.1921748000131629,2.745354285902327,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,6,0.08571428571428572,0,1,1.0321246999956202,14.744638571366002,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,7,0.1,0,2,1.0461203999948339,14.944577142783341,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
lora_information_12,12,70,13,0.18571428571428572,0,8,1.0068553000164684,14.383647143092405,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
