snr_label,added_snr_db,chip_delta,selected_offset,decisions,fixed_q0_errors,choice_errors,savaux_errors,fixes_vs_fixed_q0,breaks_vs_fixed_q0,mean_gt_to_mean_energy,mean_gt_margin_db,mean_gt_energy_gain_db,gt_energy_improved_symbols,segment_valid_count,mean_head_energy_gain_db,mean_tail_energy_gain_db,mean_total_segment_gain_db,mean_head_tail_coherence_delta,mean_abs_phase_error_reduction_deg
clean,,-1,0,392,27,27,1,0,0,26.599945932745282,5.01868373076412,0.0,0,392,0.0,0.0,0.0,0.0,0.0
clean,,-1,1,392,27,28,1,0,1,26.63191257586786,5.025184860430032,0.005474462060019422,210,392,0.05413391492041516,0.0,0.005474462060019065,0.0005282247495095838,0.46166936336989634
clean,,-1,2,392,27,27,1,0,0,26.62935708488966,5.029162428669678,0.006486022242156527,210,392,0.07124696602791973,0.0,0.006486022242155993,3.55859448701815e-05,-0.5929880581862356
clean,,-1,3,392,27,29,1,0,2,26.617574571823482,5.022839369781564,0.003941387388480922,202,392,0.10174563048933057,0.0,0.00394138738848011,0.0005127407861587041,-0.2849850714620868
clean,,0,0,392,27,27,1,0,0,26.599945932745282,5.01868373076412,0.0,0,392,0.0,0.0,0.0,0.0,0.0
clean,,0,1,392,27,27,1,1,1,26.578139783604893,5.019778306301454,-0.0036699621520412695,174,392,0.0,-0.02738483904372002,-0.003669962152040681,0.00043138545973313335,0.08332783520130864
clean,,0,2,392,27,28,1,0,1,26.518170050194218,5.003709710255495,-0.0114851999365371,145,392,0.0,0.001359066866212482,-0.011485199936536968,1.684131405651309e-05,-0.1551457088934479
clean,,0,3,392,27,28,1,0,1,26.524161946499554,5.010110327287887,-0.007354618775440461,162,392,0.0,-0.00654590518870675,-0.007354618775440821,2.280912322455632e-05,-0.22747139140592007
clean,,1,0,392,27,27,1,0,0,26.599945932745282,5.01868373076412,0.0,0,392,0.0,0.0,0.0,0.0,0.0
clean,,1,1,392,27,26,1,1,0,26.58931892612154,5.014646410409179,0.0002088566419063171,193,392,0.0,-0.009360104214434886,0.0002088566419065805,-0.0002710536425611539,-0.4933847473599194
clean,,1,2,392,27,27,1,1,1,26.607550121803982,5.019303464395996,0.000885120031972248,200,392,0.0,-0.06794347865459033,0.0008851200319713603,8.776822934254805e-05,0.3682264379266154
clean,,1,3,392,27,27,1,1,1,26.623548925136017,5.022224650051338,0.007232124455626118,206,392,0.0,-0.06297518761402006,0.007232124455626025,0.00014724544683232177,-0.0040066391826341675
-6,-6.0,-1,0,7840,5961,5961,621,0,0,5.303885118006109,-2.475712651324835,0.0,0,7840,0.0,0.0,0.0,0.0,0.0
-6,-6.0,-1,1,7840,5961,5969,621,58,66,5.308692783109628,-2.4729854081560934,0.0038314395048338412,4031,7840,0.03032787802073826,0.0,0.003831439504836959,0.0006565371260836281,0.2882589773283727
-6,-6.0,-1,2,7840,5961,5978,621,60,77,5.308952554968341,-2.4708111800558545,0.005817301875214851,4061,7840,0.016448265122212077,0.0,0.005817301875216366,0.000165362161212828,-0.0385548865379467
-6,-6.0,-1,3,7840,5961,5970,621,54,63,5.306994187380789,-2.4755329677837996,0.0023191844981919605,3971,7840,-0.035249979534181866,0.0,0.0023191844981925204,0.0007330481904501585,-0.03236854344616803
-6,-6.0,0,0,7840,5961,5961,621,0,0,5.303885118006109,-2.475712651324835,0.0,0,7840,0.0,0.0,0.0,0.0,0.0
-6,-6.0,0,1,7840,5961,5966,621,61,66,5.298749221336755,-2.4801790183940136,-0.004113910365727221,3815,7840,0.0,-0.012207236892936464,-0.004113910365725349,-4.190177001038332e-05,-0.141261461700187
-6,-6.0,0,2,7840,5961,5970,621,61,70,5.290646387351334,-2.4886874732055793,-0.011347660534678393,3670,7840,0.0,-0.008814115249810498,-0.01134766053467698,-0.000551847552495022,-0.21999733706275065
-6,-6.0,0,3,7840,5961,5976,621,51,66,5.292441066987782,-2.484487969195379,-0.008361111306040555,3688,7840,0.0,-0.012772197290296862,-0.00836111130603981,-0.00048121479975028573,-0.30267803061602183
-6,-6.0,1,0,7840,5961,5961,621,0,0,5.303885118006109,-2.475712651324835,0.0,0,7840,0.0,0.0,0.0,0.0,0.0
-6,-6.0,1,1,7840,5961,5964,621,56,59,5.3015388883043135,-2.4773010012480787,-0.0014070965007970588,3892,7840,0.0,-0.02087285009233482,-0.0014070965007987523,-0.00014159755634805604,-0.14850253410716985
-6,-6.0,1,2,7840,5961,5985,621,48,72,5.302692397131666,-2.4777599774557353,-0.002092585257196598,3882,7840,0.0,-0.009605487183751697,-0.002092585257201411,3.134666242495235e-05,-0.09147589691057056
-6,-6.0,1,3,7840,5961,5969,621,56,64,5.3072491369217385,-2.4740132168023075,0.002337388554340322,3960,7840,0.0,0.001637068198034712,0.0023373885543399907,-0.00021402971597114098,-0.11815941508620935
