method,packet_index,symbol_index,gt_bin,savaux_bin,proposal_bin,savaux_correct,proposal_correct,savaux_margin_db,savaux_consistency,proposal_consistency,consistency_margin_db,color_mismatch,accepted,dataset,noise_mode,snr_db,seed,lora_guard_segments
information_8_wrap_lora_guarded,0,5,468,337,338,0,0,0.19057848266994581,0.23248854539478023,0.22790976288227255,-0.08638630977444496,0.5309211249150965,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,0,7,713,128,127,0,0,0.09261868385644884,0.24435489299435714,0.23972669006322617,-0.08304650752134525,0.6676881939307318,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,0,14,478,876,823,0,0,0.38221655513154873,0.3373748316721612,0.3145821525014987,-0.30378601149843804,0.36723537369977777,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,0,19,510,510,313,1,0,0.3464529947473824,0.6769361331562578,0.4159439730832664,-2.1151286039982713,0.2036976795989863,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,0,20,860,117,632,0,0,0.20568947754349964,0.4217722401531765,0.2334153766999005,-2.5694852965871218,0.375670337875515,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,0,22,629,963,952,0,0,0.12127015806392082,0.2145410490125713,0.25483440716340366,0.7474766527467724,0.377941363149082,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,0,32,749,179,749,0,1,0.04804073754394563,0.34001730358338567,0.2893371995559015,-0.7009674529521344,0.9690894772838458,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,1,40,468,576,346,0,0,0.36888117070615567,0.5477081420226481,0.3769160108376392,-1.6230461100260818,0.18356832805117723,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,1,53,889,869,438,0,0,0.11991169511580002,0.3949045079360861,0.4184055513274256,0.2510534668869331,0.34411835325675855,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,1,55,860,349,111,0,0,0.006760660807561868,0.3145718942376578,0.1981153074036392,-2.008018848639826,0.27052894013530504,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,1,60,720,955,720,0,1,0.15945987213227444,0.24159993114125378,0.15977330975904266,-1.7959257432423152,0.8876661881063193,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,1,64,610,945,610,0,1,0.10193968240906409,0.19741926232261142,0.40199656149830776,3.088328135474737,0.418370358956619,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,1,67,768,115,328,0,0,0.3444334269684731,0.4200302881991393,0.23219652576688476,-2.5742489097711445,0.21659923636481154,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,42,8
information_8_wrap_lora_guarded,0,8,865,760,865,0,1,0.20883981880011201,0.2424691644792824,0.42185351940877663,2.405051607224038,0.3753221877762936,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,0,25,720,716,715,0,0,0.3097224299461638,0.26459924123353895,0.26009774312928796,-0.07452010632989682,0.8198419430204419,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,0,32,749,125,749,0,1,0.012920601840105541,0.1459314667689371,0.4157740943774746,4.547084786457624,0.9894277304783328,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,0,34,934,529,934,0,1,0.3456837760196734,0.32900658958177265,0.478701146022226,1.628598707939184,0.2742536015518477,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,1,36,826,893,894,0,0,0.00861958528677222,0.1246567800690883,0.12399200110907428,-0.02322235568977945,1.1630720207886012,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,1,41,89,158,734,0,0,0.12609187183928067,0.30710008160699764,0.33093333368642663,0.3246058238440128,0.2984438201531355,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,1,43,865,990,865,0,1,0.375005440959138,0.4736655844728972,0.6547667423454252,1.4061478115534038,0.2912204938647647,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,1,46,1023,519,192,0,0,0.009200949742587821,0.3285711167724527,0.32720378678675455,-0.018110626834105546,0.16818625469942924,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,1,61,314,120,314,0,1,0.0030433272876714008,0.13325884555183332,0.7792979635054241,7.670074947558421,0.6727710818020332,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,1,62,602,607,606,0,0,0.08773966578386558,0.2828764342666539,0.28485713250939215,0.030303292161307,0.3522522950512366,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,1,67,768,384,847,0,0,0.3317051576746821,0.47585994096094714,0.36300783649188545,-1.1756314583771825,0.21500024996331346,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,43,8
information_8_wrap_lora_guarded,0,1,826,1000,1012,0,0,0.11325494249390589,0.3493201493285655,0.42647248468771204,0.866673792923987,0.6109083201771258,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_wrap_lora_guarded,0,11,1023,1021,1023,0,1,0.43925952739629814,0.2958530046827044,0.0650389961186876,-6.579021550565961,0.9011371646248895,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_wrap_lora_guarded,0,17,656,581,580,0,0,0.09871268588853324,0.23859715278985633,0.23537051900232428,-0.05913191894269309,0.6239211760494796,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_wrap_lora_guarded,0,27,602,338,328,0,0,0.08730191438159347,0.3674138582114282,0.5480656670415494,1.7367706392312168,0.254665233091453,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_wrap_lora_guarded,0,29,610,861,862,0,0,0.21389914030350465,0.2517750915936568,0.24267224853915034,-0.15992648415943173,1.0628529215502573,0,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_wrap_lora_guarded,1,50,267,700,267,0,1,0.08252578311030903,0.17388370275543327,0.7098522833925213,6.109091040006192,0.7592332410745047,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_wrap_lora_guarded,1,59,874,1001,562,0,0,0.47421536118696267,0.37990320159959096,0.5635483797391696,1.7125825193128486,0.30726558276865906,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_wrap_lora_guarded,1,64,610,781,610,0,1,0.12891871597460336,0.15799176425534342,0.4404224813542465,4.452350306369732,0.6045310301420963,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
information_8_wrap_lora_guarded,1,68,581,723,528,0,0,0.43864703772156394,0.28696136134862354,0.2959039234976373,0.1332729969538498,0.6252125400953917,1,0_0_0_10_14_16,offpacket_bootstrap,-24.0,44,8
