packet_index,event_index,success,total_payload,correct_count,final_error_rate,initial_slope_pi,final_slope_pi,initial_line_r2,final_line_r2,preamble_anchors,header_anchors,header_method,header_rescue_score,header_rescue_visited,preamble_line_slope_pi,header_line_slope_pi,hough_line_slope_pi,hough_score,preamble_line_r2,header_line_r2,refinement_rounds,round0_acc,round1_acc,round2_acc,payload_len,gt_bins_available
1,1,1,35,2,0.9429,-0.0650,-0.0650,0.9954,0.9954,16,8,session_header_prior,-0.6331,32,-0.0008,0.0098,-0.0650,0.9474,-0.0018,0.2118,1,0.0571,,,33,35
2,2,1,35,1,0.9714,-0.1036,-0.1036,0.9989,0.9989,16,8,session_header_prior,0.0150,32,-0.0038,-0.0346,-0.1036,0.9434,0.0821,0.6599,1,0.0286,,,33,35
3,3,1,35,0,1.0000,-0.1219,-0.1219,0.9987,0.9987,16,8,session_header_prior,-0.3025,32,-0.0045,-0.0110,-0.1219,0.9468,0.1505,0.2512,1,0.0000,,,33,35
5,5,1,35,9,0.7429,-0.1060,-0.1060,0.9989,0.9989,16,8,argmax,,,-0.0050,-0.0306,-0.1060,0.9475,0.0479,0.0507,1,0.2571,,,33,35
6,6,1,35,5,0.8571,-0.1018,-0.1018,0.9992,0.9992,16,8,argmax,,,-0.0045,-0.0517,-0.1018,0.9448,0.0739,0.7116,1,0.1429,,,33,35
