dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_stage1_top40_raw,gt_in_actual_viterbi_candidates_raw,stage1_topk_size,actual_viterbi_candidate_count,effective_top_l,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi,category,gt_local_score,selected_local_score,local_score_delta_gt_minus_selected,lock_active
0_0_0_10_14_16,-26.0,42,1,0,222,265,664,221,264,663,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.6659915392781584,0.9043999694392231,-0.23840843016106472,0
0_0_0_10_14_16,-26.0,42,1,1,826,826,826,825,825,825,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.009573750517835,1.009573750517835,0.0,1
0_0_0_10_14_16,-26.0,42,1,2,922,922,922,921,921,921,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.9963206674047281,0.9963206674047281,0.0,1
0_0_0_10_14_16,-26.0,42,1,3,718,474,683,717,473,682,0,0,40,16,16,0,0,2,3.6039356410736343e-16,D_stage1_top40_miss,,0.9328050204275725,,0
0_0_0_10_14_16,-26.0,42,1,4,107,624,624,106,623,623,1,0,40,4,16,0,1,2,3.6039356410736343e-16,E3_lock_or_high_conf_removed_gt,,0.9355706645729149,,1
0_0_0_10_14_16,-26.0,42,1,5,468,468,468,467,467,467,1,1,40,4,16,1,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.9284987429424948,0.9284987429424948,0.0,1
0_0_0_10_14_16,-26.0,42,1,6,89,237,89,88,236,88,1,1,40,16,16,0,0,2,3.6039356410736343e-16,B_savaux_wrong_phase_rescue,0.9198655675016407,0.9198655675016407,0.0,0
0_0_0_10_14_16,-26.0,42,1,7,713,998,998,712,997,997,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.7595890723074337,0.9435700553451274,-0.18398098303769372,0
0_0_0_10_14_16,-26.0,42,1,8,865,448,448,864,447,447,1,0,40,16,16,0,0,2,3.6039356410736343e-16,E0_gt_in_top40_but_not_actual_candidates,,0.8930900252315055,,0
0_0_0_10_14_16,-26.0,42,1,9,492,740,740,491,739,739,1,0,40,16,16,0,0,2,3.6039356410736343e-16,E0_gt_in_top40_but_not_actual_candidates,,0.893163825025635,,0
0_0_0_10_14_16,-26.0,42,1,10,765,765,765,764,764,764,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.9462231164962692,0.9462231164962692,0.0,0
0_0_0_10_14_16,-26.0,42,1,11,1023,1023,1023,1022,1022,1022,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0092021641204534,1.0092021641204534,0.0,1
0_0_0_10_14_16,-26.0,42,1,12,597,157,157,596,156,156,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.738466775817279,0.947308035853522,-0.20884126003624293,0
0_0_0_10_14_16,-26.0,42,1,13,562,562,562,561,561,561,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.964617248862525,0.964617248862525,0.0,0
0_0_0_10_14_16,-26.0,42,1,14,478,478,478,477,477,477,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.9515300262815274,0.9515300262815274,0.0,0
0_0_0_10_14_16,-26.0,42,1,15,267,728,587,266,727,586,0,0,40,16,16,0,0,2,3.6039356410736343e-16,D_stage1_top40_miss,,0.9554701408781222,,0
0_0_0_10_14_16,-26.0,42,1,16,917,917,917,916,916,916,1,1,40,4,16,1,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.9297577103900181,0.9297577103900181,0.0,1
0_0_0_10_14_16,-26.0,42,1,17,656,656,656,655,655,655,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0111566642212992,1.0111566642212992,0.0,1
0_0_0_10_14_16,-26.0,42,1,18,889,889,889,888,888,888,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.9566575650454728,0.9566575650454728,0.0,0
0_0_0_10_14_16,-26.0,42,1,19,510,641,641,509,640,640,0,0,40,16,16,0,0,2,3.6039356410736343e-16,D_stage1_top40_miss,,0.9084342897326405,,0
0_0_0_10_14_16,-26.0,42,1,20,860,173,173,859,172,172,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.8187471923114147,0.8900386016213203,-0.07129140930990563,0
