trial_id,packet_id,reference_id,esn0_db,seed,sync_status,estimate_available,strict_gate,decoder_aware_gate,extra_decoder_candidate,gate_failure_reasons,strict_crc_accept,decoder_aware_crc_accept,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,ridge_top_k,ridge_packet_delivered,ridge_crc_accept,ridge_crc_false_delivery,ridge_rescue_over_decoder_aware,ridge_regression_vs_decoder_aware,ridge_candidate_count,ridge_decoder_attempts,ridge_selected_candidate,ridge_selected_sfd_peak_rank,ridge_selected_delta_cfo_bins,ridge_selected_delta_payload_samples,ridge_soft_hamming_enabled,ridge_soft_packet_delivered,ridge_soft_crc_accept,ridge_soft_crc_false_delivery,ridge_soft_rescue_over_hard_ridge,ridge_soft_regression_vs_hard_ridge,ridge_soft_decoder_attempts,ridge_soft_selected_candidate,soft_oracle_packet_delivered,strict_crc_false_delivery,decoder_aware_crc_false_delivery,extra_candidate_crc_rescue,extra_candidate_crc_reject,extra_candidate_crc_false_accept,fec_corrected_packet,current_all_symbol_errors,sync_ms,current_decode_ms,oracle_decode_ms,ridge_list_generation_ms,ridge_decode_operational_ms,ridge_soft_decode_operational_ms,soft_oracle_decode_ms,strict_modeled_decode_ms,decoder_aware_modeled_decode_ms,extra_modeled_decode_ms,signal_power,added_noise_power,current_decode_status,current_header_valid,current_crc_valid,current_payload_exact,current_payload_hex,current_header_symbols_decoded,current_payload_symbols_decoded,current_header_symbol_errors,current_payload_symbol_errors,oracle_decode_status,oracle_header_valid,oracle_crc_valid,oracle_payload_exact,oracle_payload_hex,oracle_header_symbols_decoded,oracle_payload_symbols_decoded,oracle_header_symbol_errors,oracle_payload_symbol_errors,frame_sync_valid,netid_valid,noisy_cfo_total_bins,noisy_payload_start_sample
exp0_000000_rxg20_0_fulltrim:16:20260821,exp0_000000_rxg20_0_fulltrim,0,16.0,20260821,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,1,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,26975.846000000274,375.796100000116,359.0756000003239,74.13180000003194,377.69550000029994,0.0005000001692678779,0.00030000046535860747,375.796100000116,375.796100000116,0.0,6.153250447488309e-08,6.330886680054224e-06,ok,1,1,1,4044332211000100580000b9883a2d118aa87066a99f804826e75229af78563412,8,56,0,8,ok,1,1,1,4044332211000100580000b9883a2d118aa87066a99f804826e75229af78563412,8,56,0,8,1,1,-128.7137779546145,673551
exp0_000002_rxg20_0_fulltrim:16:20260821,exp0_000002_rxg20_0_fulltrim,2,16.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,4,1,1,0,0,0,4,1,0,2,0.0,0,0,0,0,0,0,1,0,,0,0,0,1,0,0,1,8,27014.53179999953,404.1783000002397,369.63310000010097,84.35630000076344,428.49200000000565,0.00030000046535860747,0.00019999970390927047,0.0,404.1783000002397,404.1783000002397,2.9434755784562603e-08,3.028449839924876e-06,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,0,8,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,0,8,0,1,-129.9341710849709,673544
exp0_000003_rxg20_0_fulltrim:16:20260821,exp0_000003_rxg20_0_fulltrim,3,16.0,20260821,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,1,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,27576.4793999997,373.535499999889,404.253400000016,87.21789999981411,493.2693000000654,0.0006000000212225132,0.00019999970390927047,373.535499999889,373.535499999889,0.0,5.3735255547964695e-08,5.528652157117742e-06,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412,8,56,0,8,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412,8,56,0,8,1,1,-128.8705622926488,673552
exp0_000004_rxg20_0_fulltrim:16:20260821,exp0_000004_rxg20_0_fulltrim,4,16.0,20260821,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,1,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,27190.565200000492,342.16250000008586,357.463800000005,84.92999999998574,440.0834999996732,0.0006000000212225132,0.00039999940781854093,342.16250000008586,342.16250000008586,0.0,6.126035586516529e-08,6.3028861619059495e-06,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,8,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,8,1,1,-128.857859394318,673552
exp0_000005_rxg20_0_fulltrim:16:20260821,exp0_000005_rxg20_0_fulltrim,5,16.0,20260821,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,1,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,27591.249199999766,379.85209999988,357.472400000006,83.87320000019827,467.2052000005351,0.0008000006346264854,0.00019999970390927047,379.85209999988,379.85209999988,0.0,7.242874646077204e-08,7.451966893509049e-06,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,8,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,8,1,1,-128.738927424883,673551
exp0_000006_rxg20_0_fulltrim:16:20260821,exp0_000006_rxg20_0_fulltrim,6,16.0,20260821,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,2,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,27664.921399999912,440.86460000016814,564.3595999999889,126.19660000018484,842.1406000006755,0.0005000001692678779,0.00020000061340397224,440.86460000016814,440.86460000016814,0.0,7.561376789538686e-08,7.779663774176745e-06,ok,1,1,1,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a478563412,8,56,0,8,ok,1,1,1,404433221100010058060050b704e1aeae8c5d1c65e040aec124ce72a478563412,8,56,0,8,1,1,-128.77986055310745,673552
exp0_000007_rxg20_0_fulltrim:16:20260821,exp0_000007_rxg20_0_fulltrim,7,16.0,20260821,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,1,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,27370.437099999435,379.25059999997757,388.1455000000642,85.44549999987794,412.1867000003476,0.00030000046535860747,0.00019999970390927047,379.25059999997757,379.25059999997757,0.0,7.449895515307498e-08,7.664964182452212e-06,ok,1,1,1,40443322110001005807003d9b8e75346b7dde1ef9483e616e436db67278563412,8,56,0,8,ok,1,1,1,40443322110001005807003d9b8e75346b7dde1ef9483e616e436db67278563412,8,56,0,8,1,1,-128.75864822033816,673552
exp0_000008_rxg20_0_fulltrim:16:20260821,exp0_000008_rxg20_0_fulltrim,8,16.0,20260821,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,1,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,27843.24909999941,445.47740000052727,580.5614000000787,155.4403000000093,907.4688999999125,0.001100000190490391,0.00019999970390927047,445.47740000052727,445.47740000052727,0.0,6.982488910305618e-08,7.18406416464396e-06,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,8,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,0,8,1,1,-128.72660663495046,673552
exp0_000000_rxg20_0_fulltrim:16:20260822,exp0_000000_rxg20_0_fulltrim,0,16.0,20260822,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,1,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,23993.014900000162,508.35410000036063,599.7167999994417,110.8064000000013,616.2650000005669,0.0008000006346264854,0.00030000046535860747,508.35410000036063,508.35410000036063,0.0,6.153250447488309e-08,6.330886680054224e-06,ok,1,1,1,4044332211000100580000b9883a2d118aa87066a99f804826e75229af78563412,8,56,0,8,ok,1,1,1,4044332211000100580000b9883a2d118aa87066a99f804826e75229af78563412,8,56,0,8,1,1,-128.71246679368556,673552
exp0_000002_rxg20_0_fulltrim:16:20260822,exp0_000002_rxg20_0_fulltrim,2,16.0,20260822,ok,1,1,1,0,,1,1,1,1,1,4,1,1,0,0,0,4,1,0,2,0.0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,8,30093.16360000048,643.645899999683,612.022700000125,112.63050000070507,556.6055000008419,0.0007999997251317836,0.0006999998731771484,643.645899999683,643.645899999683,0.0,2.9434755784562603e-08,3.028449839924876e-06,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,0,8,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,0,8,1,1,-129.93421371868095,673544
