packet_index,event_index,frame_index,payload_symbol_index,candidate_label,candidate_kind,candidate_value,mode,sf,os_factor,cfo_int,cfo_frac,sto_frac,sfo_hat,csv_raw_fft_bin,selected_raw_fft_bin,selected_signed_fft_bin,selected_amp,selected_power,selected_energy_ratio,target_raw_fft_bin,target_signed_fft_bin,target_is_selected_bin,target_real,target_imag,target_amp,target_power,target_phase,target_phase_unwrap,phase_linear_fit,phase_residual,target_energy_ratio,target_bin_rank,amp_vs_selected_db,power_vs_selected_db,total_fft_energy,selected_csv_bin_match,group_phase_slope_pi_per_symbol,group_linear_fit_r2,group_linear_fit_rmse_pi
1,1,0,0,selected,selected,0,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,222,222,1,-7.0573930740356445,-0.3015195429325104,7.063831186843052,49.89772033691406,-3.098894693806952,-3.098894693806952,-2.33021223405575,-0.768682459751202,0.7391806273439215,1,0.0,0.0,67.5040964157979,1,-0.9126946414134424,0.9998042888122004,0.12896620349681098
1,1,0,0,off+1,offset,1,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,223,223,0,-0.4499182105064392,-0.21697118878364563,0.49950264554605206,0.24950291216373444,-2.692248979500202,-2.692248979500202,-0.11897129254599989,-2.573277686954202,0.0036961151309529055,3,-23.010050381401847,-23.01005085572472,67.5040964157979,1,-0.140694449158195,0.824088347195107,0.6565041372547532
1,1,0,0,off-1,offset,-1,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,221,221,0,-0.03975915536284447,-0.9152892231941223,0.9161523631637188,0.8393352627754211,-1.6142079336894688,-1.6142079336894688,4.571950988615596,0.09702638487452145,0.012433841905022412,2,-17.74145211282088,-17.74145235188832,67.5040964157979,1,-0.020352170167065756,0.027719355302506576,1.2173489026159885
1,1,0,0,off+4,offset,4,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,226,226,0,-0.1814902126789093,0.2688021957874298,0.32433519352419876,0.10519333183765411,2.164670525871517,2.164670525871517,1.6729157494602813,0.4917547764112357,0.001558325159849645,7,-26.760924708230117,-26.76092493646644,67.5040964157979,1,-0.04013348126305722,0.23281394331682248,0.7357881277168294
1,1,0,0,off-4,offset,-4,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,218,218,0,0.12941278517246246,0.2254522442817688,0.2599545795283866,0.06757637858390808,1.04970323234215,1.04970323234215,2.257225711058368,-1.2075224787162178,0.0010010707819517344,18,-28.682856783363743,-28.68285790352749,67.5040964157979,1,0.06501115292995212,0.5378920191500514,0.6085722400214298
1,1,0,0,off+16,offset,16,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,238,238,0,0.001096877153031528,-0.0996071845293045,0.09961322376744847,0.009922793135046959,-1.5597847434043886,-1.5597847434043886,2.797103455285066,1.9262971084901317,0.00014699542193597512,557,-37.01446632973527,-37.01446767070523,67.5040964157979,1,-0.1948095490591622,0.9000334050600229,0.6557049500922651
1,1,0,0,off+64,offset,64,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,286,286,0,-0.003761772532016039,-0.015919234603643417,0.01635765762413642,0.0002675729338079691,-1.8028433094813563,-1.8028433094813563,2.2723040727595443,2.208037924938686,3.963802909971984e-06,1011,-52.7063839583942,-52.70638524087451,67.5040964157979,1,0.24901347719203112,0.8036174666632019,1.2432248544316948
1,1,0,0,off+256,offset,256,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,478,478,0,0.007912547327578068,-0.01593881845474243,0.017794784037588114,0.00031665427377447486,-1.1100067967930027,-1.1100067967930027,0.6285603570649193,-1.7385671538579222,4.690889747253451e-06,1009,-51.97495180328367,-51.9749535065999,67.5040964157979,1,0.0280967514834575,0.14166064004325862,0.6984914753120586
1,1,0,0,fix0000,fixed,0,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,0,0,0,-0.036523398011922836,0.0881168469786644,0.09538625332718906,0.009098537266254425,1.9637298493005406,1.9637298493005406,7.084578524801378,1.1623366316787493,0.00013478496490362777,582,-37.39109042662768,-37.391091263599215,67.5040964157979,1,-0.0020610967380345407,0.0006041358666003527,0.8466422276700555
1,1,0,0,fix0256,fixed,256,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,256,256,0,-0.0759798139333725,-0.039127688854932785,0.08546290517223444,0.007303908001631498,-2.6660371050305707,-2.6660371050305707,1.4657161237259857,2.15143207842303,0.0001081994780974829,664,-38.345253199055676,-38.345254103011214,67.5040964157979,1,-0.07798593564447656,0.510562353086955,0.7711531989800565
1,1,0,0,fix0512,fixed,512,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,512,512,0,-0.07857181131839752,-0.16533757746219635,0.18305748838799696,0.03351004421710968,-2.0144245811539583,-2.0144245811539583,-7.788087477785512,-0.5095224105480336,0.0004964149732588283,126,-31.729056248434983,-31.72905703691952,67.5040964157979,1,0.24023598289149223,0.9238755736586985,0.6964555715695574
1,1,0,0,fix0768,fixed,768,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,222,222,222,7.063831186843052,49.89772033691406,0.7391806273439215,768,-256,0,0.09281500428915024,0.119357630610466,0.15119811178099887,0.02286086603999138,0.9098508279686055,0.9098508279686055,3.244339609080867,-2.3344887811122614,0.0003386589444761648,260,-33.3898788850481,-33.3898802580401,67.5040964157979,1,-0.24874895253212898,0.9336405039742325,0.6697659176807667
1,1,0,1,selected,selected,0,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,826,-198,1,6.045199394226074,2.991983652114868,6.74510206672026,45.49640655517578,0.4595877892856269,-5.823597517893959,-5.197527014490991,-0.6260705034029685,0.6958875678642171,1,0.0,0.0,65.37896156818988,1,-0.9126946414134424,0.9998042888122004,0.12896620349681098
1,1,0,1,off+1,offset,1,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,827,-197,0,0.35046011209487915,-0.6293455958366394,0.7203458677389146,0.5188981294631958,-1.0626982786503432,-1.0626982786503432,-0.560975940422248,-0.5017223382280952,0.007936775332871997,2,-19.428949132084952,-19.428949909678682,65.37896156818988,1,-0.140694449158195,0.824088347195107,0.6565041372547532
1,1,0,1,off-1,offset,-1,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,825,-199,0,-0.07002592086791992,-0.46745264530181885,0.4726685997536416,0.22341559827327728,-1.719493838649709,-1.719493838649709,4.5080127603341325,0.055678708195745295,0.0034172399333730025,4,-23.088635470259256,-23.08863605005,65.37896156818988,1,-0.020352170167065756,0.027719355302506576,1.2173489026159885
1,1,0,1,off+4,offset,4,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,830,-194,0,0.146921768784523,0.27461931109428406,0.31145107508029574,0.09700175374746323,1.0795410826010248,1.0795410826010248,1.5468326995612771,-0.46729161696025234,0.0014836845281840543,8,-26.711973829238858,-26.711975099267665,65.37896156818988,1,-0.04013348126305722,0.23281394331682248,0.7357881277168294
1,1,0,1,off-4,offset,-4,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,822,-202,0,-0.15853969752788544,0.0008938097162172198,0.15854221705287905,0.02513563446700573,3.1359549473206503,3.1359549473206503,2.461464271504508,0.6744906758161422,0.00038446059503085574,270,-32.57687197442716,-32.576872440617784,65.37896156818988,1,0.06501115292995212,0.5378920191500514,0.6085722400214298
1,1,0,1,off+16,offset,16,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,842,-182,0,0.2404785007238388,0.06327896565198898,0.2486647075971396,0.06183413043618202,0.2573048517044779,0.2573048517044779,2.1850912071116615,-1.9277863554071835,0.0009457802472388519,37,-28.667487491039733,-28.667488383589887,65.37896156818988,1,-0.1948095490591622,0.9000334050600229,0.6557049500922651
1,1,0,1,off+64,offset,64,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,890,-134,0,-0.14921757578849792,0.0470656119287014,0.15646423473247564,0.024481061846017838,2.8360534192874396,-3.4471318878921466,3.054602983350879,-0.2185495640634387,0.00037444861861998574,278,-32.69146890928659,-32.69146845060427,65.37896156818988,1,0.24901347719203112,0.8036174666632019,1.2432248544316948
1,1,0,1,off+256,offset,256,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,58,58,0,-0.10060959309339523,0.004144834354519844,0.10069493470003826,0.010139468125998974,3.1004187284461118,-3.1827665787334745,0.7168289051150876,2.383589823331025,0.00015508762884561215,585,-36.519618023748336,-36.51961921783624,65.37896156818988,1,0.0280967514834575,0.14166064004325862,0.6984914753120586
1,1,0,1,fix0000,fixed,0,corrected_wrong_bin,10,4,-24,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445,826,826,-198,6.74510206672026,45.49640655517578,0.6958875678642171,0,0,0,-0.031292952597141266,-0.01531084906309843,0.03483778094655158,0.0012136708246544003,-2.686562064168763,3.596623243010823,7.078103398430831,2.801705151759579,1.8563629576596268e-05,959,-45.73876083443817,-45.73876184017767,65.37896156818988,1,-0.0020610967380345407,0.0006041358666003527,0.8466422276700555
