packet_index,event_index,frame_index,candidate_label,candidate_kind,candidate_value,is_selected_baseline,payload_symbol_count,target_selected_hit_count,target_selected_hit_rate,csv_selected_mismatch_count,phase_slope_pi_per_symbol,linear_fit_r2,linear_fit_rmse_pi,residual_std_pi,residual_peak_to_peak_pi,target_amp_mean,target_amp_std,target_amp_cv,target_energy_ratio_mean,target_energy_ratio_median,target_bin_rank_mean,target_bin_rank_median,target_bin_rank_min,target_bin_rank_max,amp_vs_selected_db_mean,power_vs_selected_db_mean,selected_energy_ratio_mean,selected_amp_mean,cfo_frac,sto_frac,sfo_hat
1,1,0,fix0000,fixed,0,0,35,0,0.0,0,-0.0020610967380345407,0.0006041358666003527,0.8466422276700555,0.5372888544890373,1.9326188914194382,0.10828312459532388,0.08492935397700709,0.7843267757040203,0.0002773954892612519,0.00013478496490362777,483.4,469.0,3,1017,-39.20291169057864,-39.20291175712464,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,fix0256,fixed,256,0,35,0,0.0,0,-0.07798593564447656,0.510562353086955,0.7711531989800565,0.626448138618083,1.98210031478841,0.09078663060403097,0.050136116439467776,0.5522411846975375,0.00015895778407940114,0.00010143981787475618,534.8857142857142,599.0,25,973,-39.552792058327555,-39.55279221122063,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,fix0512,fixed,512,0,35,0,0.0,0,0.24023598289149223,0.9238755736586985,0.6964555715695574,0.5195999655518658,1.847150535751188,0.10455011360858167,0.05487195776742251,0.5248388153154385,0.00020736378913099003,0.00012871505318912376,448.85714285714283,382.0,26,1005,-38.46260550867074,-38.462605600942226,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,fix0768,fixed,768,0,35,0,0.0,0,-0.24874895253212898,0.9336405039742325,0.6697659176807667,0.5581861166694674,1.8275257327182355,0.10436521488485757,0.07471766850122248,0.7159250194967339,0.00024350232993719919,0.00012406607459366004,513.5428571428571,437.0,9,1017,-39.313836940964634,-39.313837125819376,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,off+1,offset,1,0,35,0,0.0,0,-0.140694449158195,0.824088347195107,0.6565041372547532,0.5180036735565878,1.6814351519552129,0.5319381675958994,0.25089262631473763,0.47165750005992185,0.00509811053081498,0.003753222431499632,25.6,3.0,2,366,-24.00242348131862,-24.002423627627184,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,off+16,offset,16,0,35,0,0.0,0,-0.1948095490591622,0.9000334050600229,0.6557049500922651,0.5547057273443162,1.8964174267421916,0.09408749374636287,0.05131945802627631,0.545443990299297,0.00017069438689479356,0.00010361605963011422,506.85714285714283,499.0,37,996,-39.15397056677205,-39.15397066699404,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,off+256,offset,256,0,35,0,0.0,0,0.0280967514834575,0.14166064004325862,0.6984914753120586,0.5638368280389814,1.9587944326066649,0.06268508771399145,0.026637623153736644,0.4249435412019224,6.860022749185034e-05,6.964762314386487e-05,689.0,625.0,282,1009,-42.366240705407606,-42.36624087746566,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,off+4,offset,4,0,35,0,0.0,0,-0.04013348126305722,0.23281394331682248,0.7357881277168294,0.5847793170687504,1.9201782814602901,0.1721765150331222,0.0839881393436312,0.4878025282802019,0.0005419748694711678,0.00031002055790515246,219.9142857142857,166.0,5,601,-33.614859905739515,-33.61486003828865,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,off+64,offset,64,0,35,0,0.0,0,0.24901347719203112,0.8036174666632019,1.2432248544316948,0.5664119970114918,1.8619265808393963,0.0933473262062638,0.047304219723925865,0.5067549510673789,0.00016210530710565154,0.00012114683156940254,496.74285714285713,464.0,20,1011,-39.50847768765748,-39.508477745770676,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,off-1,offset,-1,0,35,0,0.0,0,-0.020352170167065756,0.027719355302506576,1.2173489026159885,0.5692101623778937,1.969498418490316,0.6374133675375812,0.22068766192846628,0.34622377434758583,0.006713072967774215,0.006136465593776489,3.5142857142857142,2.0,2,43,-21.765236597452503,-21.765236736311188,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
1,1,0,off-4,offset,-4,0,35,0,0.0,0,0.06501115292995212,0.5378920191500514,0.6085722400214298,0.5612120252005136,1.8375358144178404,0.21321041313262282,0.13085935711894103,0.6137568761125324,0.0009181157882529335,0.0005270208482177644,232.17142857142858,87.0,2,983,-32.92316696651158,-32.92316695742746,0.7918576766100929,7.3287468895580945,-0.42916033761813344,-0.04216817378983262,-0.006261318519996445
