dataset,snr_db,seed,packet_count,symbol_count,bank_kind,pattern_count,covariance_source,noise_mode,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas,offpacket_windows,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_16,-23.0,42,2,70,fixed,4,offpacket,offpacket_bootstrap,4.0,4.128794549185423,4.911664053577672,128,0.8857142857142857,10.342857142857142,0.35714285714285715,0.4,0.38571428571428573,0.35714285714285715,0.35714285714285715,0.34285714285714286,0.34285714285714286,0.38571428571428573,0.34285714285714286,0.35714285714285715,0.35714285714285715,1,4,21,0,2,16,0,0,0,0,0,2,1,0,7,2,1,12,0,2,16,1,0,7,0,0,0,1,1,11
0_0_0_10_14_16,-24.0,42,2,70,fixed,4,offpacket,offpacket_bootstrap,4.0,4.128438187477878,4.911490002368435,128,0.8285714285714286,18.02857142857143,0.35714285714285715,0.4142857142857143,0.4,0.35714285714285715,0.38571428571428573,0.4,0.4,0.4,0.4,0.35714285714285715,0.38571428571428573,0,4,21,0,3,17,0,0,0,0,2,4,0,3,9,0,3,13,0,3,17,0,3,9,0,0,0,0,2,11
0_0_0_10_14_16,-25.0,42,2,70,fixed,4,offpacket,offpacket_bootstrap,4.0,4.128128100037449,4.911353170993627,128,0.7428571428571429,29.857142857142854,0.4142857142857143,0.4142857142857143,0.4,0.4142857142857143,0.4142857142857143,0.4142857142857143,0.4,0.4,0.4142857142857143,0.4142857142857143,0.4,0,0,20,1,0,17,0,0,0,0,0,3,0,0,9,1,0,13,1,0,17,0,0,9,0,0,0,1,0,11
