dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,null_bin_count,savaux_bin,savaux_error,gls_offpacket_fixed_bin,gls_offpacket_fixed_error,gls_packet_null_bin,gls_packet_null_error,gls_symbol_null_bin,gls_symbol_null_error
0_0_0_10_14_32,-26.0,42,0,0,8,803,1000,711,1,711,1,711,1,711,1
0_0_0_10_14_32,-26.0,42,0,1,9,711,1000,278,1,278,1,278,1,278,1
0_0_0_10_14_32,-26.0,42,0,2,10,922,1000,922,0,922,0,922,0,922,0
0_0_0_10_14_32,-26.0,42,0,3,11,718,1000,265,1,265,1,265,1,265,1
0_0_0_10_14_32,-26.0,42,0,4,12,107,1000,599,1,599,1,599,1,599,1
0_0_0_10_14_32,-26.0,42,0,5,13,468,1000,546,1,546,1,546,1,546,1
0_0_0_10_14_32,-26.0,42,0,6,14,89,1000,633,1,633,1,633,1,633,1
0_0_0_10_14_32,-26.0,42,0,7,15,713,1000,501,1,501,1,501,1,501,1
0_0_0_10_14_32,-26.0,42,0,8,16,865,1000,171,1,171,1,171,1,171,1
0_0_0_10_14_32,-26.0,42,0,9,17,492,1000,193,1,193,1,193,1,193,1
0_0_0_10_14_32,-26.0,42,0,10,18,765,1002,896,1,896,1,896,1,896,1
0_0_0_10_14_32,-26.0,42,0,11,19,1023,1000,693,1,693,1,693,1,693,1
0_0_0_10_14_32,-26.0,42,0,12,20,597,1000,886,1,886,1,886,1,886,1
0_0_0_10_14_32,-26.0,42,0,13,21,562,1000,262,1,262,1,262,1,262,1
0_0_0_10_14_32,-26.0,42,0,14,22,478,1001,839,1,839,1,839,1,839,1
0_0_0_10_14_32,-26.0,42,0,15,23,267,1000,437,1,437,1,437,1,437,1
0_0_0_10_14_32,-26.0,42,0,16,24,917,1000,984,1,984,1,984,1,984,1
0_0_0_10_14_32,-26.0,42,0,17,25,656,1000,224,1,224,1,224,1,224,1
0_0_0_10_14_32,-26.0,42,0,18,26,889,1000,553,1,553,1,553,1,553,1
0_0_0_10_14_32,-26.0,42,0,19,27,510,1000,633,1,633,1,633,1,633,1
0_0_0_10_14_32,-26.0,42,0,20,28,860,1000,830,1,340,1,830,1,340,1
0_0_0_10_14_32,-26.0,42,0,21,29,553,1000,244,1,244,1,244,1,244,1
0_0_0_10_14_32,-26.0,42,0,22,30,629,1000,624,1,624,1,624,1,624,1
0_0_0_10_14_32,-26.0,42,0,23,31,759,1000,946,1,946,1,946,1,946,1
0_0_0_10_14_32,-26.0,42,0,24,32,874,1000,877,1,877,1,877,1,877,1
0_0_0_10_14_32,-26.0,42,0,25,33,720,1000,256,1,256,1,256,1,40,1
0_0_0_10_14_32,-26.0,42,0,26,34,314,1000,757,1,757,1,757,1,757,1
0_0_0_10_14_32,-26.0,42,0,27,35,602,1000,692,1,692,1,692,1,991,1
0_0_0_10_14_32,-26.0,42,0,28,36,7,1002,769,1,769,1,769,1,769,1
0_0_0_10_14_32,-26.0,42,0,29,37,610,1000,564,1,564,1,564,1,564,1
0_0_0_10_14_32,-26.0,42,0,30,38,826,1000,42,1,42,1,42,1,42,1
0_0_0_10_14_32,-26.0,42,0,31,39,928,1000,855,1,855,1,855,1,643,1
0_0_0_10_14_32,-26.0,42,0,32,40,761,1001,211,1,211,1,211,1,211,1
0_0_0_10_14_32,-26.0,42,0,33,41,590,1002,794,1,794,1,794,1,794,1
0_0_0_10_14_32,-26.0,42,0,34,42,936,1000,338,1,338,1,338,1,338,1
0_0_0_10_14_32,-26.0,42,2,0,8,803,1003,803,0,803,0,803,0,803,0
0_0_0_10_14_32,-26.0,42,2,1,9,826,1000,826,0,826,0,826,0,826,0
0_0_0_10_14_32,-26.0,42,2,2,10,922,1000,922,0,922,0,922,0,922,0
0_0_0_10_14_32,-26.0,42,2,3,11,718,1001,718,0,718,0,718,0,718,0
0_0_0_10_14_32,-26.0,42,2,4,12,86,1000,86,0,86,0,86,0,86,0
0_0_0_10_14_32,-26.0,42,2,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-26.0,42,2,6,14,89,1000,182,1,182,1,182,1,182,1
0_0_0_10_14_32,-26.0,42,2,7,15,713,1000,823,1,823,1,823,1,823,1
0_0_0_10_14_32,-26.0,42,2,8,16,865,1000,277,1,277,1,277,1,277,1
0_0_0_10_14_32,-26.0,42,2,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-26.0,42,2,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-26.0,42,2,11,19,1023,1000,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-26.0,42,2,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-26.0,42,2,13,21,562,1000,621,1,621,1,621,1,621,1
0_0_0_10_14_32,-26.0,42,2,14,22,478,1000,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-26.0,42,2,15,23,267,1000,170,1,170,1,170,1,170,1
0_0_0_10_14_32,-26.0,42,2,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-26.0,42,2,17,25,656,1000,914,1,914,1,914,1,914,1
0_0_0_10_14_32,-26.0,42,2,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-26.0,42,2,19,27,510,1000,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-26.0,42,2,20,28,860,1000,526,1,526,1,526,1,526,1
0_0_0_10_14_32,-26.0,42,2,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-26.0,42,2,22,30,629,1000,731,1,731,1,731,1,731,1
0_0_0_10_14_32,-26.0,42,2,23,31,759,1000,972,1,972,1,972,1,972,1
0_0_0_10_14_32,-26.0,42,2,24,32,874,1002,874,0,874,0,874,0,874,0
0_0_0_10_14_32,-26.0,42,2,25,33,720,1000,720,0,720,0,720,0,720,0
0_0_0_10_14_32,-26.0,42,2,26,34,314,1000,388,1,388,1,388,1,388,1
0_0_0_10_14_32,-26.0,42,2,27,35,602,1000,222,1,222,1,222,1,222,1
0_0_0_10_14_32,-26.0,42,2,28,36,7,1000,188,1,188,1,188,1,188,1
0_0_0_10_14_32,-26.0,42,2,29,37,610,1000,610,0,610,0,610,0,610,0
0_0_0_10_14_32,-26.0,42,2,30,38,775,1000,775,0,775,0,775,0,775,0
0_0_0_10_14_32,-26.0,42,2,31,39,912,1000,422,1,422,1,422,1,296,1
0_0_0_10_14_32,-26.0,42,2,32,40,768,1000,768,0,768,0,768,0,768,0
0_0_0_10_14_32,-26.0,42,2,33,41,581,1000,923,1,923,1,923,1,923,1
0_0_0_10_14_32,-26.0,42,2,34,42,93,1000,93,0,93,0,93,0,93,0
0_0_0_10_14_32,-26.0,42,3,0,8,222,1001,749,1,749,1,749,1,749,1
0_0_0_10_14_32,-26.0,42,3,1,9,711,1002,711,0,711,0,711,0,719,1
0_0_0_10_14_32,-26.0,42,3,2,10,871,1000,248,1,248,1,248,1,248,1
0_0_0_10_14_32,-26.0,42,3,3,11,718,1000,332,1,332,1,332,1,332,1
0_0_0_10_14_32,-26.0,42,3,4,12,107,1000,107,0,107,0,107,0,107,0
0_0_0_10_14_32,-26.0,42,3,5,13,468,1000,637,1,637,1,637,1,637,1
0_0_0_10_14_32,-26.0,42,3,6,14,89,1000,795,1,795,1,795,1,795,1
0_0_0_10_14_32,-26.0,42,3,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-26.0,42,3,8,16,865,1000,782,1,782,1,782,1,82,1
0_0_0_10_14_32,-26.0,42,3,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-26.0,42,3,10,18,765,1000,765,0,765,0,765,0,765,0
0_0_0_10_14_32,-26.0,42,3,11,19,1023,1002,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-26.0,42,3,12,20,597,1000,141,1,141,1,141,1,597,0
0_0_0_10_14_32,-26.0,42,3,13,21,562,1000,428,1,428,1,428,1,428,1
0_0_0_10_14_32,-26.0,42,3,14,22,478,1001,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-26.0,42,3,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-26.0,42,3,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-26.0,42,3,17,25,656,1000,656,0,656,0,656,0,782,1
0_0_0_10_14_32,-26.0,42,3,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-26.0,42,3,19,27,510,1000,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-26.0,42,3,20,28,860,1000,737,1,737,1,737,1,737,1
0_0_0_10_14_32,-26.0,42,3,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-26.0,42,3,22,30,629,1001,19,1,19,1,19,1,19,1
0_0_0_10_14_32,-26.0,42,3,23,31,759,1000,759,0,759,0,759,0,759,0
0_0_0_10_14_32,-26.0,42,3,24,32,874,1000,874,0,874,0,874,0,874,0
0_0_0_10_14_32,-26.0,42,3,25,33,720,1001,720,0,720,0,720,0,720,0
0_0_0_10_14_32,-26.0,42,3,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-26.0,42,3,27,35,602,1000,602,0,602,0,602,0,602,0
0_0_0_10_14_32,-26.0,42,3,28,36,7,1000,933,1,933,1,933,1,933,1
0_0_0_10_14_32,-26.0,42,3,29,37,610,1000,610,0,610,0,610,0,610,0
0_0_0_10_14_32,-26.0,42,3,30,38,778,1000,778,0,778,0,778,0,778,0
0_0_0_10_14_32,-26.0,42,3,31,39,897,1000,888,1,888,1,888,1,345,1
0_0_0_10_14_32,-26.0,42,3,32,40,740,1000,978,1,978,1,978,1,978,1
0_0_0_10_14_32,-26.0,42,3,33,41,590,1001,590,0,590,0,590,0,590,0
0_0_0_10_14_32,-26.0,42,3,34,42,930,1000,930,0,930,0,930,0,930,0
0_0_0_10_14_32,-26.0,42,4,0,8,803,1000,803,0,803,0,803,0,803,0
0_0_0_10_14_32,-26.0,42,4,1,9,711,1000,283,1,283,1,283,1,283,1
0_0_0_10_14_32,-26.0,42,4,2,10,871,1002,871,0,871,0,871,0,871,0
0_0_0_10_14_32,-26.0,42,4,3,11,718,1000,980,1,980,1,980,1,980,1
0_0_0_10_14_32,-26.0,42,4,4,12,86,1000,86,0,86,0,86,0,985,1
0_0_0_10_14_32,-26.0,42,4,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-26.0,42,4,6,14,89,1000,671,1,671,1,671,1,671,1
0_0_0_10_14_32,-26.0,42,4,7,15,713,1000,713,0,713,0,713,0,713,0
0_0_0_10_14_32,-26.0,42,4,8,16,865,1000,865,0,865,0,865,0,865,0
0_0_0_10_14_32,-26.0,42,4,9,17,492,1000,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-26.0,42,4,10,18,765,1000,378,1,378,1,378,1,378,1
0_0_0_10_14_32,-26.0,42,4,11,19,1023,1000,1023,0,1023,0,1023,0,1023,0
0_0_0_10_14_32,-26.0,42,4,12,20,597,1000,597,0,597,0,597,0,597,0
0_0_0_10_14_32,-26.0,42,4,13,21,562,1000,562,0,562,0,562,0,562,0
0_0_0_10_14_32,-26.0,42,4,14,22,478,1000,478,0,478,0,478,0,478,0
0_0_0_10_14_32,-26.0,42,4,15,23,267,1000,267,0,267,0,267,0,267,0
0_0_0_10_14_32,-26.0,42,4,16,24,917,1001,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-26.0,42,4,17,25,656,1000,744,1,744,1,744,1,667,1
0_0_0_10_14_32,-26.0,42,4,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-26.0,42,4,19,27,510,1000,510,0,510,0,510,0,510,0
0_0_0_10_14_32,-26.0,42,4,20,28,860,1000,844,1,844,1,844,1,844,1
0_0_0_10_14_32,-26.0,42,4,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-26.0,42,4,22,30,629,1002,629,0,629,0,629,0,629,0
0_0_0_10_14_32,-26.0,42,4,23,31,759,1000,759,0,759,0,759,0,759,0
0_0_0_10_14_32,-26.0,42,4,24,32,874,1000,756,1,756,1,756,1,756,1
0_0_0_10_14_32,-26.0,42,4,25,33,720,1000,507,1,741,1,507,1,507,1
0_0_0_10_14_32,-26.0,42,4,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-26.0,42,4,27,35,602,1000,602,0,602,0,602,0,602,0
