dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selection_variant,savaux_codec_base_crc_valid,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_accepted_crc_min_beam_rank,savaux_codec_accepted_crc_max_beam_rank,savaux_codec_accepted_crc_best_evidence_margin,savaux_codec_selected_evidence_margin,savaux_codec_selected_is_earliest_accepted_crc,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_8,-25.0,3,3,3,33,35,0.7142857142857143,0.34285714285714286,0.14285714285714285,0.05714285714285714,0.0,0.5714285714285714,0.6571428571428571,0.7142857142857143,0.08571428571428572,0.14285714285714285,0.05714285714285714,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,1,1,0,0,7.123575187204446,7.123575187204446,1,0,1.0,1.1428571428571428,2,2,0,savaux_codec
0_0_0_10_14_8,-25.0,4,4,4,33,35,0.7714285714285715,0.5142857142857142,0.2857142857142857,0.14285714285714285,0.0,0.48571428571428577,0.6285714285714286,0.7714285714285715,0.14285714285714285,0.2857142857142857,0.14285714285714285,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,1,1,0,0,8.201388155863798,8.201388155863798,1,0,1.0,1.4,5,5,0,savaux_codec
0_0_0_10_14_8,-25.0,5,5,5,33,35,0.9714285714285714,0.8857142857142857,0.7428571428571429,0.4857142857142857,0.4857142857142857,0.22857142857142854,0.4857142857142857,0.4857142857142857,0.2571428571428572,0.2571428571428572,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.9714285714285714,9.457142857142857,0,0,0,savaux_paper
0_0_0_10_14_8,-25.0,6,6,6,33,35,0.9142857142857143,0.8285714285714286,0.6571428571428571,0.5142857142857142,0.5142857142857142,0.2571428571428571,0.4,0.4,0.1428571428571429,0.1428571428571429,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.9428571428571428,8.714285714285714,0,0,0,savaux_paper
0_0_0_10_14_8,-25.0,7,7,7,33,35,0.9428571428571428,0.8285714285714286,0.7714285714285715,0.5428571428571428,0.5428571428571428,0.17142857142857137,0.4,0.4,0.22857142857142865,0.22857142857142865,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.9714285714285714,12.628571428571428,0,0,0,savaux_paper
0_0_0_10_14_8,-25.0,8,8,8,33,35,0.9428571428571428,0.7714285714285715,0.6285714285714286,0.42857142857142855,0.42857142857142855,0.3142857142857143,0.5142857142857142,0.5142857142857142,0.2,0.2,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.9714285714285714,9.085714285714285,0,0,0,savaux_paper
0_0_0_10_14_8,-25.0,9,9,9,33,35,1.0,0.7428571428571429,0.5428571428571428,0.45714285714285713,0.45714285714285713,0.4571428571428572,0.5428571428571429,0.5428571428571429,0.08571428571428569,0.08571428571428569,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,1.0,2.4285714285714284,0,0,0,savaux_paper
0_0_0_10_14_8,-26.0,0,0,0,33,35,0.9714285714285714,0.6857142857142857,0.5142857142857142,0.2,0.2,0.4571428571428572,0.7714285714285714,0.7714285714285714,0.3142857142857142,0.3142857142857142,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,-1,-1,0.0,0.0,0,1,0.9714285714285714,6.057142857142857,0,0,0,savaux_paper
0_0_0_10_14_8,-26.0,1,1,1,33,35,0.9142857142857143,0.6571428571428571,0.2857142857142857,0.11428571428571428,0.0,0.6285714285714286,0.7999999999999999,0.9142857142857143,0.17142857142857143,0.2857142857142857,0.11428571428571428,0,0,0,0,1,1,beam,savaux_codec,1,49,2048,1,1,49,49,3.6610679907901584,3.6610679907901584,1,0,1.0,2.0285714285714285,4,4,0,savaux_codec
0_0_0_10_14_8,-26.0,2,2,2,33,35,0.8571428571428571,0.4857142857142857,0.2857142857142857,0.11428571428571428,0.0,0.5714285714285714,0.7428571428571428,0.8571428571428571,0.17142857142857143,0.2857142857142857,0.11428571428571428,0,0,0,0,1,1,beam,savaux_codec,1,2,2048,5,1,2,2,5.346015556399272,5.346015556399272,1,0,1.0,1.1142857142857143,4,4,0,savaux_codec
