packet_index,event_index,candidate_index,selected,candidate_values,candidate_payload_hex,score,signal_score,prior_score,score_mode,effective_kappa,kappa_source,kappa_source_line_rmse_pi,known_symbols,mean_phase_score,mean_amp_score,mean_profile_score,line_rmse_pi,line_r2,map_phase_ll,map_line_ll,map_amp_ll,map_profile_ll
1,1,100,0,6:64,404433221100640058303132333435363738393a3b3c3d3e3f4041424378563412,0.060871314,0.060871314,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.690778282,0.438195775,0.000000000,0.050084758,0.834963188,1.526226254,-0.013936017,-1.568586205,0.000000000
1,1,196,0,6:c4,404433221100c40058303132333435363738393a3b3c3d3e3f4041424378563412,0.054169936,0.054169936,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.730123376,0.339501017,0.000000000,0.041923299,0.835660786,1.840987010,-0.009764239,-2.005973486,0.000000000
1,1,20,0,6:14,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,0.051519738,0.051519738,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.702414004,0.441882723,0.000000000,0.100810365,0.529933641,1.619312033,-0.056459609,-1.625392329,0.000000000
1,1,88,0,6:58,404433221100580058303132333435363738393a3b3c3d3e3f4041424378563412,0.029406102,0.029406102,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.689924421,0.367632377,0.000000000,0.102444158,0.085822286,1.519395364,-0.058304475,-1.606452506,0.000000000
1,1,6,0,6:06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.028273987,0.028273987,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.692552723,0.416508020,0.000000000,0.066962204,0.821900446,1.540421783,-0.024910760,-1.721880392,0.000000000
1,1,87,0,6:57,404433221100570058303132333435363738393a3b3c3d3e3f4041424378563412,0.022824818,0.022824818,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.681935642,0.376362854,0.000000000,0.107858305,0.867479873,1.455485135,-0.064630078,-1.543657136,0.000000000
1,1,52,0,6:34,404433221100340058303132333435363738393a3b3c3d3e3f4041424378563412,0.020537838,0.020537838,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.666512219,0.454667832,0.000000000,0.107396172,0.476605011,1.332097754,-0.064077432,-1.402239421,0.000000000
1,1,11,0,6:0b,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,0.011318459,0.011318459,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.692235721,0.293360974,0.000000000,0.032449948,0.962586975,1.537885772,-0.005849995,-1.851139930,0.000000000
1,1,114,0,6:72,404433221100720058303132333435363738393a3b3c3d3e3f4041424378563412,0.009709846,0.009709846,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.675118648,0.449865892,0.000000000,0.113564020,0.660935156,1.400949182,-0.071648815,-1.523515207,0.000000000
1,1,80,0,6:50,404433221100500058303132333435363738393a3b3c3d3e3f4041424378563412,0.006255106,0.006255106,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.685880105,0.397063176,0.000000000,0.083240049,0.120793510,1.487040841,-0.038493921,-1.731290719,0.000000000
1,1,148,0,6:94,404433221100940058303132333435363738393a3b3c3d3e3f4041424378563412,0.005140340,0.005140340,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.705857314,0.355973075,0.000000000,0.117956012,0.231957328,1.646858510,-0.077297893,-1.839626702,0.000000000
1,1,65,0,6:41,404433221100410058303132333435363738393a3b3c3d3e3f4041424378563412,0.004309699,0.004309699,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.722318750,0.331694417,0.000000000,0.105913900,0.833356349,1.778549999,-0.062320856,-2.045836865,0.000000000
1,1,97,0,6:61,404433221100610058303132333435363738393a3b3c3d3e3f4041424378563412,-0.002781772,-0.002781772,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.686416965,0.344479526,0.000000000,0.063153842,0.785450536,1.491335719,-0.022157821,-1.822683957,0.000000000
1,1,210,0,6:d2,404433221100d20058303132333435363738393a3b3c3d3e3f4041424378563412,-0.026194810,-0.026194810,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.714463742,0.351171134,0.000000000,0.150529223,0.879352520,1.715709938,-0.125883594,-1.960902488,0.000000000
1,1,242,0,6:f2,404433221100f20058303132333435363738393a3b3c3d3e3f4041424378563412,-0.026250409,-0.026250409,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.678561957,0.363956244,0.000000000,0.113564020,0.660935156,1.428495658,-0.071648815,-1.737749580,0.000000000
1,1,3,0,6:03,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,-0.028334709,-0.028334709,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.688191406,0.322791772,0.000000000,0.058548110,0.876697193,1.505531249,-0.019043784,-1.975978143,0.000000000
1,1,193,0,6:c1,404433221100c10058303132333435363738393a3b3c3d3e3f4041424378563412,-0.031650557,-0.031650557,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.725762059,0.245784768,0.000000000,0.105913900,0.833356349,1.806096475,-0.062320856,-2.260071237,0.000000000
1,1,17,0,6:11,404433221100110058303132333435363738393a3b3c3d3e3f4041424378563412,-0.041272906,-0.041272906,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.698052687,0.348166474,0.000000000,0.148771285,0.753940540,1.584421498,-0.122960529,-1.879490081,0.000000000
1,1,36,0,6:24,404433221100240058303132333435363738393a3b3c3d3e3f4041424378563412,-0.044238228,-0.044238228,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.663633603,0.432410733,0.000000000,0.085157676,0.434947368,1.309068828,-0.040287944,-1.756807317,0.000000000
1,1,14,0,6:0e,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.044266580,-0.044266580,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.696597038,0.387077222,0.000000000,0.206152369,0.915568434,1.572776307,-0.236104441,-1.597042179,0.000000000
1,1,72,0,6:48,404433221100480058303132333435363738393a3b3c3d3e3f4041424378563412,-0.044926372,-0.044926372,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.687045805,0.345375278,0.000000000,0.098249705,0.562498904,1.496366439,-0.053627803,-1.961020401,0.000000000
1,1,49,0,6:31,404433221100310058303132333435363738393a3b3c3d3e3f4041424378563412,-0.047467719,-0.047467719,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.662150902,0.360951584,0.000000000,0.120750785,0.434756948,1.297207219,-0.081004179,-1.656337173,0.000000000
1,1,71,0,6:47,404433221100470058303132333435363738393a3b3c3d3e3f4041424378563412,-0.053724094,-0.053724094,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.679057026,0.354105755,0.000000000,0.107654682,0.837249255,1.432456209,-0.064386281,-1.898225032,0.000000000
1,1,86,0,6:56,404433221100560058303132333435363738393a3b3c3d3e3f4041424378563412,-0.062589241,-0.062589241,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.642618381,0.419474514,0.000000000,0.105794525,0.710864543,1.140947051,-0.062180453,-1.583678886,0.000000000
1,1,91,0,6:5b,4044332211005b0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.065800467,-0.065800467,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.642301380,0.296327467,0.000000000,0.053043333,0.916453979,1.138411040,-0.015631084,-1.712938424,0.000000000
1,1,104,0,6:68,404433221100680058303132333435363738393a3b3c3d3e3f4041424378563412,-0.066050637,-0.066050637,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.651144020,0.358160388,0.000000000,0.086460767,0.510036970,1.209152159,-0.041530357,-1.737867493,0.000000000
1,1,164,0,6:a4,404433221100a40058303132333435363738393a3b3c3d3e3f4041424378563412,-0.075622054,-0.075622054,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.667076913,0.346501085,0.000000000,0.074861974,0.357061227,1.336615304,-0.031135084,-1.971041690,0.000000000
1,1,64,0,6:40,404433221100400058303132333435363738393a3b3c3d3e3f4041424378563412,-0.077128552,-0.077128552,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.683001489,0.374806077,0.000000000,0.096672286,0.427281559,1.464011915,-0.051919616,-2.085858614,0.000000000
1,1,10,0,6:0a,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,-0.081628287,-0.081628287,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.652918461,0.336472634,0.000000000,0.057652706,0.836597001,1.223347688,-0.018465747,-1.891161680,0.000000000
1,1,200,0,6:c8,404433221100c80058303132333435363738393a3b3c3d3e3f4041424378563412,-0.082884652,-0.082884652,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.690489114,0.259465630,0.000000000,0.101844457,0.390558305,1.523912915,-0.057623853,-2.175254774,0.000000000
1,1,24,0,6:18,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,-0.083135430,-0.083135430,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.662779742,0.361847336,0.000000000,0.133841954,0.430040256,1.302237938,-0.099520382,-1.794673617,0.000000000
1,1,145,0,6:91,404433221100910058303132333435363738393a3b3c3d3e3f4041424378563412,-0.083814001,-0.083814001,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.701495997,0.262256826,0.000000000,0.156531139,0.697489114,1.611967975,-0.136122208,-2.093724453,0.000000000
1,1,103,0,6:67,404433221100670058303132333435363738393a3b3c3d3e3f4041424378563412,-0.083927610,-0.083927610,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.643155241,0.366890865,0.000000000,0.112607817,0.843028908,1.145241929,-0.070447336,-1.675072124,0.000000000
1,1,199,0,6:c7,404433221100c70058303132333435363738393a3b3c3d3e3f4041424378563412,-0.089684350,-0.089684350,0.000000000,map,4.000000000,initial_line,0.074547669,10,0.682500336,0.268196107,0.000000000,0.107654682,0.837249255,1.460002685,-0.064386281,-2.112459405,0.000000000
