dataset,snr_db,seed,bank_kind,pattern_count,symbol_count,noise_mode,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas,savaux_ser,savaux_mean_gt_rank,savaux_mean_gt_margin_db,savaux_mean_gt_floor_db,plain_coherent_ser,plain_coherent_mean_gt_rank,plain_coherent_mean_gt_margin_db,plain_coherent_mean_gt_floor_db,plain_coherent_fix_vs_savaux,plain_coherent_break_vs_savaux,plain_coherent_changes_vs_savaux,lora_coherent_ser,lora_coherent_mean_gt_rank,lora_coherent_mean_gt_margin_db,lora_coherent_mean_gt_floor_db,lora_coherent_fix_vs_savaux,lora_coherent_break_vs_savaux,lora_coherent_changes_vs_savaux,lora_mean_power_ser,lora_mean_power_mean_gt_rank,lora_mean_power_mean_gt_margin_db,lora_mean_power_mean_gt_floor_db,lora_mean_power_fix_vs_savaux,lora_mean_power_break_vs_savaux,lora_mean_power_changes_vs_savaux,lora_best_power_ser,lora_best_power_mean_gt_rank,lora_best_power_mean_gt_margin_db,lora_best_power_mean_gt_floor_db,lora_best_power_fix_vs_savaux,lora_best_power_break_vs_savaux,lora_best_power_changes_vs_savaux,lora_stable_power_ser,lora_stable_power_mean_gt_rank,lora_stable_power_mean_gt_margin_db,lora_stable_power_mean_gt_floor_db,lora_stable_power_fix_vs_savaux,lora_stable_power_break_vs_savaux,lora_stable_power_changes_vs_savaux,lora_adaptive_gls_ser,lora_adaptive_gls_mean_gt_rank,lora_adaptive_gls_mean_gt_margin_db,lora_adaptive_gls_mean_gt_floor_db,lora_adaptive_gls_fix_vs_savaux,lora_adaptive_gls_break_vs_savaux,lora_adaptive_gls_changes_vs_savaux,lora_offpacket_gls_ser,lora_offpacket_gls_mean_gt_rank,lora_offpacket_gls_mean_gt_margin_db,lora_offpacket_gls_mean_gt_floor_db,lora_offpacket_gls_fix_vs_savaux,lora_offpacket_gls_break_vs_savaux,lora_offpacket_gls_changes_vs_savaux
0_0_0_10_14_16,-23.0,42,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,4.1585866288074,4.917242760086849,0.38095238095238093,14.028571428571428,5.855444564168197,25.733746313502333,0.580952380952381,80.94285714285714,-1.885183589769496,21.441158407508492,0,21,47,0.38095238095238093,14.028571428571428,5.855444589172596,25.733746167216417,0,0,0,0.4,30.60952380952381,1.2737611060685436,19.46145972529213,0,2,11,0.4666666666666667,70.83809523809524,-2.058058391457273,16.342143878926954,0,9,32,0.38095238095238093,13.352380952380953,5.768071240296751,31.878637207407163,0,0,4,0.3142857142857143,6.6761904761904765,7.196902672225263,27.624995155113485,7,0,15,0.37142857142857144,16.62857142857143,5.670752492586896,25.493847646666918,1,0,6
0_0_0_10_14_16,-24.0,42,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,4.158209905837132,4.9171137120155315,0.3904761904761905,22.733333333333334,5.301407612240056,25.171495649755855,0.5904761904761905,92.76190476190476,-2.261364877357032,21.02944164558739,0,21,48,0.3904761904761905,22.733333333333334,5.3014074695943725,25.171495762146982,0,0,0,0.42857142857142855,45.58095238095238,0.8898120126645082,19.058683362189953,0,4,14,0.4857142857142857,91.0,-2.3435185818231883,16.029817535299376,0,10,34,0.4,21.714285714285715,5.0560743730720334,31.155716550722687,0,1,5,0.3333333333333333,10.619047619047619,6.723534223169154,27.09135674129604,6,0,16,0.41904761904761906,27.133333333333333,5.110953775916007,24.921196858974056,0,3,9
0_0_0_10_14_16,-25.0,42,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,4.157881636929551,4.917016834755642,0.4380952380952381,35.2,4.7474761651922055,24.6078261696448,0.6095238095238096,106.29523809523809,-2.6282720502109513,20.629143930803675,1,19,50,0.4380952380952381,35.2,4.747476259234532,24.607826088109228,0,0,0,0.44761904761904764,61.80952380952381,0.5302233619406451,18.67996251268916,0,1,13,0.5047619047619047,111.62857142857143,-2.6178847593167673,15.736227547545704,0,7,35,0.4380952380952381,34.34285714285714,4.318611221379831,30.40047784416335,1,1,7,0.38095238095238093,17.428571428571427,6.251417594158819,26.560640953758025,6,0,18,0.45714285714285713,40.82857142857143,4.550592742300686,24.34904549497319,0,2,10
0_0_0_10_14_16,-23.0,43,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,2.734031125171001,3.5049139332266623,0.2571428571428571,8.971428571428572,8.647090793553316,28.077415403436984,0.580952380952381,79.5904761904762,-0.45079027590757287,23.33402558769331,1,35,52,0.2571428571428571,8.971428571428572,8.647090804366192,28.07741539938032,0,0,0,0.2857142857142857,14.39047619047619,3.3493326823774905,21.856674673566054,1,4,10,0.41904761904761906,43.6,-0.582792451125701,18.4603978754066,0,17,33,0.2571428571428571,9.58095238095238,8.69173471291718,34.17684235357123,1,1,7,0.23809523809523808,7.923809523809524,9.800594589279658,29.89213588733135,3,1,10,0.2761904761904762,9.457142857142857,8.480581430368055,27.801595564776743,2,4,12
0_0_0_10_14_16,-24.0,43,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,2.733838357939574,3.50486802311538,0.3238095238095238,13.8,8.218441157469531,27.635342570201487,0.6,88.12380952380953,-0.7842870042884394,22.96618804229899,0,29,52,0.3238095238095238,13.8,8.218441174546852,27.63534271642529,0,0,0,0.34285714285714286,22.038095238095238,3.047445208511451,21.536562314649025,0,2,11,0.41904761904761906,56.666666666666664,-0.815655610223588,18.219542379148855,0,10,33,0.3238095238095238,14.666666666666666,8.147355217190373,33.611544428492145,1,1,10,0.26666666666666666,13.123809523809523,9.419906868214445,29.46952376623829,6,0,15,0.3238095238095238,14.761904761904763,8.047775518484654,27.356084373548537,0,0,12
0_0_0_10_14_16,-25.0,43,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,2.733673270832545,3.5048334133725203,0.34285714285714286,21.266666666666666,7.795842595677042,27.202116821319812,0.6190476190476191,97.45714285714286,-1.1063982010159816,22.61104856002217,0,29,53,0.34285714285714286,21.266666666666666,7.7958428628371665,27.202116966488795,0,0,0,0.3619047619047619,33.647619047619045,2.755878881164172,21.23642824427452,0,2,13,0.41904761904761906,72.4952380952381,-1.0354233049486592,17.992005119708885,0,8,33,0.3619047619047619,22.419047619047618,7.5948841533293265,33.041373230242534,0,2,12,0.3142857142857143,19.542857142857144,9.045398532903329,29.050281983554612,4,1,16,0.37142857142857144,23.876190476190477,7.619779192990545,26.91617688666825,0,3,14
0_0_0_10_14_16,-23.0,44,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,4.105934921526011,2.3324168094722255,0.24761904761904763,20.02857142857143,8.094457376377921,26.405362578358034,0.6095238095238096,70.6,-0.8156922420606424,21.472935122811823,0,38,52,0.24761904761904763,20.02857142857143,8.094457403692685,26.405362787126528,0,0,0,0.24761904761904763,25.333333333333332,3.6023960730224167,20.284302642601308,1,1,12,0.3904761904761905,51.48571428571429,-0.24937761066512532,17.086046892327918,0,15,29,0.2761904761904762,20.742857142857144,8.08014921669119,32.37250923901207,0,3,8,0.18095238095238095,10.495238095238095,9.8704702631158,29.45039384515742,10,3,17,0.2571428571428571,21.114285714285714,8.091921995926928,26.27999882248322,1,2,7
0_0_0_10_14_16,-24.0,44,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,4.105869649958188,2.3324777055478996,0.2857142857142857,29.20952380952381,7.566702564159887,25.856766993342127,0.6095238095238096,86.3047619047619,-1.2179204213720782,21.01738662865325,0,34,50,0.2857142857142857,29.20952380952381,7.56670273609433,25.85676735013676,0,0,0,0.29523809523809524,37.65714285714286,3.262208619566335,19.911135316784414,2,3,16,0.4,68.03809523809524,-0.508777451938265,16.795614220141374,0,12,30,0.3238095238095238,29.885714285714286,7.383015603966829,31.649730760597407,0,4,11,0.20952380952380953,13.095238095238095,9.470149970911448,28.96484854560026,8,0,15,0.3047619047619048,31.419047619047618,7.558356937911036,25.725941152349858,0,2,8
0_0_0_10_14_16,-25.0,44,super_search_only_diverse16,16,105,offpacket_bootstrap,offpacket,4.0,4.105813088632612,2.332543405100017,0.3238095238095238,41.27619047619048,7.043353937493412,25.315142066035296,0.6095238095238096,103.18095238095238,-1.6188226941917496,20.57959207408978,0,30,49,0.3238095238095238,41.27619047619048,7.043354036873063,25.315142236533646,0,0,0,0.34285714285714286,52.02857142857143,2.9487074862135625,19.56688936050243,1,3,19,0.4095238095238095,84.37142857142857,-0.7550861027198942,16.52395427326262,1,10,32,0.3238095238095238,42.095238095238095,6.666086897432509,30.90362397603724,0,0,10,0.22857142857142856,16.933333333333334,9.067895510484792,28.48404597198191,10,0,18,0.3238095238095238,43.476190476190474,7.0292965715983495,25.174628221994496,1,1,7
